Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
1,1,11,HR_108,HR_175,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,9,4,0,13,0,14,NA,NA,NA,NA,NA,NA,NA,NA,14,33.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3935714285714282,NA,NA,NA,NA,2.3935714285714282,NA,1.5555555555555556,20.22222222222222,51.98,NA,NA,NA,NA,32.396,brightmax: 166,2.05,NA,15.802926829268294,0.06327941721200148,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.93,1.72
1,1,12,HR_164,HR_005,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,25,4,0,29,0,42,NA,NA,NA,NA,NA,NA,NA,NA,42,144.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4295238095238094,NA,NA,NA,NA,3.4295238095238094,NA,1.68,48.72,86.19,2022-03-31,23.835,289.23,folding,17.231,brightmax: 171,1.09,NA,15.808256880733945,0.06325808136498172,2022-03-31,115,141,132,2022-05-05,35,1,1,1,1,-30.21,3.44
1,1,13,HR_171,HR_057,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,2,3,0,5,3,2,NA,NA,NA,NA,NA,NA,2,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.855,NA,NA,NA,NA,NA,2.855,NA,1,5,21.18,2022-03-31,23.514,326.999,NA,28.997,brightmax: 194,1.94,NA,14.946907216494846,0.06690347277304548,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.59,2.46
1,1,14,HR_196,HR_170,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,25,2,0,27,9,53,NA,NA,NA,NA,6,16.49,38,98.1,9,21.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.748333333333333,2.581578947368421,2.4233333333333333,NA,NA,NA,NA,2.5844152046783626,0.1625185628371298,2.12,57.24,61.78,2022-03-31,23.471,290.695,NA,27.191,brightmax: 194,1.24,NA,21.92822580645161,0.045603324629472995,2022-03-31,115,141,132,2022-04-26,26,1,1,1,1,-30.44,2.88
1,1,15,HR_148,HR_114,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,8,0,0,8,2,5,NA,NA,NA,NA,NA,NA,5,20.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.184,NA,NA,NA,NA,NA,4.184,NA,0.625,5,24.14,2022-04-07,19.156,227.766,NA,12.188,brightmax: 168,0.79,NA,15.427848101265823,0.06481785362651789,2022-04-07,122,148,139,2022-04-20,13,1,1,1,1,-30.23,1.69
1,1,16,HR_069,HR_108,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,13,0,0,13,0,21,NA,NA,NA,NA,NA,NA,14,44.48,5,13.61,2,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.177142857142857,2.722,3.405,NA,NA,NA,3.101380952380952,0.3477458118509321,1.6153846153846154,21,32.08,2022-04-07,19.131,244.052,NA,22.542,brightmax: 182,1.43,NA,15.763636363636365,0.06343713956170703,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-31.08,2.89
1,1,17,HR_175,HR_196,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,28,0,0,28,0,62,NA,NA,NA,NA,NA,NA,37,86.91,20,48.38,5,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.348918918918919,2.419,1.3960000000000001,NA,NA,NA,2.05463963963964,0.571473945740179,2.2142857142857144,62,120.03,2022-04-07,22.906,316.274,NA,47.675,brightmax: 170,2.41,NA,19.782157676348547,0.05055060304142633,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-31.51,2.01
1,1,18,HR_131,HR_046,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,2022-05-16,2022-04-07,16,1,0,17,0,6,NA,NA,NA,NA,NA,NA,3,11.52,3,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,3.06,NA,NA,NA,NA,3.45,0.5515432893255069,0.375,6.375,59.37,2022-04-07,20.159,244.543,NA,33.773,brightmax: 167,1.97,NA,17.143654822335026,0.05833061913362745,2022-04-07,122,148,139,2022-05-05,28,1,1,1,1,-31.02,2.73
1,1,19,HR_095,HR_020,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,NA,4,0,0,4,0,7,NA,NA,NA,NA,NA,NA,7,13.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9157142857142857,NA,NA,NA,NA,NA,1.9157142857142857,NA,1.75,7,14.53,NA,NA,NA,NA,34.761,brightmax: 199 (alt method used b/c leaflets touching),2.29,NA,15.179475982532752,0.06587842697275682,2022-04-07,111,148,139,2022-04-26,19,1,1,1,1,-30.91,2.14
1,1,20,HR_108,HR_016,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,34.86,2022-04-07,20.316,260.823,NA,21.4,brightmax: 176,1.4,NA,15.285714285714286,0.06542056074766354,2022-04-07,111,148,139,2022-04-26,19,1,1,1,0,-31.22,2.75
1,1,21,HR_200,HR_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,6,3,0,9,0,1,NA,NA,NA,NA,NA,NA,1,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,1.57,NA,0.16666666666666666,1.5,NA,2022-04-07,17.534,178.511,NA,NA,NA,NA,NA,NA,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1,-31.31,3.4
1,1,22,HR_164,HR_041,n,3,TRUE,FALSE,TRUE,3,3,NA,NA,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,2,0,0,2,0,8,NA,NA,NA,NA,NA,NA,NA,NA,8,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2875,NA,NA,NA,NA,1.2875,NA,4,8,NA,2022-04-14,24.954,312.341,NA,NA,NA,NA,NA,NA,NA,2022-04-14,NA,155,146,2022-04-20,6,0,1,1,1,NA,NA
1,1,23,HR_168,HR_148,R,5,TRUE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905,NA,NA,NA,NA,0.905,NA,0.4,2.4000000000000004,57.8,2022-04-14,18.034,NA,herbivory,NA,NA,NA,NA,NA,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1,-31.1,3.81
1,1,24,HR_121,HR_105,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,NA,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-20,3,1,0,4,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6346153846153846,NA,NA,NA,1.6346153846153846,NA,4.333333333333333,17.333333333333332,NA,2022-04-20,18.449,NA,folded,NA,NA,NA,NA,NA,NA,2022-04-20,135,161,152,2022-05-05,15,1,1,1,1,NA,NA
