Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
1,3,104,HR_149,HR_174,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,4,1,0,5,9,4,NA,NA,NA,NA,NA,NA,3,4.4,1,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4666666666666668,1.36,NA,NA,NA,NA,1.4133333333333336,0.07542472332656508,1,5,11,NA,NA,NA,NA,16.636,brightmax: 154,0.7,NA,23.765714285714285,0.042077422457321476,2022-03-24,125,134,125,2022-04-20,27,1,1,1,1,-31.52,2.11
1,3,105,HR_156,HR_193,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-24,23,2,0,25,20,23,NA,NA,NA,NA,NA,NA,8,39.33,5,19.34,10,18.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91625,3.868,1.847,NA,NA,NA,3.5437499999999997,1.560104944386755,1,25,104.28,NA,NA,NA,NA,31.784,brightmax: 148,2.12,NA,14.992452830188679,0.06670022652907123,2022-03-24,108,134,125,2022-04-27,34,1,1,1,1,-30.62,4.2
1,3,106,HR_135,HR_152,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-24,8,1,0,9,21,7,NA,NA,NA,NA,NA,NA,5,13.11,2,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.622,2.04,NA,NA,NA,NA,2.331,0.41153614665057053,0.875,7.875,26.72,2022-03-24,20.544,276.711,NA,46.065,brightmax: 140,2.47,NA,18.6497975708502,0.05361988494518616,2022-03-24,108,134,125,2022-04-14,21,1,1,1,1,-29.91,3.06
1,3,107,HR_147,HR_150,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-24,13,2,0,15,30,7,NA,NA,NA,NA,NA,NA,5,27.04,1,6.21,1,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4079999999999995,6.21,6.18,NA,NA,NA,5.932666666666666,0.45462218746265953,0.5384615384615384,8.076923076923077,46.99,2022-03-24,21.166,245.619,NA,37.001,brightmax: 123,1.85,NA,20.000540540540538,0.04999864868517068,2022-03-24,125,134,125,2022-04-27,34,1,1,1,1,-29.91,2.95
1,3,108,HR_062,HR_116,n,5,TRUE,FALSE,TRUE,5,5,NA,NA,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-05,2022-05-11,NA,NA,NA,2022-03-31,25,14,0,39,20,12,NA,NA,NA,NA,NA,NA,1,6.04,3,10.29,6,14.13,2,8.31,NA,NA,NA,NA,NA,NA,NA,6.04,3.4299999999999997,2.355,4.155,NA,NA,3.995,1.5509620670194786,0.48,18.72,NA,2022-03-31,25.141,380.93,NA,46.292,brightmax: 171,3.36,NA,13.777380952380954,0.0725827356778709,2022-03-31,NA,141,132,2022-05-11,41,0,1,1,1,-29.84,3.08
1,3,109,HR_064,HR_190,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,16,0,0,16,20,18,NA,NA,NA,NA,NA,NA,15,57.84,3,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8560000000000003,3.6133333333333333,NA,NA,NA,NA,3.7346666666666666,0.17159124556793579,1.125,18,60.74,2022-03-24,24.215,345.918,NA,24.53,brightmax: 148,1.66,NA,14.777108433734941,0.06767223807582551,2022-03-24,108,134,125,2022-04-14,21,1,1,1,1,-30.93,3.02
1,3,110,HR_064,HR_019,n,5,TRUE,FALSE,TRUE,5,5,Two fitness plants? 1 and 5 originally recorded,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-20,31,9,0,40,20,44,NA,NA,NA,NA,7,15.88,37,95.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2685714285714287,2.585945945945946,NA,NA,NA,NA,NA,2.4272586872586874,0.22441767341132907,1.4193548387096775,56.7741935483871,175.76,2022-04-20,14.971,125.469,NA,38.46,brightmax alt; 172,2.33,NA,16.506437768240342,0.06058242329693188,2022-03-24,108,134,125,2022-04-20,27,1,1,1,1,-30.96,4.29
1,3,111,HR_180,HR_179,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-24,21,2,0,23,40,20,NA,NA,NA,NA,NA,NA,18,55.56,2,7.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.086666666666667,3.585,NA,NA,NA,NA,3.3358333333333334,0.352374879291296,0.9523809523809523,21.904761904761905,79.25,NA,NA,NA,NA,18.23,brightmax: 159,1.14,NA,15.99122807017544,0.06253428414701041,2022-03-24,108,134,125,2022-04-27,34,1,1,1,1,-30.36,2.87
1,3,112,HR_189,HR_168,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,12,2,0,14,30,10,NA,NA,NA,NA,NA,NA,3,16.39,2,4.43,2,5.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.463333333333334,2.215,2.715,NA,NA,NA,3.4644444444444447,1.749047624449544,0.8333333333333334,11.666666666666668,43.86,2022-03-31,19.18,231.784,NA,38.623,brightmax: 147,2.2,NA,17.55590909090909,0.05696087823317712,2022-03-24,97,134,125,2022-04-20,27,1,1,1,1,-30.94,3.29
1,3,113,HR_069,HR_156,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-24,41,2,0,43,20,23,NA,NA,NA,NA,NA,NA,10,35.07,4,9.79,6,12.36,3,5.09,NA,NA,NA,NA,NA,NA,NA,3.507,2.4475,2.06,1.6966666666666665,NA,NA,2.427791666666667,0.7820685223246817,0.5609756097560976,24.121951219512198,123.06,NA,NA,NA,NA,31.212,brightmax: 148,2.3,NA,13.570434782608697,0.07368960656157887,2022-03-24,108,134,125,2022-04-27,34,1,1,1,1,-31.62,1.74
1,3,114,HR_088,HR_067,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-05,2022-05-11,NA,NA,NA,2022-03-31,11,0,0,11,20,1,NA,NA,NA,NA,NA,NA,1,5.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54,NA,NA,NA,NA,NA,5.54,NA,0.09090909090909091,1,62.15,2022-03-31,15.729,150.717,NA,17.987,brightmax:111,1.2,NA,14.989166666666666,0.06671484961360984,2022-03-31,104,141,132,2022-05-11,41,1,1,1,1,-30.94,2.24
1,3,115,HR_074,HR_066,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-31,4,4,0,8,0,6,NA,NA,NA,NA,2,3.84,4,12.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,3.1775,NA,NA,NA,NA,NA,2.54875,0.8891867773420837,1.5,12,47.92,2022-03-31,18.32,196.701,NA,33.255,brightmax:160,1.83,NA,18.172131147540984,0.05502931889941362,2022-03-31,115,141,132,2022-04-27,27,1,1,1,1,-30.47,2.33
1,3,116,HR_200,HR_159,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-24,18,10,0,28,20,11,NA,NA,NA,NA,1,2.24,4,11.9,5,9.46,1,1.26,NA,NA,NA,NA,NA,NA,NA,NA,2.24,2.975,1.8920000000000001,1.26,NA,NA,NA,2.09175,0.7150330411946011,0.6111111111111112,17.111111111111114,60.64,2022-03-24,19.34,255.231,NA,50.609,brightmax: 159,2.69,NA,18.81375464684015,0.053152601315971465,2022-03-24,97,134,125,2022-04-27,34,1,1,1,1,-31.67,3.18
1,3,117,HR_100,HR_135,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-05,2022-05-11,NA,NA,NA,2022-03-31,22,0,0,22,21,5,NA,NA,NA,NA,NA,NA,5,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,NA,NA,NA,NA,5.55,NA,0.22727272727272727,5,293.28,2022-03-31,19.94,273.478,NA,23.82,brightmax: 159,0.99,NA,24.060606060606062,0.041561712846347604,2022-03-31,115,141,132,2022-05-11,41,1,1,1,1,-30.1,3.32
1,3,118,HR_121,HR_141,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,NA,28,3,0,31,22,110,NA,NA,NA,NA,10,18.3,50,99.88,18,38.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,1.9975999999999998,2.151111111111111,NA,NA,NA,NA,1.9929037037037036,0.16060706030224836,3.9285714285714284,121.78571428571428,179.7,NA,NA,NA,NA,15.078,brightmax: 153,0.54,NA,27.92222222222222,0.035813768404297654,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.54,1.57
1,3,119,HR_195,HR_181,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-04-14,9,0,0,9,21,8,NA,NA,NA,NA,NA,NA,8,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,3.7,NA,0.8888888888888888,8,48.16,2022-04-14,22.12,340.728,NA,41.393,brightmax: 152,3.08,NA,13.439285714285715,0.07440871644964124,2022-03-24,125,134,125,2022-04-27,34,1,1,1,1,-30.76,2.98
1,3,120,HR_059,HR_155,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-31,20,3,0,23,27,34,NA,NA,NA,NA,2,6.78,29,73.15,3,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39,2.5224137931034485,1.67,NA,NA,NA,NA,2.5274712643678163,0.8600111531321514,1.7,39.1,143.3,2022-03-24,22.658,286.564,NA,93.349,brightmax: 144 (alt method b/c of broken leaves),6.2,NA,15.056290322580645,0.06641742278974601,2022-03-31,115,141,132,2022-04-27,27,1,1,1,1,-30.71,1.23
1,3,121,HR_171,HR_001,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,9,0,0,9,25,14,NA,NA,NA,NA,NA,NA,10,27.95,4,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.795,1.8,NA,NA,NA,NA,2.2975,0.7035712472806147,1.5555555555555556,14,36.66,2022-03-31,22.9,283.099,NA,70.386,brightmax: 159,4.68,NA,15.03974358974359,0.06649049526894553,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.94,2.16
1,3,122,HR_115,HR_111,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,6,1,0,7,25,4,NA,NA,NA,NA,NA,NA,4,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5925,NA,NA,NA,NA,NA,1.5925,NA,0.6666666666666666,4.666666666666666,25.56,2022-04-07,19.68,259.7,NA,103.683,brightmax: 157,8.65,NA,11.986473988439307,0.08342736996421785,2022-04-07,139,148,139,2022-04-20,13,1,1,1,1,-31.86,2.98
1,3,123,HR_195,HR_068,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-20,5,0,0,5,20,4,NA,NA,NA,NA,NA,NA,4,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4375,NA,NA,NA,NA,NA,3.4375,NA,0.8,4,12.16,NA,NA,NA,NA,15.685,brightmax:139,1.05,NA,14.938095238095238,0.066942939113803,2022-03-31,132,141,132,2022-04-20,20,1,1,1,1,-31.4,2.57
1,3,124,HR_002,HR_056,R,7,TRUE,TRUE,TRUE,7,"2,6,7",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,16,2,0,18,0,36,NA,NA,NA,NA,18,40.02,NA,NA,NA,NA,1,4.18,NA,NA,NA,NA,NA,NA,NA,NA,2.2233333333333336,NA,NA,4.18,NA,NA,NA,3.2016666666666667,1.3835722685216776,2.25,40.5,54.9,2022-03-31,25.264,387.975,NA,79.971,brightmax alt; 158,5.41,some pieces broken,14.782070240295749,0.06764952295207012,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.24,4.03
1,3,125,HR_095,HR_124,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-03-31,11,0,0,11,25,21,NA,NA,NA,NA,1,3.01,20,71.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01,3.5755000000000003,NA,NA,NA,NA,NA,3.29275,0.399868884760993,1.9090909090909092,21,86.46,NA,NA,NA,NA,220.554,brightmax: 150,45.23,NA,4.876276807428698,0.20507449422817087,2022-03-31,115,141,132,2022-04-14,14,1,1,1,1,-28.59,4.12
1,3,126,HR_057,HR_147,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-31,14,2,0,16,21,10,NA,NA,NA,NA,NA,NA,6,21.12,4,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,2.175,NA,NA,NA,NA,2.8475,0.9510586206959065,0.7142857142857143,11.428571428571429,58.62,2022-03-31,20.998,297.972,NA,44.606,brightmax: 163,1.58,NA,28.23164556962025,0.03542124377886383,2022-03-31,115,141,132,2022-04-27,27,1,1,1,1,-30.27,2.54
1,3,127,HR_156,HR_197,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,NA,9,0,0,9,20,15,NA,NA,NA,NA,NA,NA,10,20.66,3,3.72,2,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.066,1.24,1.175,NA,NA,NA,1.4936666666666667,0.49671957212629864,1.6666666666666667,15,20.25,NA,NA,NA,NA,27.667,brightmax: 148,2.3,NA,12.02913043478261,0.08313152853580076,2022-04-14,129,155,146,2022-04-20,6,1,1,1,1,-30.55,2.41
1,3,128,HR_149,HR_065,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-31,37,0,0,37,30,51,NA,NA,NA,NA,NA,NA,46,107.95,4,7.01,1,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.346739130434783,1.7525,3.87,NA,NA,NA,2.656413043478261,1.092188176009402,1.3783783783783783,51,139.51,2022-03-31,21.954,300.867,NA,24.3,brightmax;164,1.29,NA,18.837209302325583,0.053086419753086415,2022-03-31,132,141,132,2022-04-27,27,1,1,1,1,-31.16,2.26
1,3,129,HR_141,HR_044,R,8,TRUE,TRUE,TRUE,8,"1,4,8",NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-03-31,19,0,0,19,0,34,NA,NA,NA,NA,NA,NA,11,29.17,18,24.68,5,11.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.651818181818182,1.3711111111111112,2.3440000000000003,NA,NA,NA,2.1223097643097644,0.6685151985482946,1.7894736842105263,34,127.53,2022-03-31,26.495,386.381,NA,26.137,brightmax: 137,1.92,NA,13.613020833333334,0.07345908099628878,2022-03-31,104,141,132,2022-04-27,27,1,1,1,1,-31.65,3.97
1,3,130,HR_139,HR_127,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,15,1,0,16,20,36,NA,NA,NA,NA,4,12.49,26,78.4,6,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1225,3.0153846153846158,2.15,NA,NA,NA,NA,2.7626282051282054,0.5332479861136658,2.4,38.4,62.03,2022-03-31,20.452,255.472,NA,23.641,brightmax: 150,1.5,NA,15.760666666666665,0.0634490926779747,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-29.7,1.69
1,3,131,HR_100,HR_192,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,NA,NA,NA,NA,NA,NA,NA,2022-04-14,0,0,0,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24.54,2022-04-14,20.143,235.192,NA,42.474,brightmax: 139,2.67,NA,15.907865168539326,0.06286198615623675,2022-04-14,129,155,146,2022-04-14,0,1,1,0,0,-29.96,2.63
1,3,132,HR_160,HR_079,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-04-14,11,0,0,11,21,9,NA,NA,NA,NA,NA,NA,9,33.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.735555555555555,NA,NA,NA,NA,NA,3.735555555555555,NA,0.8181818181818182,9,46.75,2022-03-24,16.065,144.739,NA,38.754,brightmax: 161,1.84,NA,21.061956521739127,0.047478969912783206,2022-04-07,122,148,139,2022-04-27,20,1,1,1,1,-29.75,3.92
1,3,133,HR_090,HR_053,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,4,0,0,4,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17.92,2022-04-07,22.116,319.978,NA,30.491,brightmax alt; 144,1.91,NA,15.963874345549739,0.06264143517759338,2022-04-07,122,148,139,2022-04-20,13,1,1,1,0,-31.62,3.88
1,3,134,HR_141,HR_184,R,6,TRUE,TRUE,TRUE,6,"2,6,3",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-05,2022-05-11,NA,NA,NA,2022-03-31,7,3,0,10,0,5,NA,NA,NA,NA,NA,NA,3,19.55,2,12.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.516666666666667,6.17,NA,NA,NA,NA,6.343333333333334,0.2451303508113365,0.7142857142857143,7.142857142857143,52.87,NA,NA,NA,NA,18.904,brightmax: 137,1.3,NA,14.541538461538462,0.06876851460008464,2022-03-31,115,141,132,2022-05-11,41,1,1,1,1,-30.78,2.51
1,3,135,HR_121,HR_139,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,NA,NA,NA,2022-04-20,12,1,0,13,20,15,NA,NA,NA,NA,NA,NA,9,27.62,2,8.19,4,8.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.068888888888889,4.095,2.1825,NA,NA,NA,3.115462962962963,0.9571002668382727,1.25,16.25,40.05,2022-04-20,24.146,327.229,NA,21.566,brightmax: 165 (alt method b/c of broken leaves,0.68,NA,31.714705882352938,0.03153111379022536,2022-03-31,115,141,132,2022-04-27,27,1,1,1,1,-30.99,3.46
1,3,136,HR_059,HR_166,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-27,NA,NA,2022-05-20,2022-05-24,NA,NA,4,0,0,4,20,6,NA,NA,NA,NA,NA,NA,6,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6166666666666667,NA,NA,NA,NA,NA,2.6166666666666667,NA,1.5,6,20.79,NA,NA,NA,NA,35.34,brightmax: 131,2.39,NA,14.786610878661088,0.0676287492925863,2022-04-07,122,148,139,2022-05-24,47,1,1,1,1,-30.6,2.65
1,3,137,HR_008,HR_042,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-05,NA,NA,NA,NA,2022-04-14,4,0,0,4,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,82.96,2022-04-14,26.407,370.883,NA,115.691,brightmax: 174,7.01,NA,16.5037089871612,0.060592440207103394,2022-04-07,122,148,139,2022-05-05,28,1,1,1,0,-30.67,3.39
2,4,138,HR_085,HR_107,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,2022-05-11,NA,NA,NA,2022-03-31,18,5,0,23,0,20,NA,NA,NA,NA,NA,NA,NA,NA,17,60.29,3,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.546470588235294,3.0833333333333335,NA,NA,NA,3.3149019607843138,0.3274874935612989,1.1111111111111112,25.555555555555557,177.62,2022-03-31,25.106,392.103,NA,62.501,brightmax: 151,3,NA,20.833666666666666,0.047999232012287806,2022-03-31,115,141,132,2022-05-11,41,1,1,1,1,-30.03,3.71
2,4,139,HR_062,HR_136,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-27,2022-05-04,2022-05-11,2022-05-20,2022-05-24,NA,2022-04-20,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-20,20.106,236.023,NA,63.796,brightmax: 175,4.98,NA,12.810441767068271,0.07806132045896295,2022-03-31,132,141,132,2022-05-24,54,1,1,0,0,NA,NA
2,4,140,HR_002,HR_071,R,5,TRUE,TRUE,TRUE,5,"5,2,4",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,17,1,0,18,0,11,NA,NA,NA,NA,NA,NA,10,32.88,NA,NA,1,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2880000000000003,NA,2.16,NA,NA,NA,2.724,0.7976164491784257,0.6470588235294118,11.647058823529413,94.17,2022-03-31,25.227,400.026,NA,46.67,brightmax: 196,2.97,NA,15.713804713804713,0.06363831154917507,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1,-30.62,4.35
2,4,141,HR_180,HR_036,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-24,22,1,0,23,0,24,NA,NA,NA,NA,NA,NA,22,74.52,2,6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.387272727272727,3.245,NA,NA,NA,NA,3.316136363636364,0.10060201023244959,1.0909090909090908,25.09090909090909,94.47,2022-03-24,25.304,387.615,NA,23.338,brigthtmax: 163,1.42,NA,16.435211267605634,0.06084497386237038,2022-03-24,125,134,125,2022-04-20,27,1,1,1,1,-30.68,2.57
