Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,11,HR_108,HR_175,2,2021-12-06,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,3,2021-12-06,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,4,2021-11-19,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,5,2021-12-06,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,6,2021-12-06,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,7,2021-12-06,2021-11-10,2021-11-19
1,1,11,HR_108,HR_175,8,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,1,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,2,2021-11-19,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,3,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,4,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,5,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,6,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,7,2021-12-06,2021-11-10,2021-11-19
1,1,12,HR_164,HR_005,8,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,1,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,2,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,3,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,4,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,5,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,6,2021-12-06,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,7,2021-11-19,2021-11-10,2021-11-19
1,1,13,HR_171,HR_057,8,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,1,NA,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,2,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,3,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,4,NA,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,5,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,6,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,7,2021-12-06,2021-11-10,2021-11-19
1,1,14,HR_196,HR_170,8,2021-12-17,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,1,2021-12-06,2021-11-10,2021-11-19
1,1,15,HR_148,HR_114,2,2021-11-19,2021-11-10,2021-11-19
