Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
12,4,R,G2,BB_134,1,,,,,,,,,,,
12,4,R,G2,BB_134,2,,,,,,,,,,,
12,4,R,G2,BB_134,3,,,,,,,,,,,
12,4,R,G2,BB_134,4,,,,,,,,,,,
12,4,R,G2,BB_134,5,,,,,,,,,,,
13,5,L,G1,BB_148,1,,,,,,,,,,,
13,5,L,G1,BB_148,2,,,,,,,,,,,
13,5,L,G1,BB_148,3,,,,,,,,,,,
13,5,L,G1,BB_148,4,,,,,,,,,,,
13,5,L,G1,BB_148,5,,,,,,,,,,,
13,5,R,G1,BB_004,1,,,,,,,,,,,
13,5,R,G1,BB_004,2,,,,,,,,,,,
13,5,R,G1,BB_004,3,,,,,,,,,,,
13,5,R,G1,BB_004,4,,,,,,,,,,,
13,5,R,G1,BB_004,5,,,,,,,,,,,
14,5,L,G2,BB_143,1,,,,,,,,,,,
14,5,L,G2,BB_143,2,,,,,,,,,,,
14,5,L,G2,BB_143,3,,,,,,,,,,,
14,5,L,G2,BB_143,4,,,,,,,,,,,
14,5,L,G2,BB_143,5,,,,,,,,,,,
14,5,R,G2,BB_159,1,,,,,,,,,,,
14,5,R,G2,BB_159,2,,,,,,,,,,,
14,5,R,G2,BB_159,3,,,,,,,,,,,
14,5,R,G2,BB_159,4,,,,,,,,,,,
14,5,R,G2,BB_159,5,,,,,,,,,,,
15,5,L,G1,BB_017,1,,,,,,,,,,,
15,5,L,G1,BB_017,2,,,,,,,,,,,
15,5,L,G1,BB_017,3,,,,,,,,,,,
15,5,L,G1,BB_017,4,,,,,,,,,,,
15,5,L,G1,BB_017,5,,,,,,,,,,,
15,5,R,G1,BB_088,1,,,,,,,,,,,
15,5,R,G1,BB_088,2,,,,,,,,,,,
15,5,R,G1,BB_088,3,,,,,,,,,,,
15,5,R,G1,BB_088,4,,,,,,,,,,,
15,5,R,G1,BB_088,5,,,,,,,,,,,
16,6,L,G1,BB_013,1,,,,,,,,,,,
16,6,L,G1,BB_013,2,,,,,,,,,,,
16,6,L,G1,BB_013,3,,,,,,,,,,,
16,6,L,G1,BB_013,4,,,,,,,,,,,
