Sequence,Transect,Segment,side,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
7,1,7,R,G2,AC_151,4,,,,,,,,,,,,,,,
7,1,7,R,G2,AC_151,5,,,,,,,,,,,,,,,
8,1,8,L,G2,AC_147,1,1,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
8,1,8,L,G2,AC_147,2,,,4/28/2023,5/12/2023,,,,,,,,,,,
8,1,8,L,G2,AC_147,3,,,4/28/2023,5/12/2023,,,,,,,,,,,
8,1,8,L,G2,AC_147,4,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
8,1,8,L,G2,AC_147,5,,,4/28/2023,5/12/2023,,,,,,,,,,,
8,1,8,R,G1,AC_147,1,,,,,,,,,,,,,,,
8,1,8,R,G1,AC_147,2,2,,4/28/2023,5/12/2023,,,,,,5/12/2023,,,,6/8/2023,
8,1,8,R,G1,AC_147,3,,,4/28/2023,5/12/2023,,,,,,,,,,,
8,1,8,R,G1,AC_147,4,,,4/28/2023,5/12/2023,,,,,5/12/2023,4/28/2023,,,,,
8,1,8,R,G1,AC_147,5,,,4/28/2023,5/12/2023,,,,,,,,,,,
9,1,9,L,G1,AC_086,1,,,4/28/2023,5/12/2023,,,,,5/12/2023,4/28/2023,,,,,
9,1,9,L,G1,AC_086,2,,,,,,,,,,,,,,,
9,1,9,L,G1,AC_086,3,3,,,,5/26/2023,,,,,,,0,,6/8/2023,
9,1,9,L,G1,AC_086,4,,,4/28/2023,5/12/2023,,,,,,,,,,,
9,1,9,L,G1,AC_086,5,,,4/28/2023,5/12/2023,,,,,,,,,,,
9,1,9,R,G1,AC_089,1,,,,,,,,,,,,,,,
9,1,9,R,G1,AC_089,2,,,,,,,,,,,,,,,
9,1,9,R,G1,AC_089,3,3,,,5/12/2023,,,,,,5/12/2023,,,,6/8/2023,
9,1,9,R,G1,AC_089,4,,,,,,,,,,,,,,,
9,1,9,R,G1,AC_089,5,,,,,,,,,,,,,,,
10,1,10,L,G2,AC_212,1,,,4/28/2023,5/12/2023,,,,,5/12/2023,4/28/2023,,,,,
10,1,10,L,G2,AC_212,2,,,,,,,,,,,,,,,
10,1,10,L,G2,AC_212,3,,,,,,,,,,,,,,,
10,1,10,L,G2,AC_212,4,4,,4/28/2023,5/12/2023,5/26/2023,,,,,,,1,,6/8/2023,
10,1,10,L,G2,AC_212,5,,,,,,,,,,,,,,,
10,1,10,R,G1,AC_212,1,,,,,,,,,,,,,,,
10,1,10,R,G1,AC_212,2,,,,,,,,,,,,,,,
10,1,10,R,G1,AC_212,3,,,,,,,,,,,,,,,
10,1,10,R,G1,AC_212,4,,,,,,,,,,,,,,,
10,1,10,R,G1,AC_212,5,,,,,,,,,,,,,,,
11,1,11,L,G1,AC_179,1,,,4/28/2023,5/12/2023,,,,,,,,,,,
11,1,11,L,G1,AC_179,2,,,,,,,,,,,,,,,
11,1,11,L,G1,AC_179,3,3,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,1,,6/8/2023,
11,1,11,L,G1,AC_179,4,,,4/28/2023,5/12/2023,5/26/2023,,,,,,,,,,
11,1,11,L,G1,AC_179,5,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
11,1,11,R,G2,AC_192,1,1,,,5/12/2023,,,,,,,,,,6/8/2023,
11,1,11,R,G2,AC_192,2,,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,,
11,1,11,R,G2,AC_192,3,,,,,,,,,,,,,,,
11,1,11,R,G2,AC_192,4,,,4/28/2023,,,,,,,,,,,,
11,1,11,R,G2,AC_192,5,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
12,1,12,L,G2,AC_107,1,,,4/28/2023,5/12/2023,,,,,,,,,,,
12,1,12,L,G2,AC_107,2,2,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
12,1,12,L,G2,AC_107,3,,,,,,,,,,,,,,,
12,1,12,L,G2,AC_107,4,,,,,,,,,,,,,,,
12,1,12,L,G2,AC_107,5,,,,,,,,,,,,,,,
12,1,12,R,G2,AC_188,1,,,4/28/2023,5/12/2023,,,,,,,,,,,
12,1,12,R,G2,AC_188,2,2,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,1,,6/8/2023,
12,1,12,R,G2,AC_188,3,,,,,,,,,,,,,,,
12,1,12,R,G2,AC_188,4,,,,,,,,,,,,,,,
12,1,12,R,G2,AC_188,5,,,,5/12/2023,,,,,5/12/2023,,,,,,
13,1,13,L,G1,AC_068,1,,,4/28/2023,5/12/2023,5/26/2023,,,,,,,,,,
13,1,13,L,G1,AC_068,2,,,4/28/2023,5/12/2023,5/26/2023,,,,,,,,,,
13,1,13,L,G1,AC_068,3,3,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,1,,6/22/2023,
13,1,13,L,G1,AC_068,4,,,,5/12/2023,5/26/2023,,,,5/12/2023,,,,,,
13,1,13,L,G1,AC_068,5,,,,,,,,,,,,,,,
13,1,13,R,G2,AC_195,1,,,4/28/2023,5/12/2023,5/26/2023,,,,5/12/2023,,,,,,
13,1,13,R,G2,AC_195,2,,,,,,,,,,,,,,,
13,1,13,R,G2,AC_195,3,,,,,,,,,,,,,,,
13,1,13,R,G2,AC_195,4,,,,,,,,,,,,,,,
13,1,13,R,G2,AC_195,5,5,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/22/2023,
14,1,14,L,G1,AC_148,1,,,,,,,,,,,,,,,
14,1,14,L,G1,AC_148,2,,,,,,,,,,,,,,,
14,1,14,L,G1,AC_148,3,,,,,,,,,,,,,,,
14,1,14,L,G1,AC_148,4,,,,,,,,,,,,,,,
14,1,14,L,G1,AC_148,5,,,,,,,,,,,,,,,
14,1,14,R,G1,AC_034,1,1,,,5/12/2023,,,,,,,,,,6/8/2023,
14,1,14,R,G1,AC_034,2,,,,,,,,,,,,,,,
14,1,14,R,G1,AC_034,3,,,,,,,,,,,,,,,
14,1,14,R,G1,AC_034,4,,,4/28/2023,5/12/2023,5/26/2023,,,,5/12/2023,4/28/2023,,,,,
14,1,14,R,G1,AC_034,5,,,,,,,,,,,,,,,
15,1,15,L,G2,AC_094,1,,,,5/12/2023,,,,,,,,,,,
15,1,15,L,G2,AC_094,2,2,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
15,1,15,L,G2,AC_094,3,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
15,1,15,L,G2,AC_094,4,,,,,,,,,,,,,,,
15,1,15,L,G2,AC_094,5,,,,,,,,,,,,,,,
15,1,15,R,G2,AC_107,1,,,,,,,,,,,,,,,
15,1,15,R,G2,AC_107,2,,,,,,,,,,,,,,,
15,1,15,R,G2,AC_107,3,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
15,1,15,R,G2,AC_107,4,4,,4/28/2023,5/12/2023,5/26/2023,,,,,4/28/2023,,,,6/22/2023,
15,1,15,R,G2,AC_107,5,,,,,,,,,,,,,,,
16,1,16,L,G2,AC_199,1,,,,,,,,,,,,,,,
16,1,16,L,G2,AC_199,2,,,,,,,,,,,,,,,
16,1,16,L,G2,AC_199,3,3,,,5/12/2023,,,,,,5/12/2023,,,,6/8/2023,
16,1,16,L,G2,AC_199,4,,,,,,,,,,,,,,,
16,1,16,L,G2,AC_199,5,,,,,,,,,,,,,,,
16,1,16,R,G1,AC_113,1,,,,,,,,,,,,,,,
16,1,16,R,G1,AC_113,2,,,,,,,,,,,,,,,
16,1,16,R,G1,AC_113,3,,,,,,,,,,,,,,,
16,1,16,R,G1,AC_113,4,,,,,,,,,,,,,,,
16,1,16,R,G1,AC_113,5,,,,,,,,,,,,,,,
17,1,17,L,G1,AC_195,1,,,,,,,,,,,,,,,
17,1,17,L,G1,AC_195,2,,,,,,,,,,,,,,,
17,1,17,L,G1,AC_195,3,,,,,,,,,,,,,,,
17,1,17,L,G1,AC_195,4,,,,,,,,,,,,,,,
17,1,17,L,G1,AC_195,5,,,,,,,,,,,,,,,
17,1,17,R,G2,AC_066,1,,,,5/12/2023,,,,,,5/12/2023,,,,,
17,1,17,R,G2,AC_066,2,2,,,5/12/2023,,,,,,,,,,6/22/2023,
17,1,17,R,G2,AC_066,3,,,,,,,,,,,,,,,
17,1,17,R,G2,AC_066,4,,,4/28/2023,5/12/2023,5/26/2023,,,,,,,,,,
17,1,17,R,G2,AC_066,5,,,,5/12/2023,,,,,5/12/2023,,,,,,
18,1,18,L,G1,AC_081,1,,,,,,,,,,,,,,,
18,1,18,L,G1,AC_081,2,,,,,,,,,,,,,,,
18,1,18,L,G1,AC_081,3,3,,,5/12/2023,,,,,,5/12/2023,,,,6/22/2023,
18,1,18,L,G1,AC_081,4,,,,,,,,,,,,,,,
18,1,18,L,G1,AC_081,5,,,,,,,,,,,,,,,
18,1,18,R,G1,AC_153,1,1,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/22/2023,
18,1,18,R,G1,AC_153,2,,,4/28/2023,5/12/2023,,,,,,,,,,,
18,1,18,R,G1,AC_153,3,,,,,,,,,,,,,,,
18,1,18,R,G1,AC_153,4,,,4/28/2023,5/12/2023,,,,,5/12/2023,,,,,,
18,1,18,R,G1,AC_153,5,,,,,,,,,,,,,,,
19,1,19,L,G2,AC_155,1,1,,4/28/2023,,,,,,,,,,,,"No plant, no skel 6/21"
19,1,19,L,G2,AC_155,2,,,4/28/2023,,,,,,,,,,,,
19,1,19,L,G2,AC_155,3,,,,,,,,,,,,,,,
19,1,19,L,G2,AC_155,4,,,,,,,,,,,,,,,
19,1,19,L,G2,AC_155,5,,,,,,,,,,,,,,,
19,1,19,R,G1,AC_119,1,,,,,,,,,,,,,,,
19,1,19,R,G1,AC_119,2,,,,,,,,,,,,,,,
19,1,19,R,G1,AC_119,3,3,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/8/2023,
19,1,19,R,G1,AC_119,4,,,,,,,,,,,,,,,
19,1,19,R,G1,AC_119,5,,,,5/12/2023,,,,,5/12/2023,,,,,,
20,1,20,L,G2,AC_213,1,,,,,,,,,,,,,,,
20,1,20,L,G2,AC_213,2,,,,,,,,,,,,,,,
20,1,20,L,G2,AC_213,3,3,,,5/12/2023,,,,,,5/12/2023,,,,,
20,1,20,L,G2,AC_213,4,,,,,,,,,,,,,,,
20,1,20,L,G2,AC_213,5,,,,,,,,,,,,,,,
20,1,20,R,G1,AC_178,1,,,,,,,,,,,,,,,
20,1,20,R,G1,AC_178,2,,,,,,,,,,,,,,,
20,1,20,R,G1,AC_178,3,3,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/22/2023,
20,1,20,R,G1,AC_178,4,,,,,,,,,,,,,,,
20,1,20,R,G1,AC_178,5,,,,,,,,,5/12/2023,,,,,,
21,1,21,L,G1,AC_188,1,,,,,,,,,,,,,,,
21,1,21,L,G1,AC_188,2,,,,,,,,,,,,,,,
21,1,21,L,G1,AC_188,3,,,,,,,,,,,,,,,
21,1,21,L,G1,AC_188,4,4,,4/28/2023,5/12/2023,,,,,,4/28/2023,,,,6/22/2023,
21,1,21,L,G1,AC_188,5,,,,,,,,,,,,,,,
21,1,21,R,G2,AC_011,1,,,4/28/2023,,,,,,,,,,,,
