Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_area_mm2,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,skel_dryweight_mg,d13C,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,22,1,1,1,BO_101,BO_024,G1,R,3,TRUE,TRUE,TRUE,3,"2,3",2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,NA,NA,NA,NA,NA,NA,19.42,-27.82,3.81,3,0,3,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,23,5,1,1,BO_143,BO_004,G1,R,6,TRUE,TRUE,TRUE,6,"6,7",2021-12-28,2021-11-11,2021-11-17,2022-04-13,2022-04-13,0,106,153,147,NA,NA,NA,NA,NA,NA,2.59,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,24,1,1,1,BO_128,BO_060,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-21,13,123,148,142,NA,NA,NA,NA,NA,NA,11.73,-30.47,1.57,2,2,4,0,3,3.7866666666666666,NA,1.5,6,6,1,1,1,1,1
2022,25,5,1,1,BO_005,BO_176,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-13,12,116,141,135,24.67,401.675,20.14,1.48,13.608108108108109,0.07348560079443893,12.1,-28.52,3.44,0,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,0
2022,26,6,1,1,BO_149,BO_185,G1,n,1,TRUE,FALSE,TRUE,1,1,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,NA,NA,NA,NA,19.1,-28.44,3.58,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,27,2,1,1,BO_096,BO_178,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-28,27,116,141,135,23.8,333.705,43.308,4.24,10.214150943396225,0.09790338967396325,NA,NA,NA,2,0,2,4,2,2.945,NA,1,2,2,1,1,1,1,1
2022,28,5,1,1,BO_194,BO_098,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-03-25,2022-04-28,34,109,134,128,21.35,213.134,NA,NA,NA,NA,1.47,NA,NA,1,0,1,0,2,2.25,NA,2,2,2,1,1,1,1,1
2022,29,2,1,1,BO_177,BO_139,G1,n,7,TRUE,FALSE,TRUE,7,7,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,NA,NA,NA,NA,2.65,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,30,1,1,1,BO_101,BO_182,G1,R,4,TRUE,TRUE,TRUE,4,"1,4",2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-28,27,116,141,135,25.46,379.43,NA,NA,NA,NA,7.32,-29.1,2.07,4,0,4,0,8,3.6416666666666666,0.9875924710572113,2,8,8,1,1,1,1,1
2022,31,5,1,1,BO_168,BO_175,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-28,20,123,148,142,25.79,350.972,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,32,4,1,1,BO_074,BO_118,G1,n,3,TRUE,FALSE,TRUE,3,3,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-21,13,123,148,142,NA,NA,31.08,2.23,13.937219730941703,0.07175032175032175,NA,NA,NA,0,0,0,7,0,NA,NA,NA,0,0,1,1,0,0,0
2022,33,2,1,1,BO_038,BO_149,G1,R,4,TRUE,TRUE,TRUE,4,"1,4",2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,31.88,581.112,NA,NA,NA,NA,NA,-28.91,2.67,2,0,2,0,0,NA,NA,0,0,0,1,1,1,1,0
2022,34,2,1,1,BO_177,BO_121,G1,n,6,TRUE,FALSE,TRUE,6,6,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-05,27,123,148,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,35,6,1,1,BO_013,BO_141,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-13,2022-05-20,37,128,153,147,NA,NA,132.948,5.24,25.37175572519084,0.03941390618888588,NA,NA,NA,7,0,7,10,14,2.3814285714285717,NA,2,14,14,1,1,1,1,1
2022,37,4,1,1,BO_192,BO_127,G1,R,8,TRUE,TRUE,TRUE,8,8,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-05-20,42,123,148,142,25.93,494.939,NA,NA,NA,NA,333.97,-27.97,3.35,14,24,38,0,46,4.475434782608696,NA,3.2857142857142856,124.85714285714285,125,1,1,1,1,1
2022,38,1,1,1,BO_101,BO_080,G1,R,1,TRUE,TRUE,TRUE,1,"1,2,3",2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-28,20,123,148,142,26.86,410.832,NA,NA,NA,NA,8.1,-29.46,3.24,4,0,4,0,2,2.145,NA,0.5,2,2,1,1,1,1,1
2022,40,2,1,1,BO_038,BO_082,G1,R,1,TRUE,TRUE,TRUE,1,"1,2",2021-12-06,2021-11-11,2021-11-17,2022-04-01,2022-04-21,20,116,141,135,21.45,313.333,NA,NA,NA,NA,NA,-27.92,3.97,0,0,0,NA,0,NA,NA,NA,0,0,1,1,0,0,0
2022,42,5,1,1,BO_058,BO_094,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-15,2021-11-11,2021-11-17,2022-04-01,2022-05-25,54,107,141,135,22.35,286.315,NA,NA,NA,NA,NA,-28.74,3.59,5,1,6,0,33,3.623181818181818,0.1407785318907767,6.6,39.599999999999994,40,1,1,1,1,1
2022,44,5,1,1,BO_168,BO_155,G1,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-11-11,2021-11-17,2022-04-13,2022-04-13,0,NA,153,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,0,1,1,0,0
2022,46,5,1,2,BO_188,BO_052,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,47,6,1,2,BO_201,BO_189,G1,R,4,TRUE,TRUE,TRUE,4,4,NA,2021-11-11,2021-11-17,2022-04-08,2022-05-12,34,NA,148,142,22.11,307.454,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,3,2.7899999999999996,NA,1.5,3,3,0,1,1,1,1
2022,49,6,1,2,BO_183,BO_198,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-11,2021-11-17,2022-04-08,2022-04-08,0,123,148,142,NA,NA,NA,NA,NA,NA,4.93,NA,NA,0,2,2,1,0,NA,NA,NA,NA,NA,1,1,1,0,0
