,,,,,,Collection Date: 2022-04-14,,,Collection Date: 2022-04-20,,,Collection Date: 2022-04-26 to 2022-04-27,,,Collection Date: 2022-05-02 to 2022-05-06,,,Collection Date: 2022-05-09 to 2022-05-12,,,Collection Date: 2022-05-16 to 2022-05-20,,,Collection Date: 2022-05- 23 to 2022-05-24,,,Collection Date: 2022-06-13 to 2022-06-19,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
11,1,HR_175,HR_175,6,14,,,,,,,,,,,,,9,,14,,,,,,,,,,,,
3,1,HR_176,HR_176,7,5,,,,,,,,,,5,,3,2,,1,1,,1,,,,,,,,,
5,1,HR_177,HR_177,3,37,,,,,,,1,,6,8,,31,4,,0,1,,0,,,,,,,,,
37,1,HR_178,HR_178,6,10,,,,,,,,,,3,,2,3,,7,2,,0,2,,1,,,,,,
2,1,HR_183,HR_183,2,11,,,,,,,2,,2,8,,7,4,,2,2,,0,,,,,,,,,
17,1,HR_196,HR_196,5,62,,,,,,,,,,11,,37,9,,20,6,,5,2,,0,,,,,,
75,2,HR_6,HR_006,6,7,,,,,,,1,,6,3,,1,2,,0,1,,0,,,,,,,,,
0,2,HR_12,HR_012,7,6,,,,,,,,,,3,,6,2,,0,1,,0,1,,0,,,,,,
48,2,HR_14,HR_014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,HR_15,HR_015,3,1,,,,,,,3,,0,3,,1,1,,0,,,,,,,,,,,,
52,2,HR_15,HR_015,6,5,,,,,,,,,,,,,5,,5,,,,,,,,,,,,
52,2,HR_15,HR_015,7,4,,,,1,,0,,,,17,,0,4,,3,,,,1,,1,,,,,,
78,2,HR_23,HR_023,2,7,,,,,,,,,,2,,4,1,,3,,,,,,,,,,,,
50,2,HR_27,HR_027,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2,HR_34,HR_034,5,36,,,,,,,,,,13,,29,5,,1,3,,4,1,,2,,,,,,
59,2,HR_35,HR_035,6,4,,,,,,,,,,5,,4,1,,0,,,,,,,,,,,,
67,2,HR_38,HR_038,8,8,,,,,,,,,,8,,3,4,,5,,,,,,,,,,,,
85,2,HR_43,HR_043,1,2,,,,,,,,,,3,,1,2,,1,,,,,,,,,,,,
85,2,HR_43,HR_043,4,7,,,,,,,,,,3,,7,,,,,,,,,,,,,,,
85,2,HR_43,HR_043,5,8,,,,,,,,,,5,,6,3,,2,,,,,,,,,,,,
49,2,HR_50,HR_050,1,14,,,,,,,,,,7,,8,2,,3,2,,3,,,,,,,,,
86,2,HR_51,HR_051,3,0,,,,,,,,,,2,,0,3,,0,,,,,,,,,,,,
77,2,HR_54,HR_054,1,6,,,,,,,,,,5,,5,4,,1,3,,0,,,,,,,,,
92,2,HR_59,HR_059,1,3,,,,,,,,,,2,,1,2,,2,1,,0,,,,,,,,,
92,2,HR_59,HR_059,5,3,,,,,,,,,,2,,0,3,,3,1,,0,,,,,,,,,
92,2,HR_59,HR_059,8,4,,,,,,,,,,,,,4,,2,5,,2,2,,0,,,,,,
76,2,HR_62,HR_062,5,0,,,,,,,,,,3,,0,,,,,,,,,,,,,,,
83,2,HR_64,HR_064,6,21,,,,,,,,,,5,,21,3,,0,2,,0,,,,,,,,,
83,2,HR_64,HR_064,7,5,,,,,,,,,,4,,5,2,,0,,,,,,,,,,,,
83,2,HR_64,HR_064,8,21,,,,,,,,,,5,,21,2,,0,,,,,,,,,,,,
91,2,HR_71,HR_071,2,1,,,,,,,,,,3,,1,2,,0,,,,,,,,,,,,
91,2,HR_71,HR_071,5,4,,,,,,,,,,4,,1,2,,3,,,,,,,,,,,,
91,2,HR_71,HR_071,7,4,,,,,,,,,,4,,2,5,,2,,,,,,,,,,,,
57,2,HR_72,HR_072,7,20,,,,,,,4,,13,6,,4,6,,2,2,,1,1,,0,,,,,,
74,2,HR_73,HR_073,3,0,,,,,,,1,,0,2,,0,,,,,,,,,,,,,,,
88,2,HR_78,HR_078,2,3,,,,,,,,,,2,,3,3,,0,,,,,,,,,,,,
64,2,HR_80,HR_080,1,11,,,,,,,,,,4,,4,5,,5,1,,2,1,,0,,,,,,
64,2,HR_80,HR_080,6,2,,,,,,,,,,3,,2,1,,0,1,,0,,,,,,,,,
51,2,HR_85,HR_085,4,42,,,,,,,3,,1,10,,21,10,,15,7,,5,,,,,,,,,
73,2,HR_86,HR_086,1,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,
70,2,HR_88,HR_088,8,2,,,,,,,,,,1,,2,,,,,,,,,,,,,,,
66,2,HR_101,HR_101,3,13,,,,,,,,,,5,,11,1,,2,,,,1,,0,,,,,,
66,2,HR_101,HR_101,4,17,,,,,,,,,,6,,15,,,,2,,2,,,,,,,,,
66,2,HR_101,HR_101,6,19,,,,,,,,,,6,,18,2,,1,,,,,,,,,,,,
79,2,HR_104,HR_104,4,7,,,,,,,,,,3,,5,2,,2,2,,0,,,,,,,,,
56,2,HR_107,HR_107,6,14,,,,,,,,,,12,,9,2,,3,4,,2,,,,,,,,,
90,2,HR_109,HR_109,8,9,,,,,,,,,,4,,4,3,,4,2,,1,,,,,,,,,
53,2,HR_112,HR_112,3,67,,,,,,,1,,2,12,,32,10,,23,8,,10,,,,,,,,,
53,2,HR_112,HR_112,5,25,,,,,,,3,,1,12,,19,3,,1,7,,4,,,,,,,,,
53,2,HR_112,HR_112,7,15,,,,,,,,,,13,,10,4,,1,11,,4,,,,,,,,,
55,2,HR_119,HR_119,1,35,,,,,,,3,,4,9,,31,6,,0,,,,,,,,,,,,
55,2,HR_119,HR_119,5,29,,,,,,,3,,13,8,,13,3,,3,,,,,,,,,,,,
55,2,HR_119,HR_119,8,22,,,,,,,2,,16,4,,5,4,,1,,,,,,,,,,,,
65,2,HR_121,HR_121,1,7,,,,,,,2,,0,5,,6,1,,1,,,,,,,,,,,,
60,2,HR_126,HR_126,7,36,,,,,,,1,,2,10,,23,4,,4,6,,7,,,,,,,,,
69,2,HR_129,HR_129,1,4,,,,,,,,,,4,,4,1,,0,,,,,,,,,,,,
87,2,HR_133,HR_133,6,11,,,,,,,,,,2,,6,2,,0,2,,5,,,,,,,,,
84,2,HR_137,HR_137,8,72,,,,,,,,,,10,,25,8,,21,9,,21,6,,5,,,,,,
71,2,HR_142,HR_142,1,44,,,,,,,,,,10,,43,,,,4,,1,,,,,,,,,
71,2,HR_142,HR_142,3,3,,,,,,,2,,0,3,,3,6,,0,1,,0,1,,0,,,,,,
71,2,HR_142,HR_142,4,0,,,,,,,,,,2,,0,1,,0,,,,,,,,,,,,
80,2,HR_145,HR_145,3,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
80,2,HR_145,HR_145,5,4,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
80,2,HR_145,HR_145,6,8,,,,,,,,,,3,,8,,,,2,,0,,,,,,,,,
54,2,HR_149,HR_149,1,5,,,,,,,2,,1,10,,1,8,,2,9,,1,,,,,,,,,
54,2,HR_149,HR_149,2,51,,,,,,,,,,20,,46,8,,0,6,,5,,,,,,,,,
54,2,HR_149,HR_149,4,50,,,,,,,5,,32,12,,15,,,,3,,3,,,,,,,,,
72,2,HR_153,HR_153,4,2,,,,,,,,,,2,,2,,,,,,,,,,,,,,,
58,2,HR_161,HR_161,8,63,,,,,,,,,,14,,60,6,,3,1,,0,,,,,,,,,
89,2,HR_164,HR_164,3,2,,,,,,,,,,2,,2,,,,,,,1,,0,,,,,,
82,2,HR_165,HR_165,8,11,,,,,,,,,,7,,11,5,,0,,,,,,,,,,,,
61,2,HR_169,HR_169,5,70,,,,,,,,,,20,,53,18,,14,6,,3,,,,,,,,,
68,2,HR_180,HR_180,2,6,,,,,,,1,,0,,,,8,,6,3,,0,,,,,,,,,
68,2,HR_180,HR_180,6,8,,,,,,,,,,3,,6,2,,2,,,,,,,,,,,,
47,2,HR_195,HR_195,3,11,,,,,,,3,,6,3,,5,1,,0,,,,,,,,,,,,
63,2,HR_201,HR_201,6,21,,,,,,,4,,6,8,,14,,,,1,,1,,,,,,,,,
121,3,HR_1,HR_001,7,14,,,,,,,,,,4,,10,5,,4,,,,,,,,,,,,
101,3,HR_4,HR_004,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,HR_9,HR_009,8,22,,,,,,,3,,16,4,,5,,,,4,,1,,,,,,,,,
99,3,HR_17,HR_017,4,22,,,,,,,,,,6,,10,7,,7,11,,5,,,,,,,,,
99,3,HR_17,HR_017,7,31,,,,,,,,,,8,,30,4,,0,3,,1,,,,,,,,,
99,3,HR_17,HR_017,8,4,,,,,,,,,,5,,3,4,,1,4,,0,,,,,,,,,
110,3,HR_19,HR_019,5,44,,,,,,,3,,7,23,,37,5,,0,,,,,,,,,,,,
103,3,HR_21,HR_021,4,13,,,,,,,1,,3,10,,8,5,,2,1,,0,,,,,,,,,
100,3,HR_28,HR_028,1,18,,,,,,,,,,11,,10,10,,4,7,,2,2,,2,,,,,,
137,3,HR_42,HR_042,7,0,,,,,,,,,,1,,0,2,,0,1,,0,,,,,,,,,
129,3,HR_44,HR_044,1,8,,,,,,,,,,3,,8,2,,0,1,,0,,,,,,,,,
129,3,HR_44,HR_044,4,10,,,,,,,1,,2,9,,7,2,,1,4,,0,,,,,,,,,
129,3,HR_44,HR_044,8,34,,,,,,,,,,9,,11,6,,18,4,,5,,,,,,,,,
133,3,HR_53,HR_053,3,0,,,,,,,,,,2,,0,1,,0,1,,0,,,,,,,,,
124,3,HR_56,HR_056,2,1,,,,,,,,,,4,,1,1,,0,,,,,,,,,,,,
124,3,HR_56,HR_056,6,19,,,,,,,1,,7,,,,8,,10,3,,2,,,,,,,,,
124,3,HR_56,HR_056,7,36,,,,,,,4,,18,,,,7,,17,5,,1,,,,,,,,,
128,3,HR_65,HR_065,6,51,,,,,,,,,,16,,46,8,,4,12,,1,1,,0,,,,,,
115,3,HR_66,HR_066,7,6,,,,,,,2,,2,2,,4,,,,,,,,,,,,,,,
114,3,HR_67,HR_067,5,1,,,,,,,,,,4,,1,1,,0,2,,0,4,,0,,,,,,
123,3,HR_68,HR_068,2,4,,,,,,,,,,4,,4,,,,1,,0,,,,,,,,,
93,3,HR_70,HR_070,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3,HR_79,HR_079,4,9,,,,,,,,,,5,,9,4,,0,2,,0,,,,,,,,,
96,3,HR_87,HR_087,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,3,HR_103,HR_103,2,19,,,,,,,1,,4,14,,15,,,,,,,,,,,,,,,
122,3,HR_111,HR_111,3,4,,,,,,,,,,4,,4,1,,0,1,,0,,,,,,,,,
108,3,HR_116,HR_116,5,12,,,,,,,,,,7,,1,11,,3,15,,6,3,,2,,,,,,
97,3,HR_118,HR_118,8,21,,,,,,,3,,6,13,,11,8,,4,,,,1,,0,,,,,,
125,3,HR_124,HR_124,6,21,,,,,,,1,,1,10,,20,,,,,,,,,,,,,,,
130,3,HR_127,HR_127,7,36,,,,,,,1,,4,9,,26,4,,6,1,,0,,,,,,,,,
95,3,HR_131,HR_131,6,13,,,,,,,,,,8,,4,6,,9,2,,0,,,,,,,,,
117,3,HR_135,HR_135,4,5,,,,,,,,,,7,,5,8,,0,3,,0,4,,0,,,,,,
135,3,HR_139,HR_139,2,15,,,,,,,,,,4,,9,2,,2,6,,4,,,,,,,,,
118,3,HR_141,HR_141,5,110,,,,,,,2,,10,15,,82,6,,18,4,,0,1,,0,,,,,,
126,3,HR_147,HR_147,7,10,,,,,,,,,,8,,6,4,,4,2,,0,,,,,,,,,
107,3,HR_150,HR_150,2,7,,,,,,,,,,7,,5,5,,1,1,,1,,,,,,,,,
106,3,HR_152,HR_152,1,7,,,,,,,2,,0,3,,5,3,,2,,,,,,,,,,,,
120,3,HR_155,HR_155,7,34,,,,,,,1,,2,12,,29,5,,3,2,,0,,,,,,,,,
113,3,HR_156,HR_156,5,23,,,,,,,,,,21,,10,9,,4,8,,6,3,,3,,,,,,
116,3,HR_159,HR_159,3,11,,,,,,,2,,1,9,,4,4,,5,3,,1,,,,,,,,,
136,3,HR_166,HR_166,4,6,,,,,,,,,,3,,6,1,,0,,,,,,,,,,,,
112,3,HR_168,HR_168,4,10,,,,,,,,,,6,,6,4,,2,2,,2,,,,,,,,,
104,3,HR_174,HR_174,7,4,,,,,,,,,,2,,3,2,,1,,,,,,,,,,,,
111,3,HR_179,HR_179,7,20,,,,,,,,,,14,,18,7,,2,,,,,,,,,,,,
119,3,HR_181,HR_181,5,8,,,,,,,1,,0,5,,8,2,,0,1,,0,,,,,,,,,
98,3,HR_182,HR_182,3,1,,,,,,,,,,5,,1,3,,0,1,,0,,,,,,,,,
134,3,HR_184,HR_184,2,13,,,,,,,,,,8,,6,,,,10,,7,,,,,,,,,
134,3,HR_184,HR_184,3,12,,,,,,,,,,5,,8,,,,1,,4,,,,,,,,,
134,3,HR_184,HR_184,6,5,,,,,,,,,,5,,3,1,,2,1,,0,,,,,,,,,
109,3,HR_190,HR_190,4,18,,,,,,,,,,11,,15,5,,3,,,,,,,,,,,,
131,3,HR_192,HR_192,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,3,HR_193,HR_193,6,23,,,,,,,,,,11,,8,6,,5,6,,10,,,,,,,,,
127,3,HR_197,HR_197,3,15,,,,,,,,,,6,,10,1,,3,2,,2,,,,,,,,,
143,4,HR_4,HR_004,3,0,,,,,,,,,,2,,0,,,,,,,,,,,,,,,
155,4,HR_5,HR_005,8,9,,,,,,,,,,8,,8,4,,1,,,,,,,,,,,,
144,4,HR_7,HR_007,7,11,,,,,,,,,,6,,11,1,,0,1,,0,,,,,,,,,
172,4,HR_11,HR_011,4,11,,,,,,,,,,4,,8,3,,2,2,,1,,,,,,,,,
158,4,HR_12,HR_012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,HR_17,HR_017,2,2,,,,,,,,,,2,,0,3,,1,2,,1,,,,,,,,,
171,4,HR_17,HR_017,3,4,,,,,,,,,,4,,2,10,,2,1,,0,,,,,,,,,
171,4,HR_17,HR_017,6,0,,,,,,,,,,,,,3,,0,,,,,,,,,,,,
160,4,HR_34,HR_034,7,6,,,,,,,,,,,,,3,,6,,,,,,,,,,,,
156,4,HR_35,HR_035,8,6,,,,,,,,,,6,,6,1,,0,,,,,,,,,,,,
141,4,HR_36,HR_036,8,24,,,,,,,,,,15,,22,6,,2,,,,1,,0,,,,,,
181,4,HR_39,HR_039,6,20,,,,,,,,,,12,,8,13,,10,5,,2,,,,,,,,,
180,4,HR_40,HR_040,2,52,,,,,,,,,,16,,50,7,,2,5,,0,,,,,,,,,
180,4,HR_40,HR_040,5,14,,,,,,,,,,,,,11,,9,6,,5,,,,,,,,,
180,4,HR_40,HR_040,8,0,,,,,,,1,,0,,,,3,,0,,,,,,,,,,,,
164,4,HR_42,HR_042,8,1,,,,,,,,,,2,,0,2,,0,5,,1,2,,0,,,,,,
176,4,HR_49,HR_049,4,8,,,,,,,1,,0,9,,7,3,,0,,,,1,,1,,,,,,
161,4,HR_53,HR_053,7,1,,,,,,,,,,,,,3,,1,2,,0,,,,,,,,,
157,4,HR_58,HR_058,2,0,,,,,,,,,,2,,0,5,,0,,,,,,,,,,,,
179,4,HR_61,HR_061,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,HR_64,HR_064,4,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,
147,4,HR_64,HR_064,7,2,,,,,,,,,,,,,,,,3,,2,,,,,,,,,
165,4,HR_67,HR_067,3,0,,,,,,,,,,4,,0,4,,0,4,,0,1,,0,,,,,,
154,4,HR_70,HR_070,5,0,,,,,,,,,,2,,0,2,,0,2,,0,,,,,,,,,
140,4,HR_71,HR_071,2,6,,,,,,,,,,7,,6,6,,0,1,,0,,,,,,,,,
140,4,HR_71,HR_071,4,10,,,,,,,1,,0,9,,3,8,,6,2,,1,,,,,,,,,
140,4,HR_71,HR_071,5,11,,,,,,,,,,12,,10,3,,0,2,,1,,,,,,,,,
170,4,HR_78,HR_078,5,12,,,,,,,,,,3,,12,3,,0,2,,0,,,,,,,,,
174,4,HR_80,HR_080,1,0,,,,,,,,,,2,,0,6,,0,3,,0,,,,,,,,,
174,4,HR_80,HR_080,2,3,,,,,,,,,,2,,3,1,,0,,,,1,,0,,,,,,
174,4,HR_80,HR_080,5,1,,,,,,,,,,4,,1,,,,1,,0,,,,,,,,,
162,4,HR_83,HR_083,4,1,,,,,,,,,,,,,4,,1,1,,0,,,,,,,,,
148,4,HR_85,HR_085,5,1,,,,,,,,,,1,,1,1,,0,,,,,,,,,,,,
138,4,HR_107,HR_107,7,20,,,,,,,1,,0,,,,12,,17,5,,3,,,,,,,,,
142,4,HR_108,HR_108,2,1,,,,,,,,,,,,,4,,1,1,,0,2,,0,,,,,,
167,4,HR_118,HR_118,1,3,,,,,,,,,,4,,2,,,,,,,1,,1,,,,,,
173,4,HR_126,HR_126,8,16,,,,,,,1,,2,11,,6,7,,2,8,,5,2,,1,,,,,,
139,4,HR_136,HR_136,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4,HR_139,HR_139,6,4,,,,,,,2,,0,4,,4,3,,0,1,,0,,,,,,,,,
182,4,HR_141,HR_141,4,5,,,,,,,,,,4,,5,5,,0,,,,,,,,,,,,
159,4,HR_145,HR_145,1,0,,,,,,,,,,1,,0,2,,0,,,,1,,0,,,,,,
159,4,HR_145,HR_145,3,6,,,,,,,,,,,,,4,,0,4,,6,,,,,,,,,
159,4,HR_145,HR_145,6,4,,,,,,,1,,0,3,,4,3,,0,,,,,,,,,,,,
150,4,HR_146,HR_146,1,31,,,,,,,,,,5,,30,5,,1,,,,3,,0,,,,,,
150,4,HR_146,HR_146,5,4,,,,,,,,,,8,,3,6,,1,1,,0,,,,,,,,,
150,4,HR_146,HR_146,7,14,,,,,,,,,,6,,14,2,,0,2,,0,,,,,,,,,
152,4,HR_147,HR_147,5,12,,,,,,,,,,5,,12,2,,0,,,,,,,,,,,,
175,4,HR_150,HR_150,5,8,,,,,,,,,,5,,5,11,,3,,,,,,,,,,,,
166,4,HR_156,HR_156,6,7,,,,,,,,,,5,,6,1,,0,4,,1,,,,,,,,,
177,4,HR_158,HR_158,7,3,,,,,,,,,,,,,5,,2,3,,1,,,,,,,,,
149,4,HR_164,HR_164,1,6,,,,,,,,,,3,,6,1,,0,,,,,,,,,,,,
153,4,HR_166,HR_166,6,6,,,,,,,,,,,,,1,,5,,,,1,,1,,,,,,
151,4,HR_168,HR_168,4,4,,,,,,,,,,3,,3,,,,,,,1,,1,,,,,,
145,4,HR_169,HR_169,5,7,,,,,,,,,,,,,5,,4,3,,3,,,,,,,,,
146,4,HR_175,HR_175,6,9,,,,,,,,,,5,,4,5,,5,1,,0,,,,,,,,,
163,4,HR_184,HR_184,2,0,,,,,,,,,,,,,4,,0,2,,0,,,,,,,,,
163,4,HR_184,HR_184,6,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
163,4,HR_184,HR_184,8,6,,,,,,,,,,,,,5,,6,1,,0,,,,,,,,,
168,4,HR_192,HR_192,6,0,,,,,,,,,,,,,1,,0,1,,0,,,,,,,,,
183,4,HR_193,HR_193,3,15,,,,,,,1,,1,8,,6,6,,8,1,,0,,,,,,,,,
178,4,HR_196,HR_196,1,15,,,,,,,1,,0,5,,10,2,,5,2,,0,,,,,,,,,
228,5,HR_1,HR_001,5,14,,,,,,,,,,10,,14,2,,0,1,,0,,,,,,,,,
209,5,HR_6,HR_006,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
227,5,HR_9,HR_009,6,23,,,,,,,,,,9,,17,6,,3,4,,3,,,,,,,,,
222,5,HR_20,HR_020,6,7,,,,,,,,,,2,,4,3,,3,,,,,,,,,,,,
215,5,HR_21,HR_021,1,0,,,,,,,,,,1,,0,2,,0,2,,0,,,,,,,,,
