,,,,,,Collection Date: 2022-04-14,,,Collection Date: 2022-04-20,,,Collection Date: 2022-04-26 to 2022-04-27,,,Collection Date: 2022-05-02 to 2022-05-06,,,Collection Date: 2022-05-09 to 2022-05-12,,,Collection Date: 2022-05-16 to 2022-05-20,,,Collection Date: 2022-05- 23 to 2022-05-24,,,Collection Date: 2022-06-13 to 2022-06-19,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
200,5,HR_33,HR_033,6,7,,,,,,,,,,9,,7,2,,0,3,,0,,,,,,,,,
225,5,HR_43,HR_043,7,31,,,,,,,,,,3,,22,3,,9,,,,,,,,,,,,
225,5,HR_43,HR_043,1,23,,,,,,,,,,8,,22,3,,1,,,,,,,,,,,,
225,5,HR_43,HR_043,2,25,,,,,,,,,,5,,21,6,,4,,,,,,,,,,,,
214,5,HR_44,HR_044,3,4,,,,,,,,,,2,,2,4,,1,5,,0,2,,1,,,,,,
214,5,HR_44,HR_044,5,9,,,,,,,,,,5,,6,2,,2,3,,0,1,,1,,,,,,
214,5,HR_44,HR_044,6,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
226,5,HR_46,HR_046,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,5,HR_47,HR_047,5,7,,,,,,,2,,7,,,,,,,,,,,,,,,,,,
184,5,HR_50,HR_050,6,62,,,,,,,1,,5,20,,37,16,,6,11,,14,,,,,,,,,
201,5,HR_54,HR_054,5,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,
229,5,HR_56,HR_056,3,27,,,,,,,,,,10,,20,18,,7,3,,0,,,,,,,,,
229,5,HR_56,HR_056,4,4,,,,,,,,,,5,,3,2,,1,1,,0,,,,,,,,,
229,5,HR_56,HR_056,7,44,,,,,,,,,,10,,30,6,,13,3,,1,,,,,,,,,
198,5,HR_57,HR_057,5,15,,,,,,,,,,6,,13,1,,0,2,,2,,,,,,,,,
224,5,HR_62,HR_062,2,20,,,,,,,1,,1,9,,8,9,,7,6,,4,,,,,,,,,
199,5,HR_65,HR_065,4,29,,,,,,,,,,9,,24,5,,5,,,,,,,,,,,,
219,5,HR_66,HR_066,3,7,,,,,,,,,,2,,7,2,,0,,,,,,,1,,0,,,
218,5,HR_68,HR_068,7,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
203,5,HR_72,HR_072,6,16,,,,,,,,,,3,,10,3,,6,1,,0,,,,,,,,,
196,5,HR_73,HR_073,5,24,,,,,,,,,,9,,22,7,,2,,,,,,,,,,,,
207,5,HR_86,HR_086,3,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
195,5,HR_87,HR_087,3,4,,,,,,,,,,4,,2,1,,2,,,,,,,,,,,,
186,5,HR_103,HR_103,8,62,,,,,,,,,,10,,38,10,,20,3,,4,,,,,,,,,
191,5,HR_109,HR_109,8,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
193,5,HR_110,HR_110,4,29,,,,,,,,,,6,,26,2,,3,,,,,,,,,,,,
202,5,HR_119,HR_119,1,31,,,,,,,,,,6,,28,,,,5,,3,,,,,,,,,
202,5,HR_119,HR_119,2,13,,,,,,,,,,5,,13,,,,,,,,,,,,,,,
202,5,HR_119,HR_119,7,12,,,,,,,,,,7,,10,1,,0,2,,2,,,,,,,,,
197,5,HR_123,HR_123,6,12,,,,,,,,,,5,,11,2,,1,,,,,,,,,,,,
216,5,HR_124,HR_124,6,1,,,,,,,,,,1,,0,2,,1,,,,,,,,,,,,
189,5,HR_127,HR_127,1,42,,,,,,,1,,7,6,,30,7,,5,,,,,,,,,,,,
213,5,HR_131,HR_131,2,0,,,,,,,,,,3,,0,,,,,,,,,,,,,,,
211,5,HR_133,HR_133,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,5,HR_134,HR_134,8,11,,,,,,,,,,7,,11,1,,0,,,,,,,,,,,,
220,5,HR_142,HR_142,2,13,,,,,,,,,,5,,4,,,,,,,7,,9,,,,,,
220,5,HR_142,HR_142,5,35,,,,,,,,,,7,,22,,,,,,,10,,13,,,,,,
220,5,HR_142,HR_142,6,10,,,,,,,,,,5,,10,,,,,,,,,,,,,,,
190,5,HR_152,HR_152,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,5,HR_153,HR_153,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,5,HR_162,HR_162,1,4,,,,,,,,,,3,,2,1,,0,2,,2,,,,,,,,,
221,5,HR_162,HR_162,2,3,,,,,,,,,,2,,1,2,,2,1,,0,1,,0,,,,,,
221,5,HR_162,HR_162,6,8,,,,,,,,,,3,,8,2,,0,,,,2,,0,,,,,,
223,5,HR_165,HR_165,5,39,,,,,,,1,,6,9,,27,3,,5,2,,1,,,,,,,,,
188,5,HR_170,HR_170,4,12,,,,,,,1,,0,7,,12,2,,0,,,,,,,,,,,,
217,5,HR_173,HR_173,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,5,HR_176,HR_176,6,15,,,,,,,1,,0,5,,11,1,,2,2,,2,,,,,,,,,
204,5,HR_177,HR_177,6,17,,,,,,,,,,8,,13,,,,2,,4,,,,,,,,,
212,5,HR_180,HR_180,2,4,,,,,,,,,,,,,2,,4,,,,,,,,,,,,
212,5,HR_180,HR_180,4,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
212,5,HR_180,HR_180,8,46,,,,,,,,,,7,,30,2,,6,6,,9,1,,1,,,,,,
192,5,HR_181,HR_181,6,16,,,,,,,,,,10,,14,3,,0,2,,2,,,,,,,,,
206,5,HR_183,HR_183,3,6,,,,,,,,,,2,,6,1,,0,,,,,,,,,,,,
210,5,HR_197,HR_197,1,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
205,5,HR_201,HR_201,6,5,,,,,,,2,,4,6,,0,3,,1,2,,0,,,,,,,,,
238,6,HR_10,HR_010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,6,HR_14,HR_014,5,20,,,,,,,2,,0,8,,14,7,,4,1,,1,3,,1,,,,,,
265,6,HR_15,HR_015,2,28,,,,,,,,,,6,,17,1,,3,6,,8,,,,,,,,,
265,6,HR_15,HR_015,6,16,,,,,,,,,,9,,16,4,,0,2,,0,,,,,,,,,
265,6,HR_15,HR_015,7,18,,,,,,,,,,8,,15,2,,0,4,,3,,,,,,,,,
256,6,HR_16,HR_016,8,8,,,,,,,,,,12,,7,7,,1,4,,0,,,,,,,,,
273,6,HR_18,HR_018,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,6,HR_19,HR_019,4,2,,,,,,,2,,0,4,,1,4,,1,1,,0,3,,0,,,,,,
235,6,HR_23,HR_023,3,10,,,,,,,,,,3,,10,2,,0,,,,,,,,,,,,
269,6,HR_25,HR_025,3,9,,,,,,,1,,2,2,,7,,,,1,,0,1,,0,,,,,,
251,6,HR_26,HR_026,2,6,,,,,,,1,,0,7,,5,1,,0,1,,1,,,,,,,,,
230,6,HR_27,HR_027,5,44,,,,,,,,,,13,,39,2,,2,5,,3,,,,,,,,,
232,6,HR_28,HR_028,1,30,,,,,,,,,,6,,22,3,,6,2,,2,,,,,,,,,
272,6,HR_32,HR_032,3,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
244,6,HR_37,HR_037,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,6,HR_38,HR_038,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,6,HR_41,HR_041,6,58,,,,,,,,,,6,,23,7,,34,4,,1,,,,,,,,,
264,6,HR_51,HR_051,6,6,,,,,,,,,,5,,5,2,,1,,,,,,,,,,,,
252,6,HR_59,HR_059,3,4,,,,,,,,,,5,,3,3,,1,1,,0,,,,,,,,,
252,6,HR_59,HR_059,4,7,,,,,,,2,,7,2,,0,3,,0,1,,0,,,,,,,,,
242,6,HR_79,HR_079,1,4,,,,,,,,,,4,,4,1,,0,2,,0,,,,,,,,,
262,6,HR_88,HR_088,2,9,,,,,,,,,,4,,1,3,,4,3,,4,,,,,,,,,
233,6,HR_92,HR_092,3,30,,,,,,,,,,5,,25,2,,5,,,,,,,,,,,,
249,6,HR_95,HR_095,6,5,,,,,,,,,,2,,4,2,,0,2,,1,,,,,,,,,
243,6,HR_101,HR_101,1,113,,,,,,,,,,16,,109,14,,0,9,,4,,,,,,,,,
243,6,HR_101,HR_101,2,87,,,,,,,1,,8,19,,78,7,,0,6,,1,,,,,,,,,
243,6,HR_101,HR_101,4,80,,,,,,,,,,22,,64,13,,11,3,,5,,,,,,,,,
257,6,HR_104,HR_104,2,2,,,,,,,,,,4,,2,,,,,,,,,,,,,,,
263,6,HR_105,HR_105,1,3,,,,,,,,,,,,,12,,3,2,,0,,,,,,,,,
236,6,HR_111,HR_111,4,3,,,,,,,,,,4,,3,,,,2,,0,,,,,,,,,
231,6,HR_112,HR_112,1,1,,,,,,,,,,7,,0,8,,1,5,,0,,,,,,,,,
259,6,HR_113,HR_113,5,13,,,,,,,,,,11,,11,2,,0,3,,2,,,,,,,,,
253,6,HR_114,HR_114,7,16,,,,,,,,,,6,,16,,,,2,,0,,,,,,,,,
247,6,HR_115,HR_115,6,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
270,6,HR_116,HR_116,3,2,,,,,,,,,,,,,6,,1,12,,1,,,,1,,0,,,
246,6,HR_121,HR_121,7,4,,,,,,,,,,3,,4,2,,0,,,,,,,,,,,,
237,6,HR_129,HR_129,7,17,,,,,,,,,,7,,16,1,,1,1,,0,,,,,,,,,
255,6,HR_135,HR_135,3,0,,,,,,,,,,2,,0,,,,,,,,,,,,,,,
271,6,HR_137,HR_137,4,15,,,,,,,,,,7,,12,4,,2,2,,1,,,,,,,,,
241,6,HR_148,HR_148,3,3,,,,,,,,,,7,,3,,,,,,,,,,,,,,,
241,6,HR_148,HR_148,4,28,,,,,,,,,,8,,28,,,,,,,,,,,,,,,
241,6,HR_148,HR_148,6,1,,,,,,,,,,9,,0,1,,0,1,,1,,,,,,,,,
274,6,HR_149,HR_149,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,6,HR_149,HR_149,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,6,HR_149,HR_149,7,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
261,6,HR_155,HR_155,4,9,,,,,,,,,,8,,9,3,,0,,,,,,,,,,,,
239,6,HR_159,HR_159,4,9,,,,,,,,,,6,,9,,,,,,,,,,,,,,,
258,6,HR_161,HR_161,7,6,,,,,,,,,,4,,4,5,,2,,,,,,,,,,,,
267,6,HR_174,HR_174,7,1,,,,,,,,,,,,,3,,1,1,,0,,,,,,,,,
266,6,HR_178,HR_178,2,31,,,,,,,,,,8,,31,1,,0,,,,,,,,,,,,
254,6,HR_179,HR_179,6,3,,,,,,,,,,6,,3,1,,0,,,,,,,,,,,,
245,6,HR_182,HR_182,6,3,,,,,,,1,,0,10,,3,3,,0,,,,,,,,,,,,
250,6,HR_190,HR_190,4,6,,,,,,,,,,6,,5,,,,1,,1,,,,,,,,,
240,6,HR_195,HR_195,5,22,,,,,,,,,,5,,22,,,,,,,,,,,,,,,
315,7,HR_1,HR_001,5,51,,,,,,,,,,9,,48,7,,3,,,,,,,,,,,,
284,7,HR_5,HR_005,3,43,,,,,,,,,,7,,5,3,,0,,,,,,,,,,8,,38
297,7,HR_10,HR_010,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,7,HR_15,HR_015,1,1,,,,,,,,,,,,,1,,1,2,,0,,,,,,,,,
305,7,HR_15,HR_015,2,38,,,,,,,,,,7,,25,13,,12,1,,1,,,,,,,,,
305,7,HR_15,HR_015,6,11,,,,,,,,,,8,,9,2,,0,1,,2,,,,,,,,,
300,7,HR_17,HR_017,1,11,,,,,,,,,,5,,10,4,,1,1,,0,,,,,,,,,
300,7,HR_17,HR_017,3,4,,,,,,,,,,5,,4,3,,0,,,,,,,,,,,,
300,7,HR_17,HR_017,5,2,,,,,,,,,,8,,2,2,,0,2,,0,,,,,,,,,
276,7,HR_23,HR_023,3,193,1,,0,,,,9,,77,22,,110,1,,5,2,,1,,,,,,,,,
282,7,HR_28,HR_028,6,156,2,,0,,,,15,,99,18,,52,14,,4,10,,1,,,,,,,,,
286,7,HR_32,HR_032,1,17,,,,,,,2,,17,,,,,,,,,,,,,,,,,,
295,7,HR_46,HR_046,4,29,,,,,,,3,,13,7,,12,3,,4,,,,,,,,,,,,
319,7,HR_49,HR_049,1,4,,,,,,,4,,4,2,,0,1,,0,,,,,,,,,,,,
303,7,HR_54,HR_054,4,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,4
296,7,HR_56,HR_056,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,7,HR_57,HR_057,2,7,,,,,,,1,,0,4,,7,2,,0,,,,1,,0,,,,,,
301,7,HR_58,HR_058,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,7,HR_59,HR_059,4,23,,,,,,,2,,2,18,,11,11,,10,,,,,,,,,,,,
283,7,HR_59,HR_059,5,11,,,,,,,6,,10,,,,,,,2,,0,1,,1,,,,,,
283,7,HR_59,HR_059,7,41,,,,,,,5,,11,13,,19,7,,8,2,,2,2,,1,,,,,,
285,7,HR_61,HR_061,3,12,,,,,,,5,,8,8,,2,2,,0,2,,2,,,,,,,,,
314,7,HR_65,HR_065,1,13,,,,,,,1,,0,7,,13,6,,0,,,,,,,,,,,,
292,7,HR_67,HR_067,5,23,,,,,,,2,,0,10,,22,2,,1,,,,,,,,,,,,
277,7,HR_70,HR_070,2,71,1,,0,,,,10,,45,11,,25,1,,1,,,,,,,,,,,,
275,7,HR_78,HR_078,3,38,,,,,,,,,,8,,29,3,,7,2,,2,,,,,,,,,
280,7,HR_104,HR_104,5,1,,,,,,,3,,1,,,,,,,,,,,,,,,,,,
293,7,HR_112,HR_112,2,9,,,,,,,,,,13,,7,9,,0,5,,2,,,,,,,,,
293,7,HR_112,HR_112,3,53,,,,,,,,,,10,,36,12,,16,2,,1,,,,,,,,,
293,7,HR_112,HR_112,4,6,,,,,,,,,,3,,5,4,,1,,,,,,,,,,,,
309,7,HR_114,HR_114,3,22,,,,,,,2,,9,6,,13,2,,0,1,,0,,,,,,,,,
308,7,HR_124,HR_124,8,3,,,,,,,,,,2,,3,1,,0,,,,,,,,,,,,
310,7,HR_127,HR_127,2,11,,,,,,,,,,7,,9,2,,2,1,,0,,,,,,,,,
320,7,HR_131,HR_131,1,28,,,,,,,4,,7,7,,4,7,,8,4,,9,,,,,,,,,
313,7,HR_134,HR_134,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,7,HR_136,HR_136,2,3,,,,,,,,,,8,,2,1,,1,,,,,,,,,,,,
299,7,HR_137,HR_137,5,7,,,,,,,,,,5,,3,3,,3,1,,1,,,,,,,,,
298,7,HR_142,HR_142,5,37,,,,,,,1,,0,8,,29,6,,7,2,,0,1,,1,,,,,,
298,7,HR_142,HR_142,7,32,,,,,,,,,,16,,31,2,,1,3,,0,,,,,,,,,
298,7,HR_142,HR_142,8,20,,,,,,,,,,10,,20,,,,2,,0,,,,,,,,,
312,7,HR_147,HR_147,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,7,HR_148,HR_148,1,13,,,,,,,,,,5,,13,,,,,,,,,,,,,,,
317,7,HR_148,HR_148,7,30,,,,,,,,,,7,,25,3,,5,,,,,,,,,,,,
289,7,HR_152,HR_152,2,4,,,,,,,1,,0,,,,5,,4,,,,,,,,,,,,
290,7,HR_155,HR_155,1,19,,,,,,,3,,6,4,,12,5,,1,2,,0,,,,,,,,,
318,7,HR_156,HR_156,7,23,,,,,,,3,,9,8,,11,4,,3,,,,1,,0,,,,,,
281,7,HR_161,HR_161,4,6,,,,,,,2,,6,,,,,,,,,,,,,,,,,,
306,7,HR_165,HR_165,3,4,,,,,,,3,,3,5,,0,4,,1,,,,,,,,,,,,
278,7,HR_173,HR_173,3,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
287,7,HR_175,HR_175,7,65,,,,,,,5,,8,17,,52,2,,5,,,,,,,,,,,,
302,7,HR_179,HR_179,5,6,,,,,,,3,,1,6,,3,2,,1,2,,1,,,,,,,,,
288,7,HR_180,HR_180,4,22,,,,,,,,,,5,,22,,,,,,,,,,,,,,,
288,7,HR_180,HR_180,5,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
288,7,HR_180,HR_180,8,13,,,,,,,,,,3,,13,,,,,,,,,,,,,,,
311,7,HR_182,HR_182,7,4,,,,,,,,,,3,,4,3,,0,,,,,,,,,,,,
316,7,HR_183,HR_183,1,5,,,,,,,,,,4,,5,2,,0,,,,,,,,,,,,
307,7,HR_184,HR_184,4,13,,,,,,,,,,7,,13,1,,0,,,,,,,,,,,,
307,7,HR_184,HR_184,6,50,,,,,,,,,,13,,41,7,,6,3,,3,,,,,,,,,
279,7,HR_192,HR_192,1,38,,,,,,,6,,14,8,,21,4,,0,2,,3,2,,0,,,,,,
304,7,HR_201,HR_201,4,4,,,,,,,1,,0,5,,2,2,,2,,,,,,,,,,,,
351,8,HR_6,HR_006,1,2,,,,,,,2,,0,3,,1,1,,1,,,,,,,,,,,,
348,8,HR_7,HR_007,3,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
339,8,HR_12,HR_012,1,33,,,,,,,6,,17,5,,5,5,,10,1,,1,,,,,,,,,
363,8,HR_14,HR_014,1,6,,,,,,,,,,3,,6,3,,0,,,,,,,,,,,,
360,8,HR_18,HR_018,6,32,,,,,,,3,,11,10,,16,7,,5,,,,,,,,,,,,
322,8,HR_19,HR_019,3,10,,,,,,,2,,3,15,,7,4,,0,2,,0,5,,0,,,,1,,0
361,8,HR_20,HR_020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,8,HR_25,HR_025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,8,HR_26,HR_026,2,4,  ,,,,,,,,,8,,4,1,,0,,,,,,,,,,,,
327,8,HR_33,HR_033,7,2,,,,,,,,,,4,,2,,,,,,,,,,,,,,,
359,8,HR_34,HR_034,6,6,,,,,,,3,,0,3,,5,,,,1,,1,,,,,,,,,
364,8,HR_40,HR_040,2,4,,,,,,,,,,,,,1,,4,,,,,,,,,,,,
364,8,HR_40,HR_040,4,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
364,8,HR_40,HR_040,8,20,,,,,,,,,,15,,20,7,,0,2,,0,,,,,,,,,
326,8,HR_41,HR_041,6,50,,,,,,,2,,9,10,,36,3,,5,,,,,,,,,,,,
338,8,HR_42,HR_042,8,2,,,,,,,,,,9,,2,3,,0,,,,,,,,,,,,
331,8,HR_51,HR_051,8,2,,,,,,,2,,0,7,,2,5,,0,,,,,,,,,,,,
350,8,HR_64,HR_064,3,24,,,,,,,3,,6,10,,17,3,,1,,,,,,,,,,,,
350,8,HR_64,HR_064,8,8,,,,,,,2,,8,4,,0,,,,,,,,,,,,,,,
350,8,HR_64,HR_064,1,0,,,,,,,,,,5,,0,,,,1,,0,,,,,,,,,
357,8,HR_68,HR_068,7,6,,,,,,,,,,8,,0,4,,6,2,,0,,,,,,,,,
365,8,HR_71,HR_071,1,4,,,,,,,,,,4,,4,,,,,,,,,,,,,,,
365,8,HR_71,HR_071,3,5,,,,,,,,,,5,,5,,,,,,,,,,,,,,,
365,8,HR_71,HR_071,5,4,,,,,,,,,,14,,1,5,,3,,,,,,,,,,,,
329,8,HR_72,HR_072,5,0,,,,,,,2,,0,4,,0,,,,,,,,,,,,,,,
366,8,HR_79,HR_079,8,5,,,,1,,5,,,,,,,,,,,,,,,,,,,,,
353,8,HR_83,HR_083,5,21,,,,,,,6,,18,6,,3,1,,0,,,,,,,,,,,,
355,8,HR_88,HR_088,5,56,,,,,,,7,,23,15,,24,6,,7,6,,2,,,,,,,,,
325,8,HR_92,HR_092,2,16,,,,,,,1,,8,3,,5,1,,3,,,,,,,,,,,,
346,8,HR_109,HR_109,3,7,,,,,,,,,,3,,5,2,,2,,,,,,,,,,,,
342,8,HR_110,HR_110,1,8,,,,,,,2,,1,4,,6,2,,1,1,,0,,,,,,,,,
344,8,HR_111,HR_111,1,4,,,,,,,,,,8,,4,4,,0,1,,0,,,,,,,,,
352,8,HR_115,HR_115,6,8,,,,,,,1,,0,3,,5,1,,0,4,,3,1,,0,,,,,,
362,8,HR_116,HR_116,7,5,,,,,,,3,,5,,,,,,,,,,,,,,,,,,
333,8,HR_119,HR_119,3,30,,,,,,,3,,20,5,,10,,,,,,,,,,,,,,,
333,8,HR_119,HR_119,5,10,,,,,,,2,,3,5,,3,2,,3,2,,1,,,,,,,,,
333,8,HR_119,HR_119,6,79,,,,,,,2,,13,12,,66,,,,,,,,,,,,,,,
323,8,HR_121,HR_121,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,8,HR_133,HR_133,5,21,,,,,,,2,,4,5,,13,5,,4,,,,,,,,,,,,
321,8,HR_139,HR_139,1,49,,,,,,,3,,11,14,,38,4,,0,1,,0,2,,0,,,,,,
334,8,HR_141,HR_141,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,8,HR_145,HR_145,1,6,,,,,,,,,,4,,5,2,,1,,,,,,,,,,,,
343,8,HR_145,HR_145,3,18,,,,,,,,,,3,,8,4,,5,,,,,,,,,,1,,5
343,8,HR_145,HR_145,4,4,,,,,,,,,,3,,4,,,,,,,,,,,,,,,
324,8,HR_150,HR_150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,8,HR_153,HR_153,3,15,,,,,,,4,,12,2,,1,5,,2,,,,,,,,,,,,
335,8,HR_158,HR_158,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,8,HR_162,HR_162,2,1,,,,,,,,,,3,,1,2,,0,,,,,,,,,,,,
345,8,HR_162,HR_162,7,4,,,,,,,,,,3,,4,2,,0,2,,0,,,,,,,,,
345,8,HR_162,HR_162,8,28,,,,,,,3,,7,5,,20,4,,1,,,,,,,,,,,,
332,8,HR_164,HR_164,3,49,,,,,,,4,,20,7,,28,3,,1,1,,0,,,,,,,,,
354,8,HR_166,HR_166,3,1,,,,,,,,,,1,,0,4,,1,,,,,,,,,,,,
356,8,HR_168,HR_168,2,10,,,,,,,,,,7,,9,1,,0,1,,1,,,,,,,,,
328,8,HR_169,HR_169,6,11,,,,,,,1,,3,8,,8,1,,0,,,,,,,,,,,,
349,8,HR_176,HR_176,8,18,,,,,,,3,,6,10,,11,3,,1,,,,,,,,,,,,
330,8,HR_177,HR_177,2,25,,,,,,,3,,20,6,,5,,,,,,,,,,,,,,,
337,8,HR_178,HR_178,6,24,,,,,,,,,,7,,16,8,,7,3,,1,4,,0,,,,,,
358,8,HR_181,HR_181,6,29,,,,,,,3,,7,10,,22,2,,0,1,,0,,,,,,,,,
370,9,HR_4,HR_004,4,13,,,,,,,1,,7,2,,3,3,,3,,,,,,,,,,,,
372,9,HR_9,HR_009,7,16,,,,,,,4,,12,3,,4,,,,,,,,,,,,,,,
390,9,HR_11,HR_011,8,72,,,,1,,0,9,,59,10,,7,12,,3,3,,3,,,,,,,,,
368,9,HR_16,HR_016,2,10,,,,,,,3,,6,4,,4,,,,,,,,,,,,,,,
376,9,HR_21,HR_021,8,11,,,,,,,2,,4,5,,7,,,,,,,,,,,,,,,
387,9,HR_27,HR_027,3,7,,,,,,,2,,7,,,,,,,,,,,,,,,,,,
396,9,HR_35,HR_035,3,16,,,,,,,2,,8,3,,4,2,,3,,,,,,,,,,1,,1
410,9,HR_36,HR_036,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,9,HR_37,HR_037,6,33,,,,,,,3,,17,8,,16,,,,,,,,,,,,,,,
401,9,HR_38,HR_038,7,34,,,,,,,3,,7,15,,18,8,,9,2,,0,,,,,,,,,
405,9,HR_39,HR_039,2,50,,,,,,,5,,16,10,,31,5,,2,1,,1,,,,,,,,,
393,9,HR_43,HR_043,3,38,,,,,,,4,,4,18,,30,6,,4,,,,,,,,,,,,
393,9,HR_43,HR_043,4,20,,,,,,,3,,8,10,,12,1,,0,,,,,,,,,,,,
393,9,HR_43,HR_043,8,31,,,,,,,8,,18,18,,13,,,,,,,,,,,,,,,
395,9,HR_44,HR_044,1,12,,,,,,,4,,6,6,,2,2,,4,1,,0,,,,,,,,,
395,9,HR_44,HR_044,6,9,,,,,,,2,,6,2,,3,,,,,,,,,,,,,,,
395,9,HR_44,HR_044,8,28,,,,1,,0,6,,21,4,,7,2,,0,1,,0,,,,,,,,,
392,9,HR_47,HR_047,7,32,,,,1,,0,5,,11,10,,16,5,,5,,,,,,,,,,,,
391,9,HR_50,HR_050,7,21,,,,,,,8,,13,4,,5,3,,3,,,,,,,,,,,,
384,9,HR_53,HR_053,4,28,,,,,,,7,,7,10,,11,4,,6,3,,4,,,,,,,,,
403,9,HR_62,HR_062,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,9,HR_66,HR_066,5,46,,,,,,,5,,28,5,,16,3,,2,,,,,,,,,,,,
374,9,HR_73,HR_073,4,12,,,,,,,4,,8,4,,2,3,,2,,,,,,,,,,,,
400,9,HR_80,HR_080,3,4,,,,,,,2,,0,4,,2,5,,0,7,,2,,,,,,,,,
400,9,HR_80,HR_080,4,17,,,,,,,5,,9,6,,6,5,,1,2,,1,,,,,,,,,
400,9,HR_80,HR_080,5,7,,,,,,,4,,1,7,,0,15,,6,2,,0,,,,,,,,,
380,9,HR_85,HR_085,8,38,,,,,,,9,,24,10,,13,5,,1,,,,,,,,,,,,
377,9,HR_86,HR_086,3,12,,,,,,,3,,11,2,,1,,,,,,,,,,,,,,,
389,9,HR_87,HR_087,4,39,,,,,,,8,,17,15,,20,8,,0,4,,2,,,,,,,,,
383,9,HR_95,HR_095,3,25,,,,,,,1,,1,6,,20,2,,4,,,,1,,0,,,,,,
386,9,HR_101,HR_101,3,23,,,,,,,9,,23,,,,,,,,,,,,,,,,,,
386,9,HR_101,HR_101,6,6,,,,,,,2,,6,,,,,,,,,,,,,,,,,,
386,9,HR_101,HR_101,8,7,,,,1,,7,,,,,,,,,,,,,,,,,,,,,
373,9,HR_103,HR_103,1,5,,,,,,,2,,3,4,,2,1,,0,,,,,,,,,,,,
378,9,HR_105,HR_105,5,43,,,,,,,5,,35,4,,8,,,,,,,,,,,,,,,
