,,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,Plant number of fitness plant (when chosen),,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Open Fruits ,Eaten or damaged fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Total number of non-fitness fruits collected from segment,Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,,,,,,,,,,,,,,,,,,,,
108,4,AC_119,AC_119,1,8,0,0,0,8,0,0,0,,,,,,,2,,,,6,,,,,,,,,,,
122,4,AC_130,AC_130,5,8,9,0,,17,0,,,,,,,,,,,,,,,,,,2,,,8,7,,
117,4,AC_144,AC_144,4,0,3,0,0,3,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,3,,,,,,,,,,
123,4,AC_148,AC_148,5,14,3,0,0,17,2,0,0,,,,,,,5,,,2,6,2,,,3,1,,,,,,
128,4,AC_151,AC_151,5,3,3,0,0,6,18,0,0,,,,,,,1,1,,12,2,1,,6,,1,,,,,,
140,4,AC_152,AC_152,7,2,0,0,0,2,6,0,0,,,,,,,,,,,,,,6,2,,,,,,,
136,4,AC_154,AC_154,6,13,0,0,0,13,47,0,0,,,,,,,6,,,30,7,,,17,,,,,,,,
141,4,AC_158,AC_158,5,7,1,0,0,8,25,0,0,,,,,,,6,1,,19,1,,,6,,,,,,,,
138,4,AC_171,AC_171,1,0,3,0,0,3,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,3,,,,,,,,,,
143,4,AC_178,AC_178,3,9,5,0,0,14,26,0,0,,,1,,,1,7,5,,19,1,,,6,,,,,,,,
127,4,AC_179,AC_179,2,3,4,0,0,7,9,0,0,,,,,,,3,,,9,,4,,,,,,,,,,
115,4,AC_182,AC_182,4,5,2,0,0,7,0,0,0,,,,,,,,,,,5,2,,,,,,,,,,
112,4,AC_185,AC_185,4,8,3,0,0,11,3,0,0,,,,,,,1,,,,5,2,,3,2,1,,,,,,
130,4,AC_197,AC_197,3,30,14,0,0,44,0,0,0,,,,,,,9,,,,21,2,,,,12,,,,,,
130,4,AC_197,AC_197,6,7,1,0,0,8,0,0,0,,,,,,,4,,,,3,1,,,,,,,,,,
130,4,AC_197,AC_197,7,15,10,0,0,25,22,0,0,,,,,,,7,,,16,8,3,,6,,7,,,,,,
142,4,AC_203,AC_203,9,0,0,0,0,0,28,#DIV/0!,#DIV/0!,,,,,,,,,,7,,,,21,,,,,,,,
120,4,AC_204,AC_204,3,5,14,0,0,19,0,0,0,,,,,,,5,2,,,,,,,,12,,,,,,
120,4,AC_204,AC_204,5,6,9,0,0,15,0,0,0,,,,,,,6,1,,,,,,,,8,,,,,,
120,4,AC_204,AC_204,6,11,7,0,0,18,19,0,0,,,,,,,5,,,19,6,3,,,,4,,,,,,
110,4,AC_206,AC_206,2,4,2,0,0,6,8,0,0,,,,,,,,,,3,4,1,,5,,1,,,,,,
129,4,AC_215,AC_215,2,17,5,0,0,22,18,0,0,,,,,,,9,,,11,8,5,,7,,,,,,,,
147,5,AC_5,AC_005,9,0,1,0,0,1,6,#DIV/0!,#DIV/0!,,,,,,,,,,,,1,,6,,,,,,,,
164,5,AC_17,AC_017,3,4,1,0,0,5,14,0,0,,,,,,,3,1,,,1,,,14,,,,,,,,
155,5,AC_48,AC_048,2,20,0,0,0,20,13,0,0,,,,,,,6,,,,10,,,13,4,,,,,,,
174,5,AC_54,AC_054,6,23,2,0,0,25,7,0,0,,,,,,,10,1,,,12,1,,7,1,,,,,,,
149,5,AC_56,AC_056,6,8,0,0,0,8,27,0,0,,,,,,,5,,,,3,,,27,,,,,,,,
146,5,AC_62,AC_062,1,7,1,0,0,8,8,0,0,,,,,,,4,,,,3,,,8,,1,,,,,,
156,5,AC_64,AC_064,8,17,1,0,0,18,16,0,0,,,,,,,8,,,,7,,,16,2,1,,,,,,
158,5,AC_82,AC_082,6,4,1,0,0,5,0,0,0,,,,,,,3,,,,1,,,,,1,,,,,,
158,5,AC_82,AC_082,1,2,11,0,0,13,0,0,0,,,,,,,,,,,2,11,,,,,,,,,,
158,5,AC_82,AC_082,10,14,8,0,0,22,0,0,0,,,,,,,,,,,14,8,,,,,,,,,,
169,5,AC_86,AC_086,4,3,0,0,0,3,10,0,0,,,,,,,1,,,,2,,,10,,,,,,,,
159,5,AC_89,AC_089,6,3,0,0,0,3,3,0,0,,,,,,,3,,,,,,,3,,,,,,,,
151,5,AC_90,AC_090,3,12,4,0,0,16,19,0,0,,,,,,,6,,,,6,,,19,,4,,,,,,
175,5,AC_96,AC_096,1,2,0,0,0,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,
161,5,AC_97,AC_097,4,8,0,0,0,8,0,0,0,,,,,,,4,,,,4,,,,,,,,,,,
161,5,AC_97,AC_097,8,4,2,0,0,6,0,0,0,,,,,,,2,,,,2,1,,,,1,,,,,,
161,5,AC_97,AC_097,9,12,1,0,0,13,0,0,0,,,,,,,8,,,,3,1,,,1,,,,,,,
179,5,AC_100,AC_100,9,13,2,0,0,15,10,0,0,,,,,,,8,2,,,5,,,10,,,,,,,,
148,5,AC_110,AC_110,5,7,2,0,0,9,6,0,0,,,,,,,3,,,,4,,,6,,2,,,,,,
177,5,AC_111,AC_111,8,9,3,0,0,12,0,0,0,,,,,,,6,1,,,2,2,,,1,,,,,,,
177,5,AC_111,AC_111,9,2,3,0,0,5,0,0,0,,,,,,,2,1,,,,,,,,2,,,,,,
177,5,AC_111,AC_111,10,2,0,2,0,2,0,0,0,,,,,,,1,,2,,1,,,,,,,,,,,
165,5,AC_122,AC_122,6,1,4,0,0,5,14,0,0,,,,,,,1,4,,,,,,14,,,,,,,,
170,5,AC_123,AC_123,10,3,2,0,0,5,12,0,0,,,,,,,1,1,,,2,1,,12,,,,,,,,
163,5,AC_128,AC_128,1,11,3,0,0,14,18,0,0,,,,,,,8,1,,,3,1,,18,,1,,,,,,
144,5,AC_131,AC_131,3,9,3,0,0,12,28,0,0,,,,,,,2,,,,5,2,,28,2,1,,,,,,
173,5,AC_136,AC_136,3,8,2,0,0,10,4,0,0,,,,,,,6,1,,,2,1,,4,,,,,,,,
153,5,AC_143,AC_143,8,5,0,0,0,5,3,0,0,,,,,,,4,,,,1,,,3,,,,,,,,
167,5,AC_147,AC_147,7,18,2,0,0,20,14,0,0,,,,,,,11,2,,,6,,,14,1,,,,,,,
150,5,AC_155,AC_155,9,12,0,0,0,12,0,0,0,,,,,,,7,,,,4,,,,1,,,,,,,
154,5,AC_159,AC_159,1,0,1,0,0,1,8,#DIV/0!,#DIV/0!,,,,,,,,1,,,,,,8,,,,,,,,
171,5,AC_172,AC_172,7,16,4,0,0,20,9,0,0,,,,,,,9,,,,7,2,,9,,2,,,,,,
157,5,AC_186,AC_186,6,5,1,0,0,6,30,0,0,,,,,,,3,,,,2,1,,30,,,,,,,,
176,5,AC_192,AC_192,2,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
172,5,AC_200,AC_200,6,7,1,0,0,8,2,0,0,,,,,,,6,1,,,1,,,2,,,,,,,,
160,5,AC_201,AC_201,2,4,0,0,0,4,11,0,0,,,,,,,4,,,,,,,11,,,,,,,,
152,5,AC_211,AC_211,10,6,0,0,0,6,0,0,0,,,,,,,2,,,,4,,,,,,,,,,,
168,5,AC_212,AC_212,9,1,1,0,0,2,0,0,0,,,,,,,1,,,,,,,,,1,,,,,,
162,5,AC_213,AC_213,4,12,1,0,0,13,1,0,0,,,,,,,7,1,,,5,,,1,,,,,,,,
145,5,AC_216,AC_216,4,24,2,0,0,26,0,0,0,,,,,,,5,,,,16,,,,3,2,,,,,,
145,5,AC_216,AC_216,5,25,0,0,0,25,0,0,0,,,,,,,6,,,,11,,,,8,,,,,,,
145,5,AC_216,AC_216,6,21,0,0,0,21,0,0,0,,,,,,,4,,,,11,,,,6,,,,,,,
166,5,AC_217,AC_217,2,26,3,0,0,29,0,0,0,,,,,,,14,2,,,12,,,,,1,,,,,,
166,5,AC_217,AC_217,8,11,3,0,0,14,0,0,0,,,,,,,7,2,,,4,1,,,,,,,,,,
166,5,AC_217,AC_217,10,31,7,0,0,38,33,0,0,,,,,,,13,3,,,15,1,,33,3,3,,,,,,
178,5,AC_218,AC_218,4,7,11,0,0,18,0,0,0,,,,,,,,,,,7,11,,,,,,,,,,
178,5,AC_218,AC_218,5,7,25,0,0,32,0,0,0,,,,,,,,,,,7,24,,,,1,,,,,,
178,5,AC_218,AC_218,6,2,3,0,0,5,0,0,0,,,,,,,2,2,,,,1,,,,,,,,,,
214,6,AC_11,AC_011,6,12,3,0,0,15,8,0,0,,,,,,,11,1,,,,1,,8,1,1,,,,,,
190,6,AC_15,AC_015,4,3,0,0,0,3,11,0,0,,,,,,,2,,,,1,,,11,,,,,,,,
213,6,AC_30,AC_030,10,2,1,0,0,3,4,0,0,,,,,,,2,1,,,,,,4,,,,,,,,
191,6,AC_38,AC_038,5,9,11,0,0,20,0,0,0,,,,,,,4,,,,5,10,,,,1,,,,,,
194,6,AC_51,AC_051,3,1,1,0,0,2,5,0,0,,,,,,,1,1,,,,,,5,,,,,,,,
180,6,AC_52,AC_052,6,0,0,0,0,0,22,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,22,,,,,,,,
206,6,AC_57,AC_057,5,23,5,0,0,28,3,0,0,,,,,,,16,3,,,7,2,,3,,,,,,,,
196,6,AC_66,AC_066,6,0,0,0,0,0,4,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,4,,,,,,,,
205,6,AC_68,AC_068,8,24,4,0,0,28,15,0,0,,,2,,,6,15,3,,,7,1,,9,,,,,,,,
200,6,AC_74,AC_074,7,3,1,0,0,4,6,0,0,,,,,,,3,1,,,,,,6,,,,,,,,
199,6,AC_75,AC_075,3,4,0,0,0,4,3,0,0,,,1,,,,3,,,,,,,3,,,,,,,,
193,6,AC_81,AC_081,2,4,2,0,0,6,0,0,0,,,,,,,3,,,,1,2,,,,,,,,,,
193,6,AC_81,AC_081,7,17,10,0,0,27,0,0,0,,,,,,,8,1,,,9,5,,,,4,,,,,,
193,6,AC_81,AC_081,8,5,0,0,0,5,0,0,0,,,,,,,5,,,,,,,,,,,,,,,
181,6,AC_94,AC_094,5,3,0,0,0,3,15,0,0,,,,,,,1,,,,2,,,15,,,,,,,,
185,6,AC_95,AC_095,6,1,5,0,0,6,15,0,0,,,,,,,,5,,,1,,,15,,,,,,,,
202,6,AC_99,AC_099,10,8,11,0,0,19,0,0,0,,,,,,,8,1,,,,,,,,10,,,,,,
202,6,AC_99,AC_099,5,6,1,0,0,7,0,0,0,,,,,,,6,,,,,,,,,1,,,,,,
209,6,AC_104,AC_104,10,13,4,0,0,17,6,0,0,,,2,,,,8,1,,,3,2,,6,,1,,,,,,
203,6,AC_107,AC_107,8,29,7,0,0,36,15,0,0,,,,,,,16,4,,,13,1,,15,,2,,,,,,
208,6,AC_114,AC_114,9,24,2,0,0,26,0,0,0,,,2,,,,17,2,,,5,,,,,,,,,,,
182,6,AC_120,AC_120,4,1,1,0,0,2,11,0,0,,,,,,,1,,,,,,,11,,1,,,,,,
201,6,AC_133,AC_133,3,5,0,0,0,5,4,0,0,,,,,,,3,,,,2,,,4,,,,,,,,
189,6,AC_142,AC_142,2,1,0,0,0,1,4,0,0,,,,,,,1,,,,,,,4,,,,,,,,
211,6,AC_153,AC_153,7,16,2,0,0,18,8,0,0,,,2,,,,9,2,,,5,,,8,,,,,,,,
207,6,AC_160,AC_160,2,32,5,0,0,37,7,0,0,,,3,,,,20,5,,,8,,,7,1,,,,,,,
192,6,AC_168,AC_168,3,3,1,0,0,4,11,0,0,,,,,,,2,1,,,1,,,11,,,,,,,,
197,6,AC_181,AC_181,4,3,0,0,0,3,4,0,0,,,,,,,2,,,,1,,,4,,,,,,,,
212,6,AC_187,AC_187,2,26,10,0,0,36,0,0,0,,,,,,,19,10,,,7,,,,,,,,,,,
212,6,AC_187,AC_187,5,13,14,0,0,27,0,0,0,,,,,,,12,9,,,,4,,,1,1,,,,,,
212,6,AC_187,AC_187,8,11,2,0,0,13,1,0,0,,,1,,,,8,2,,,1,,,1,1,,,,,,,
204,6,AC_188,AC_188,4,6,1,0,0,7,11,0,0,,,,,,,4,1,,,2,,,11,,,,,,,,
186,6,AC_189,AC_189,4,7,1,0,0,8,0,0,0,,,,,,,3,,,,4,1,,,,,,,,,,
186,6,AC_189,AC_189,5,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
186,6,AC_189,AC_189,10,8,1,0,0,9,0,0,0,,,,,,,8,,,,,,,,,1,,,,,,
183,6,AC_190,AC_190,3,3,2,0,0,5,0,0,0,,,,,,,2,,,,1,2,,,,,,,,,,
183,6,AC_190,AC_190,7,9,0,0,0,9,0,0,0,,,,,,,3,,,,6,,,,,,,,,,,
183,6,AC_190,AC_190,9,5,0,0,0,5,0,0,0,,,,,,,3,,,,2,,,,,,,,,,,
210,6,AC_191,AC_191,7,2,0,0,0,2,2,0,0,,,,,,,1,,,,1,,,2,,,,,,,,
198,6,AC_193,AC_193,8,2,0,0,0,2,2,0,0,,,,,,,2,,,,,,,2,,,,,,,,
188,6,AC_195,AC_195,1,12,4,0,0,16,3,0,0,,,,,,,7,1,,,5,,,3,,3,,,,,,
187,6,AC_199,AC_199,5,22,8,0,0,30,9,0,0,,,,,,,12,,,,10,,,9,,8,,,,,,
195,6,AC_205,AC_205,5,10,1,0,0,11,3,0,0,,,,,,,7,1,,,3,,,3,,,,,,,,
184,6,AC_208,AC_208,1,2,1,0,0,3,0,0,0,,,,,,,1,,,,1,1,,,,,,,,,,
184,6,AC_208,AC_208,4,6,0,0,0,6,0,0,0,,,,,,,3,,,,3,,,,,,,,,,,
184,6,AC_208,AC_208,8,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
228,7,AC_17,AC_017,6,23,0,0,0,23,6,0,0,,,,,,,13,,,,10,,,6,,,,,,,,
232,7,AC_32,AC_032,6,4,0,0,0,4,0,0,0,,,,,,,3,,,,1,,,,,,,,,,,
243,7,AC_38,AC_038,1,11,2,0,0,13,5,0,0,,,2,,,,7,1,,,2,1,,5,,,,,,,,
241,7,AC_40,AC_040,1,7,1,0,0,8,11,0,0,,,,,,,7,1,,,,,,11,,,,,,,,
241,7,AC_40,AC_040,4,0,10,0,0,10,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,5,,,,5,,,,,,
241,7,AC_40,AC_040,7,6,15,0,0,21,0,0,0,,,2,,,,,,,,4,15,,,,,,,,,,
239,7,AC_46,AC_046,8,9,1,0,0,10,0,0,0,,,,,,,6,1,,,3,,,,,,,,,,,
231,7,AC_48,AC_048,1,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
233,7,AC_54,AC_054,7,0,2,0,0,2,0,#DIV/0!,#DIV/0!,,,,,,,,2,,,,,,,,,,,,,,
218,7,AC_58,AC_058,3,11,0,0,0,11,10,0,0,,,,,,,7,,,,,,,10,2,,,,2,,,
218,7,AC_58,AC_058,5,14,5,0,0,19,0,0,0,,,,,,,8,,,,6,,,,,5,,,,,,
218,7,AC_58,AC_058,9,2,1,0,0,3,0,0,0,,,,,,,2,,,,,,,,,1,,,,,,
237,7,AC_62,AC_062,4,16,6,0,0,22,0,0,0,,,5,,,,7,4,,,4,,,,,2,,,,,,
238,7,AC_68,AC_068,8,7,1,0,0,8,10,0,0,,,,,,,7,1,,,,,,10,,,,,,,,
246,7,AC_72,AC_072,6,6,0,0,0,6,0,0,0,,,,,,,6,,,,,,,,,,,,,,,
217,7,AC_74,AC_074,2,5,0,0,0,5,7,0,0,,,,,,,3,,,,2,,,7,,,,,,,,
216,7,AC_81,AC_081,3,15,3,0,0,18,0,0,0,,,,,,,5,,,,10,1,,,,2,,,,,,
216,7,AC_81,AC_081,6,29,5,0,0,34,0,0,0,,,,,,,8,,,,15,,,,6,5,,,,,,
216,7,AC_81,AC_081,8,16,2,0,0,18,0,0,0,,,,,,,9,,,,7,,,,,2,,,,,,
225,7,AC_94,AC_094,2,2,0,0,0,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,
245,7,AC_97,AC_097,1,7,0,0,0,7,0,0,0,,,,,,,5,,,,2,,,,,,,,,,,
245,7,AC_97,AC_097,7,11,1,0,0,12,0,0,0,,,2,,,,9,1,,,,,,,,,,,,,,
245,7,AC_97,AC_097,10,16,3,0,0,19,0,0,0,,,5,,,,9,,,,2,3,,,,,,,,,,
219,7,AC_100,AC_100,9,9,0,0,0,9,8,0,0,,,,,,,5,,,,4,,,8,,,,,,,,
244,7,AC_104,AC_104,8,7,0,0,0,7,0,0,0,,,1,,,,6,,,,,,,,,,,,,,,
220,7,AC_107,AC_107,6,12,2,0,0,14,7,0,0,,,,,,,7,,,,5,,,7,,2,,,,,,
223,7,AC_111,AC_111,1,3,0,0,0,3,7,0,0,,,,,,,3,,,,,,,7,,,,,,,,
223,7,AC_111,AC_111,5,9,1,0,0,10,0,0,0,,,,,,,5,,,,4,,,,,1,,,,,,
223,7,AC_111,AC_111,7,7,1,0,0,8,0,0,0,,,,,,,4,,,,3,,,,,1,,,,,,
248,7,AC_113,AC_113,8,2,1,0,0,3,0,0,0,,,,,,,2,1,,,,,,,,,,,,,,
230,7,AC_120,AC_120,7,14,1,0,0,15,4,0,0,,,,,,,11,,,,3,,,4,,1,,,,,,
236,7,AC_122,AC_122,3,3,2,0,0,5,2,0,0,,,,,,,3,,,,,,,2,,2,,,,,,
221,7,AC_128,AC_128,3,11,0,0,0,11,21,0,0,,,,,,,7,,,,4,,,21,,,,,,,,
234,7,AC_130,AC_130,7,5,0,0,0,5,0,0,0,,,,,,,5,,,,,,,,,,,,,,,
240,7,AC_143,AC_143,4,1,0,0,0,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,
224,7,AC_160,AC_160,8,17,9,0,0,26,1,0,0,,,,,,,10,,,,7,,,1,,9,,,,,,
226,7,AC_171,AC_171,10,16,2,0,0,18,7,0,0,,,,,,,11,,,,,,,7,,1,,,5,1,,
249,7,AC_172,AC_172,3,5,3,0,0,8,0,0,0,,,,,,,5,3,,,,,,,,,,,,,,
247,7,AC_178,AC_178,4,1,1,0,0,2,0,0,0,,,,,,,1,1,,,,,,,,,,,,,,
215,7,AC_186,AC_186,9,3,1,0,0,4,8,#DIV/0!,#DIV/0!,,,,,,,,,,,3,,,8,,1,,,,,,
250,7,AC_190,AC_190,1,0,4,0,0,4,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,4,,,,,,,,,,
250,7,AC_190,AC_190,4,23,4,0,0,27,0,0,0,,,4,1,,,17,2,,,2,,,,,1,,,,,,
250,7,AC_190,AC_190,8,2,2,0,0,4,0,0,0,,,2,,,,,,,,,2,,,,,,,,,,
242,7,AC_193,AC_193,5,7,0,0,0,7,0,0,0,,,,,,,7,,,,,,,,,,,,,,,
222,7,AC_201,AC_201,8,8,0,0,0,8,9,0,0,,,,,,,4,,,,4,,,9,,,,,,,,
235,7,AC_203,AC_203,5,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
227,7,AC_215,AC_215,2,16,1,0,0,17,2,0,0,,,,,,,12,1,,,4,,,2,,,,,,,,
229,7,AC_217,AC_217,2,8,0,0,0,8,0,0,0,,,,,,,5,,,,3,,,,,,,,,,,
229,7,AC_217,AC_217,9,14,1,0,0,15,0,0,0,,,,,,,8,,,,5,,,,1,1,,,,,,
229,7,AC_217,AC_217,10,6,0,0,0,6,9,0,0,,,,,,,5,,,,1,,,9,,,,,,,,
257,8,AC_5,AC_005,6,7,0,0,0,7,0,0,0,,,,,,,5,,,,2,,,,,,,,,,,
275,8,AC_10,AC_010,8,2,0,0,0,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,
286,8,AC_14,AC_014,5,12,2,0,0,14,0,0,0,,,,,,,4,1,,,4,,,,4,1,,,,,,
276,8,AC_15,AC_015,3,5,1,0,0,6,0,0,0,,,,,,,5,1,,,,,,,,,,,,,,
274,8,AC_16,AC_016,6,6,0,0,0,6,6,0,0,,,,,,,2,,,,4,,,6,,,,,,,,
262,8,AC_51,AC_051,7,0,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
258,8,AC_52,AC_052,9,6,0,0,0,6,0,0,0,,,1,,,,3,,,,2,,,,,,,,,,,
251,8,AC_56,AC_056,6,7,2,0,0,9,4,0,0,,,,,,,4,,,,3,,,4,,2,,,,,,
267,8,AC_66,AC_066,1,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
269,8,AC_70,AC_070,2,4,1,0,0,5,0,0,0,,,,,,,4,1,,,,,,,,,,,,,,
269,8,AC_70,AC_070,4,4,1,0,0,5,0,0,0,,,,,,,4,1,,,,,,,,,,,,,,
269,8,AC_70,AC_070,5,5,2,0,0,7,0,0,0,,,,,,,5,2,,,,,,,,,,,,,,
263,8,AC_82,AC_082,6,3,2,0,0,5,0,0,0,,,,,,,3,1,,,,1,,,,,,,,,,
263,8,AC_82,AC_082,7,4,0,0,0,4,0,0,0,,,,,,,4,,,,,,,,,,,,,,,
263,8,AC_82,AC_082,8,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
278,8,AC_86,AC_086,1,3,2,0,0,5,3,0,0,,,1,,,,2,1,,,,,,3,,1,,,,,,
264,8,AC_88,AC_088,2,6,1,0,0,7,0,0,0,,,,,,,6,1,,,,,,,,,,,,,,
255,8,AC_92,AC_092,2,9,1,0,0,10,16,0,0,,,,,,,5,,,,4,,,16,,1,,,,,,
253,8,AC_114,AC_114,8,13,0,0,0,13,6,0,0,,,,,,,6,,,,7,,,6,,,,,,,,
277,8,AC_131,AC_131,7,41,3,0,0,44,5,0,0,,,2,,,,18,,,,13,2,,5,8,1,,,,,,
260,8,AC_133,AC_133,3,7,0,0,0,7,0,0,0,,,,,,,6,,,,1,,,,,,,,,,,
266,8,AC_136,AC_136,3,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
281,8,AC_144,AC_144,2,0,1,0,0,1,0,#DIV/0!,#DIV/0!,,,,,,,,1,,,,,,,,,,,,,,
259,8,AC_148,AC_148,5,0,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
270,8,AC_154,AC_154,10,7,1,0,0,8,7,0,0,,,1,,,,4,,,,2,1,,7,,,,,,,,
261,8,AC_158,AC_158,5,6,0,0,0,6,0,0,0,,,,,,,4,,,,2,,,,,,,,,,,
279,8,AC_159,AC_159,7,8,12,0,0,20,0,0,0,,,,,,,8,3,,,,3,,,,6,,,,,,
256,8,AC_179,AC_179,1,11,0,0,0,11,10,0,0,,,,,,,8,,,,3,,,10,,,,,,,,
252,8,AC_181,AC_181,10,8,1,0,0,9,8,0,0,,,,,,,4,,,,3,,,8,1,1,,,,,,
284,8,AC_182,AC_182,3,1,1,0,0,2,0,0,0,,,,,,,1,1,,,,,,,,,,,,,,
283,8,AC_185,AC_185,6,12,2,0,0,14,0,0,0,,,3,,,,8,1,,,1,1,,,,,,,,,,
268,8,AC_191,AC_191,NA,0,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
273,8,AC_192,AC_192,1,2,1,0,0,3,0,0,0,,,,,,,2,,,,,1,,,,,,,,,,
265,8,AC_195,AC_195,5,2,0,0,0,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,
285,8,AC_199,AC_199,4,4,0,0,0,4,4,0,0,,,1,,,4,2,,,,,,,,1,,,,,,,
282,8,AC_200,AC_200,7,7,0,0,0,7,3,0,0,,,3,,,3,4,,,,,,,,,,,,,,,
271,8,AC_206,AC_206,7,3,0,0,0,3,0,0,0,,,1,,,,2,,,,,,,,,,,,,,,
272,8,AC_208,AC_208,2,5,0,0,0,5,0,0,0,,,,,,,4,,,,1,,,,,,,,,,,
272,8,AC_208,AC_208,6,1,1,0,0,2,0,0,0,,,,,,,1,1,,,,,,,,,,,,,,
254,8,AC_211,AC_211,7,6,0,0,0,6,7,0,0,,,,,,,3,,,,3,,,7,,,,,,,,
280,8,AC_213,AC_213,4,6,3,0,0,9,0,0,0,,,,,,,6,3,,,,,,,,,,,,,,
301,9,AC_11,AC_011,2,5,0,0,0,5,24,0,0,,,,,,,3,,,,2,,,24,,,,,,,,
320,9,AC_30,AC_030,9,2,1,0,0,3,0,0,0,,,1,,,,1,1,,,,,,,,,,,,,,
310,9,AC_34,AC_034,3,15,4,0,0,19,9,0,0,,,2,1,,,8,2,,,5,,,9,,1,,,,,,
310,9,AC_34,AC_034,7,13,0,0,0,13,0,0,0,,,1,,,,8,,,,4,,,,,,,,,,,
310,9,AC_34,AC_034,9,4,2,0,0,6,0,0,0,,,2,,,,2,2,,,,,,,,,,,,,,
316,9,AC_55,AC_055,3,11,1,0,0,12,0,0,0,,,3,,,,8,,,,,,,,,1,,,,,,
316,9,AC_55,AC_055,5,11,0,0,0,11,0,0,0,,,5,,,,5,,,,1,,,,,,,,,,,
316,9,AC_55,AC_055,6,4,1,0,0,5,0,0,0,,,1,,,,3,,,,,,,,,1,,,,,,
307,9,AC_57,AC_057,NA,0,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,
300,9,AC_64,AC_064,2,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
299,9,AC_75,AC_075,6,6,0,0,0,6,0,0,0,,,2,,,,4,,,,,,,,,,,,,,,
309,9,AC_83,AC_083,7,1,0,0,0,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,
315,9,AC_89,AC_089,2,5,0,0,0,5,1,0,0,,,3,,,,2,,,,,,,1,,,,,,,,
287,9,AC_90,AC_090,10,3,0,0,0,3,10,0,0,,,,,,,1,,,,2,,,10,,,,,,,,
308,9,AC_95,AC_095,10,13,2,0,0,15,2,0,0,,,3,,,2,7,,,,3,2,,,,,,,,,,
305,9,AC_96,AC_096,10,5,0,0,0,5,0,0,0,,,,,,,4,,,,1,,,,,,,,,,,
294,9,AC_99,AC_099,3,2,0,0,0,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,
294,9,AC_99,AC_099,6,3,0,0,0,3,0,0,0,,,,,,,3,,,,,,,,,,,,,,,
294,9,AC_99,AC_099,7,5,0,0,0,5,3,0,0,,,,,,,3,,,,2,,,3,,,,,,,,
297,9,AC_109,AC_109,5,10,0,0,0,10,0,0,0,,,3,,,,5,,,,2,,,,,,,,,,,
