,,,,,,,,,,,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,Plant number of fitness plant (when chosen),,,,,,,,,,,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants,# of CLOSED Fruits collected from FITNESS plant,# of OPEN undamaged Fruits collected from FITNESS plant,# of eaten/damaged OPEN Fruits collected from FITNESS plant,# of Fruits collected from any non-fitness plants
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Open Fruits ,Eaten or damaged fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Total number of non-fitness fruits collected from segment,Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Date Sown,Date Flowered ,,,,,,,,,,,,,,,,,,,,
46,2,AC_38,AC_038,8,5,0,0,3,5,7,0.6,3,11/04/2021,04/21/2022,,,,,3,,,,2,,,7,,,,,,,,
61,2,AC_52,AC_052,3,7,0,0,6,7,16,0.8571428571,6,11/04/2021,04/09/2022,,,,,5,,,,2,,,16,,,,,,,,
54,2,AC_54,AC_054,4,14,0,0,10,14,35,0.7142857143,10,11/04/2021,04/21/2022,,,,,4,,,,7,,,35,3,,,,,,,
39,2,AC_68,AC_068,9,18,0,0,34,18,0,1.888888889,34,11/04/2021,05/03/2022,,,,,6,,,,7,,,,5,,,,,,,
58,2,AC_72,AC_072,7,9,1,0,13,10,11,1.444444444,14.44444444,11/04/2021,04/09/2022,,,,,5,,,,4,1,,11,,,,,,,,
64,2,AC_82,AC_082,7,4,1,0,10,5,0,2.5,12.5,11/04/2021,04/09/2022,,,,,4,1,,,,,,,,,,,,,,
64,2,AC_82,AC_082,8,6,1,0,10,7,0,1.666666667,11.66666667,11/04/2021,04/09/2022,,,,,5,1,,,1,,,,,,,,,,,
64,2,AC_82,AC_082,9,1,1,0,0,2,0,0,0,11/04/2021,04/09/2022,,,,,1,1,,,,,,,,,,,,,,
40,2,AC_83,AC_083,1,4,0,0,5,4,13,1.25,5,11/04/2021,05/03/2022,,,,,2,,,,2,,,13,,,,,,,,
50,2,AC_94,AC_094,7,14,1,0,33,15,5,2.357142857,35.35714286,11/04/2021,04/21/2022,,,,,6,,,,5,,,5,3,1,,,,,,
49,2,AC_104,AC_104,7,20,1,0,25,21,21,1.25,26.25,11/04/2021,04/09/2022,,,,,6,,,,9,,,21,5,1,,,,,,
47,2,AC_114,AC_114,6,9,1,0,21,10,9,2.333333333,23.33333333,11/04/2021,04/21/2022,,,,,5,,,,4,,,9,,1,,,,,,
68,2,AC_118,AC_118,6,1,1,0,0,2,6,0,0,11/04/2021,04/09/2022,,,,,1,1,,,,,,6,,,,,,,,
60,2,AC_123,AC_123,1,1,1,0,5,2,16,5,10,11/04/2021,04/21/2022,,,,,1,,,,,1,,16,,,,,,,,
45,2,AC_142,AC_142,2,10,4,0,27,14,15,2.7,37.8,11/04/2021,05/03/2022,,,,,4,,,,6,,,15,,4,,,,,,
59,2,AC  143,AC_143,7,11,1,0,,12,0,,,,,,,,,4,,,,5,,,,2,1,,,,,,
63,2,AC_144,AC_144,5,5,2,0,23,7,4,4.6,32.2,11/04/2021,04/09/2022,,,,,3,,,,2,,,4,,2,,,,,,
71,2,AC_148,AC_148,8,5,1,0,9,6,0,1.8,10.8,11/04/2021,04/09/2022,,,,,5,1,,,,,,,,,,,,,,
65,2,AC_152,AC_152,5,0,1,0,0,1,0,#DIV/0!,#DIV/0!,11/04/2021,04/09/2022,,,,,,,,,,1,,,,,,,,,,
37,2,AC_153,AC_153,4,4,0,0,0,4,9,0,0,11/04/2021,05/03/2022,,,,,1,,,,3,,,9,,,,,,,,
53,2,AC_158,AC_158,6,39,1,0,115,40,20,2.948717949,117.9487179,11/04/2021,04/09/2022,,,,,9,,,,14,,,20,16,1,,,,,,
69,2,AC_159,AC_159,3,7,3,0,10,10,6,1.428571429,14.28571429,11/04/2021,04/09/2022,,,,,7,3,,,,,,6,,,,,,,,
