,,,,,,,,,,,,,,,,,,,,Collection Date: 2022-04-08,,,Collection Date: 2022-04-22 to 2022-04-23,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-04,,,Collection Date: 2022-05-12,,,Collection Date: 2022-05-19 ,,,Collection Date: 2022-05-25 to 2022-05-26,,,Collection Date: 2022-06-09,,,Collection Date: NA,,
Sequence,Block,Location,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),Total number of viable seeds counted across multiple dates,Identifier,Idnetifier,ff_date,Index Match ,Number of closed fruits used to estimate mean seeds per fruit (include multiple dates),Total number of all Open fruits,Total number of viable seeds counted across multiple dates,Total number of all fruits produced by the plant (open + closed),Mean seeds/fruit (G/F),Total production of viable seeds (I*H),Sown Date ,Flowering Date ,Days from sown to flower ,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
297,1,26,BB_185,BB_185,8,3,26_BB_185_8,24_BB_200_5,11-Mar,25-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,03/25/2022,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
301,1,27,BB_70,BB_070,6,0,27_BB_70_6,24_BB_200_8,25-Mar,25-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/25/2022,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
305,1,27,BB_92,BB_092,NF,0,27_BB_92_NF,25_BB_113_2,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,27,BB_97,BB_097,,0,27_BB_97_,25_BB_171_2,25-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1,28,BB_76,BB_076,1,6,28_BB_76_1,26_BB_25_4,8-Apr,12-May,2,#REF!,6,#REF!,3,6,12/04/2022,05/12/2022,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,
317,1,28,BB_123,BB_123,,0,28_BB_123_,26_BB_59_2,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,28,BB_163,BB_163,,0,28_BB_163_,26_BB_59_3,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1,29,BB_81,BB_081,,0,29_BB_81_,26_BB_59_4,1-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,29,BB_135,BB_135,8,0,29_BB_135_8,26_BB_185_4,25-Mar,17-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/17/2022,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,
337,W1,30,BB_17,BB_017,2,0,30_BB_17_2,26_BB_185_4,25-Mar,1-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,W1,30,BB_32,BB_032,1,14,30_BB_32_1,26_BB_185_8,25-Mar,1-Apr,2,#REF!,14,#REF!,7,14,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,2,,14,,,,,,,,,
333,W1,30,BB_32,BB_032,3,8,30_BB_32_3,26_BB_185_6,25-Mar,26-Mar,2,#REF!,8,#REF!,4,8,12/04/2022,04/26/2022,,,,,,,,,,,,,,,,,2,,8,,,,,,,,,
333,W1,30,BB_32,BB_032,6,2,30_BB_32_6,26_BB_185_8,25-Mar,17-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,03/17/2022,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
341,W1,30,BB_185,BB_185,3,3,30_BB_185_3,27_BB_97_1,8-Apr,1-Apr,1,#REF!,3,#REF!,3,3,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
341,W1,30,BB_185,BB_185,5,11,30_BB_185_5,27_BB_70_6,25-Mar,1-Apr,4,#REF!,11,#REF!,2.75,11,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,1,,6,2,,5,1,,0,,,
341,W1,30,BB_185,BB_185,6,7,30_BB_185_6,27_BB_92_8,17-Mar,1-Apr,3,#REF!,7,#REF!,2.333333333,7,12/04/2022,04/01/2022,,,,,,,,,,,,,,,,,1,,6,1,,0,1,,1,,,
345,1,31,BB_95,BB_095,NF,0,31_BB_95_NF,28_BB_76_1,12-May,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1,31,BB_133,BB_133,1,0,31_BB_133_1,28_BB_123_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1,31,BB_154,BB_154,NF,0,31_BB_154_NF,28_BB_163_6,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1,32,BB_8,BB_008,8,0,32_BB_8_8,29_BB_81_5,NA,2-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,04/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1,32,BB_64,BB_064,,0,32_BB_64_,29_BB_135_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1,33,BB_147,BB_147,1,4,33_BB_147_1,30_BB_32_1,1-Apr,8-Apr,1,#REF!,4,#REF!,4,4,12/04/2022,04/08/2022,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,
365,1,33,BB_159,BB_159,5,5,33_BB_159_5,30_BB_32_3,26-Mar,#N/A,5,#REF!,5,#REF!,1,5,12/04/2022,03/03/2022,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,
369,1,33,BB_205,BB_205,1,24,33_BB_205_1,30_BB_17_2,1-Apr,2-Apr,5,#REF!,24,#REF!,4.8,24,12/04/2022,04/02/2022,,,,,,,,,,,,,,1,,4,3,,18,1,,2,,,,,,
385,1,34,BB_46,BB_046,,0,34_BB_46_,30_BB_185_3,1-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1,34,BB_53,BB_053,2,0,34_BB_53_2,30_BB_32_6,17-Mar,#N/A,2,#REF!,0,#REF!,0,0,12/04/2022,03/17/2022,,,,,,,,1,,0,1,,0,,,,,,,,,,,,,,,
377,1,34,BB_102,BB_102,2,11,34_BB_102_2,30_BB_185_5,1-Apr,#N/A,2,#REF!,11,#REF!,5.5,11,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,,,,2,,11,,,,,,
377,1,34,BB_102,BB_102,5,29,34_BB_102_5,30_BB_185_6,1-Apr,17-Mar,3,#REF!,14,#REF!,4.666666667,14,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,3,,14,,,,,,,2,,15
389,1,35,BB_2,BB_002,6,0,35_BB_2_6,31_BB_154_4,17-Mar,22-Apr,2,#REF!,0,#REF!,0,0,12/04/2022,04/22/2022,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,
393,1,35,BB_183,BB_183,,0,35_BB_183_,31_BB_133_3,2-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1,36,BB_72,BB_072,,0,36_BB_72_,31_BB_95_8,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1,36,BB_151,BB_151,NF,0,36_BB_151_NF,32_BB_64_3,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1,36,BB_204,BB_204,8,0,36_BB_204_8,32_BB_8_8,2-Apr,17-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
417,1,37,BB_50,BB_050,2,4,37_BB_50_2,33_BB_205_1,2-Apr,22-Apr,1,#REF!,4,#REF!,4,4,12/04/2022,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
409,1,37,BB_121,BB_121,7,0,37_BB_121_7,33_BB_147_1,8-Apr,8-Apr,1,#REF!,0,#REF!,0,0,12/04/2022,04/08/2022,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
413,1,37,BB_132,BB_132,6,21,37_BB_132_6,34_BB_46_1,17-Mar,17-Mar,7,#REF!,21,#REF!,3,21,12/04/2022,03/17/2022,,,,,1,,0,,,,,,,2,,9,,,,,,,4,,12,,,
429,1,38,BB_63,BB_063,,0,38_BB_63_,34_BB_102_5,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1,38,BB_89,BB_089,4,3,38_BB_89_4,34_BB_102_7,2-Apr,11-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,
425,1,38,BB_126,BB_126,,0,38_BB_126_,35_BB_2_6,22-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,1,38,BB_139,BB_139,7,1,38_BB_139_7,36_BB_151_2,8-Apr,28-Apr,1,#REF!,1,#REF!,1,1,12/04/2022,04/28/2022,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
445,1,39,BB_39,BB_039,,0,39_BB_39_,36_BB_72_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1,39,BB_105,BB_105,3,0,39_BB_105_3,36_BB_204_8,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,04/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1,39,BB_145,BB_145,4,8,39_BB_145_4,37_BB_50_2,22-Apr,17-Mar,3,#REF!,8,#REF!,2.666666667,8,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,3,,8,,,,,,,,,
457,W1,40,BB_77,BB_077,7,0,40_BB_77_7,37_BB_121_7,8-Apr,12-May,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,05/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,W1,40,BB_118,BB_118,1,13,40_BB_118_1,37_BB_132_6,17-Mar,26-Mar,2,#REF!,13,#REF!,6.5,13,12/04/2022,03/26/2022,,,,,,,,,,,,,,2,,13,,,,,,,,,,,,
453,W1,40,BB_118,BB_118,4,4,40_BB_118_4,38_BB_89_4,11-Mar,#N/A,2,#REF!,4,#REF!,2,4,12/04/2022,03/26/2022,,,,,,,,,,,,,,1,,2,1,,2,,,,,,,,,
453,W1,40,BB_118,BB_118,6,0,40_BB_118_6,38_BB_126_3,26-Mar,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,W1,40,BB_187,BB_187,3,7,40_BB_187_3,38_BB_139_7,28-Apr,26-Mar,3,#REF!,7,#REF!,2.333333333,7,12/04/2022,03/26/2022,,,,,,,,,,,2,,4,,,,1,,3,,,,,,,,,
449,W1,40,BB_187,BB_187,4,0,40_BB_187_4,39_BB_145_4,17-Mar,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0
465,1,41,BB_37,BB_037,2,0,41_BB_37_2,39_BB_105_2,NA,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,1,41,BB_77,BB_077,,0,41_BB_77_,39_BB_105_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1,41,BB_190,BB_190,2,0,41_BB_190_2,39_BB_39_5,28-Apr,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/36/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1,42,BB_111,BB_111,6,0,42_BB_111_6,40_BB_187_3,26-Mar,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1,42,BB_111,BB_111,8,0,42_BB_111_8,40_BB_187_4,26-Mar,#N/A,1,#REF!,0,#REF!,0,0,12/04/2022,03/17/2022,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
477,1,42,BB_138,BB_138,1,5,42_BB_138_1,40_BB_118_1,26-Mar,26-Mar,2,#REF!,5,#REF!,2.5,5,12/04/2022,03/26/2022,,,,,,,,,,,,,,2,,5,,,,,,,,,,,,
481,1,43,BB_35,BB_035,NF,0,43_BB_35_NF,40_BB_187_6,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1,43,BB_54,BB_054,6,0,43_BB_54_6,40_BB_118_6,26-Mar,8-Apr,2,#REF!,0,#REF!,0,0,12/04/2022,04/08/2022,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,
489,1,43,BB_87,BB_087,7,2,43_BB_87_7,40_BB_77_7,12-May,2-Apr,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
501,1,44,BB_40,BB_040,,0,44_BB_40_,41_BB_37_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1,44,BB_152,BB_152,2,6,44_BB_152_2,41_BB_190_2,26-Mar,2-Apr,2,#REF!,6,#REF!,3,6,12/04/2022,04/02/2022,,,,,,,,,,,,,,1,,1,1,,5,,,,,,,,,
497,1,44,BB_208,BB_208,,0,44_BB_208_,42_BB_138_1,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,1,45,BB_43,BB_043,,0,45_BB_43_,42_BB_111_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,1,45,BB_74,BB_074,,0,45_BB_74_,43_BB_35_2,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,1,45,BB_192,BB_192,,0,45_BB_192_,43_BB_54_6,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1,46,BB_24,BB_024,4,4,46_BB_24_4,43_BB_87_7,2-Apr,11-Mar,1,#REF!,4,#REF!,4,4,12/04/2022,03/11/2022,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,
521,1,46,BB_24,BB_024,8,2,46_BB_24_8,44_BB_152_2,2-Apr,11-Mar,2,#REF!,2,#REF!,1,2,12/04/2022,03/11/2022,,,,,,,,1,,0,,,,1,,2,,,,,,,,,,,,
525,1,46,BB_127,BB_127,,0,46_BB_127_,44_BB_208_3,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,1,46,BB_153,BB_153,1,20,46_BB_153_1,44_BB_40_4,11-Mar,2-Apr,6,#REF!,20,#REF!,3.333333333,20,12/04/2022,04/02/2022,,,,,,,,,,,,,,,,,3,,17,3,,3,,,,,,
529,1,47,BB_30,BB_030,,0,47_BB_30_,45_BB_74_4,22-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,1,47,BB_31,BB_031,1,0,47_BB_31_1,45_BB_192_8,22-Apr,17-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1,47,BB_49,BB_049,5,0,47_BB_49_5,46_BB_153_1,2-Apr,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,1,48,BB_148,BB_148,,0,48_BB_148_,46_BB_24_3,NA,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,1,48,BB_157,BB_157,,0,48_BB_157_,46_BB_24_4,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,1,48,BB_205 B,BB_205 B,,0,48_BB_205 B_,46_BB_24_4,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,1,49,BB_88,BB_088,7,16,49_BB_88_7,46_BB_24_8,11-Mar,11-Mar,4,#REF!,16,#REF!,4,16,12/04/2022,03/11/2022,,,,,,,,,,,,,,,,,4,,16,,,,,,,,,
561,1,49,BB_119,BB_119,,0,49_BB_119_,46_BB_24_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,1,49,BB_181,BB_181,,0,49_BB_181_,47_BB_30_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,W1,50,BB_49,BB_049,5,14,50_BB_49_5,47_BB_49_3,11-Mar,17-Mar,1,#REF!,14,#REF!,14,14,12/04/2022,03/17/2022,,,,,,,,,,,,,,1,,14,,,,,,,,,,,,
569,W1,50,BB_143,BB_143,4,20,50_BB_143_4,47_BB_31_1,17-Mar,26-Mar,3,#REF!,20,#REF!,6.666666667,20,12/04/2022,03/26/2022,,,,,,,,,,,,,,1,,7,2,,13,,,,,,,,,
573,W1,50,BB_161,BB_161,,0,50_BB_161_,47_BB_49_5,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,1,51,BB_80,BB_080,,0,51_BB_80_,47_BB_49_8,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,1,51,BB_140,BB_140,,0,51_BB_140_,48_BB_157_7,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,1,51,BB_158,BB_158,8,0,51_BB_158_8,49_BB_88_7,11-Mar,8-Apr,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1,52,BB_16,BB_016,,0,52_BB_16_,49_BB_119_8,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,1,52,BB_51,BB_051,6,0,52_BB_51_6,50_BB_49_3,26-Mar,26-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,1,52,BB_216,BB_216,NF,0,52_BB_216_NF,50_BB_143_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1,53,BB_56,BB_056,,0,53_BB_56_,50_BB_143_4,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,1,53,BB_78,BB_078,7,0,53_BB_78_7,50_BB_161_4,NA,26-Mar,3,#REF!,0,#REF!,0,0,12/04/2022,03/26/2022,,,,,,,,,,,,,,,,,,,,1,,0,2,,0,,,
609,1,53,BB_118,BB_118,NF,0,53_BB_118_NF,50_BB_49_3,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1,54,BB_42,BB_042,NF,0,54_BB_42_NF,50_BB_49_7,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,1,54,BB_120,BB_120,8,2,54_BB_120_8,50_BB_49_5,17-Mar,17-Mar,3,#REF!,2,#REF!,0.6666666667,2,12/04/2022,03/17/2022,,,,,,,,,,,,,,,,,2,,1,1,,1,,,,,,
621,1,55,BB_86,BB_086,,0,55_BB_86_,50_BB_143_5,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,2,56,BB_16,BB_016,,0,56_BB_16_,51_BB_80_3,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,2,56,BB_118,BB_118,,0,56_BB_118_,51_BB_140_5,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,2,56,BB_148,BB_148,,0,56_BB_148_,51_BB_158_8,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,2,57,BB_92,BB_092,7,0,57_BB_92_7,52_BB_16_1,2-Apr,3-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,2,57,BB_111,BB_111,,0,57_BB_111_,52_BB_51_1,23-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,2,57,BB_120,BB_120,3,0,57_BB_120_3,52_BB_51_2,26-Mar,26-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
657,2,58,BB_50,BB_050,,0,58_BB_50_,52_BB_51_2,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,2,58,BB_127,BB_127,,0,58_BB_127_,52_BB_51_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,2,58,BB_153,BB_153,3,0,58_BB_153_3,52_BB_216_6,26-Mar,11-Mar,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
669,2,59,BB_56,BB_056,,0,59_BB_56_,52_BB_51_6,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,2,59,BB_133,BB_133,8,4,59_BB_133_8,53_BB_56_4,26-Mar,2-Apr,2,#REF!,4,#REF!,2,4,12/04/2022,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,
665,2,59,BB_143,BB_143,5,0,59_BB_143_5,53_BB_118_3,26-Mar,11-Mar,2,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,1,,0,,,,1,,0,,,,,,,,,,,,
673,W1,60,BB_51,BB_051,7,0,60_BB_51_7,53_BB_78_7,26-Mar,11-Mar,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,W1,60,BB_85,BB_085,,0,60_BB_85_,53_BB_118_5,8-Apr,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,W1,60,BB_152,BB_152,7,3,60_BB_152_7,53_BB_118_8,17-Mar,26-Mar,2,#REF!,3,#REF!,1.5,3,12/04/2022,,,,,,,,,1,,0,,,,1,,3,,,,,,,,,,,,
681,W1,60,BB_152,BB_152,8,7,60_BB_152_8,54_BB_120_8,17-Mar,11-Mar,2,#REF!,7,#REF!,3.5,7,12/04/2022,,,,,,,,,1,,3,,,,1,,4,,,,,,,,,,,,
685,2,61,BB_27,BB_027,,0,61_BB_27_,54_BB_42_7,17-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,2,61,BB_78,BB_078,,0,61_BB_78_,55_BB_86_1,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,2,61,BB_147,BB_147,8,0,61_BB_147_8,56_BB_16_4,2-Apr,#N/A,1,#REF!,0,#REF!,0,0,12/04/2022,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
701,2,62,BB_61,BB_061,1,2,62_BB_61_1,57_BB_111_1,26-Mar,11-Mar,1,#REF!,2,#REF!,2,2,12/04/2022,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,
705,2,62,BB_211,BB_211,,0,62_BB_211_,57_BB_120_3,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,2,62,BB_214,BB_214,8,3,62_BB_214_8,57_BB_92_7,3-Mar,17-Mar,1,#REF!,3,#REF!,3,3,12/04/2022,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
713,2,63,BB_83,BB_083,,0,63_BB_83_,58_BB_153_3,11-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,2,63,BB_114,BB_114,,0,63_BB_114_,58_BB_127_5,26-Mar,#N/A,0,#REF!,0,#REF!,#DIV/0!,0,12/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
