,,,,,,Collection Date: 2022-04-13 ,,,Collection Date: 2022-04-21 to 2022-04-22,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-05,,,Collection Date: 2022-05-11 to 2022-05-13,,,Collection Date: 2022-05-20,,,Collection Date: 2022-05-25 to 2022-05-27,,,Collection Date: 2022-06-13 to 2022-06-14,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
637,5,BO_106,BO_106,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,5,BO_108,BO_108,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,5,BO_111,BO_111,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,5,BO_114,BO_114,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,5,BO_115,BO_115,2,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
685,5,BO_117,BO_117,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,5,BO_121,BO_121,7,3,,,,,,,,,,,,,,,,,,,2,,3,,,,,,
701,5,BO_122,BO_122,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,5,BO_140,BO_140,4,2,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
617,5,BO_141,BO_141,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,5,BO_145,BO_145,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,5,BO_146,BO_146,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,BO_149,BO_149,2,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,,
633,5,BO_149,BO_149,3,7,,,,,,,,,,,,,1,,2,,,,2,,5,,,,,,
529,5,BO_171,BO_171,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,5,BO_186,BO_186,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,5,BO_195,BO_195,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,5,BO_198,BO_198,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,5,BO_199,BO_199,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,6,BO_8,BO_008,7,6,,,,,,,,,,1,,0,3,,2,,,,1,,4,,,,,,
725,6,BO_25,BO_025,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,6,BO_25,BO_025,7,0,,,,,,,,,,,,,3,,0,1,,0,,,,,,,,,
777,6,BO_32,BO_032,4,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
721,6,BO_50,BO_050,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,6,BO_52,BO_052,2,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,
737,6,BO_56,BO_056,8,10,,,,,,,,,,,,,,,,,,,3,,10,,,,,,
705,6,BO_61,BO_061,3,0,,,,,,,,,,1,,0,,,,,,,,,,2,,0,,,
781,6,BO_70,BO_070,5,5,,,,,,,,,,,,,0,,,,,,1,,5,1,,0,,,
757,6,BO_78,BO_078,4,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
797,6,BO_90,BO_090,1,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
785,6,BO_96,BO_096,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,6,BO_118,BO_118,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,6,BO_120,BO_120,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,6,BO_127,BO_127,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,6,BO_127,BO_127,5,7,,,,,,,,,,,,,,,,1,,7,,,,,,,,,
761,6,BO_127,BO_127,7,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
765,6,BO_130,BO_130,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,6,BO_130,BO_130,8,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
709,6,BO_131,BO_131,5,4,,,,,,,1,,0,1,,0,1,,0,,,,2,,4,,,,,,
733,6,BO_132,BO_132,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,6,BO_137,BO_137,2,3,,,,,,,,,,,,,,,,,,,2,,3,,,,,,
741,6,BO_137,BO_137,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,6,BO_139,BO_139,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,6,BO_142,BO_142,4,0,,,,,,,1,,0,,,,,,,1,,0,,,,,,,,,
809,6,BO_142,BO_142,7,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
729,6,BO_147,BO_147,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,6,BO_151,BO_151,3,0,,,,,,,,,,2,,0,,,,,,,,,,,,,,,
805,6,BO_151,BO_151,6,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
805,6,BO_151,BO_151,8,2,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
717,6,BO_153,BO_153,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,6,BO_157,BO_157,6,5,,,,1,,3,,,,,,,3,,2,,,,,,,,,,,,
817,6,BO_158,BO_158,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,6,BO_161,BO_161,1,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
813,6,BO_174,BO_174,1,3,,,,,,,,,,,,,2,,3,,,,,,,,,,,,
821,6,BO_182,BO_182,5,11,,,,,,,,,,,,,,,,,,,4,,11,,,,,,
821,6,BO_182,BO_182,7,4,1,,0,,,,,,,,,,,,,1,,4,,,,,,,,,
821,6,BO_182,BO_182,8,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
801,6,BO_191,BO_191,4,0,,,,,,,,,,1,,0,1,,0,1,,0,1,,0,,,,,,
773,6,BO_200,BO_200,8,6,,,,,,,,,,,,,2,,6,,,,,,,,,,,,
877,7,BO_13,BO_013,3,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
865,7,BO_24,BO_024,4,0,,,,,,,1,,0,1,,0,,,,,,,,,,,,,,,
829,7,BO_29,BO_029,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,7,BO_43,BO_043,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,7,BO_55,BO_055,2,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
853,7,BO_67,BO_067,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,7,BO_69,BO_069,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,7,BO_72,BO_072,7,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
825,7,BO_80,BO_080,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,7,BO_87,BO_087,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,7,BO_94,BO_094,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,7,BO_99,BO_099,7,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,
837,7,BO_104,BO_104,2,2,,,,,,,,,,,,,2,,1,,,,2,,1,,,,,,
861,7,BO_105,BO_105,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,7,BO_123,BO_123,1,3,,,,,,,,,,,,,1,,3,,,,,,,,,,,,
893,7,BO_124,BO_124,7,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,
873,7,BO_125,BO_125,7,13,,,,,,,,,,,,,,,,6,,13,,,,,,,,,
845,7,BO_135,BO_135,3,3,,,,,,,,,,,,,,,,,,,2,,3,,,,,,
881,7,BO_150,BO_150,3,1,,,,,,,,,,1,,0,,,,1,,1,,,,,,,,,
921,7,BO_155,BO_155,8,13,,,,,,,,,,1,,0,1,,6,1,,7,,,,,,,,,
909,7,BO_159,BO_159,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,7,BO_164,BO_164,6,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
897,7,BO_166,BO_166,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,7,BO_166,BO_166,5,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
897,7,BO_166,BO_166,7,0,,,,,,,,,,,,,,,,,,,3,,0,,,,,,
857,7,BO_177,BO_177,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,7,BO_185,BO_185,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,7,BO_189,BO_189,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,7,BO_189,BO_189,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,7,BO_189,BO_189,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,8,BO_4,BO_004,2,2,,,,,,,,,,,,,1,,0,,,,2,,2,,,,,,
1037,8,BO_9,BO_009,7,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,
1025,8,BO_15,BO_015,3,2,,,,,,,,,,,,,,,,1,,0,1,,2,,,,,,
961,8,BO_18,BO_018,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,8,BO_19,BO_019,3,0,,,,1,,0,,,,,,,,,,,,,,,,,,,,,
1005,8,BO_21,BO_021,3,7,,,,,,,,,,,,,2,,1,,,,7,,6,,,,,,
1005,8,BO_21,BO_021,4,1,,,,,,,,,,,,,2,,1,,,,1,,0,,,,,,
1005,8,BO_21,BO_021,6,12,,,,,,,,,,,,,3,,6,,,,1,,6,,,,,,
981,8,BO_34,BO_034,4,7,,,,1,,7,,,,,,,,,,,,,,,,,,,,,
957,8,BO_37,BO_037,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,8,BO_48,BO_048,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
997,8,BO_48,BO_048,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,8,BO_48,BO_048,8,7,,,,,,,1,,5,,,,2,,2,,,,,,,,,,,,
937,8,BO_54,BO_054,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,8,BO_66,BO_066,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,8,BO_88,BO_088,1,7,,,,,,,1,,7,,,,,,,1,,0,,,,,,,,,
993,8,BO_91,BO_091,2,11,,,,1,,0,2,,7,,,,6,,4,,,,,,,,,,,,
953,8,BO_100,BO_100,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,
1053,8,BO_102,BO_102,3,8,,,,,,,,,,,,,2,,8,,,,1,,0,,,,,,
941,8,BO_116,BO_116,5,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,
1001,8,BO_126,BO_126,1,4,,,,,,,,,,,,,1,,3,,,,,,,1,,1,,,
1001,8,BO_126,BO_126,3,4,,,,,,,,,,,,,1,,4,,,,,,,,,,,,
1001,8,BO_126,BO_126,4,3,,,,,,,,,,,,,2,,1,,,,3,,2,,,,,,
989,8,BO_134,BO_134,7,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
977,8,BO_143,BO_143,3,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
1041,8,BO_144,BO_144,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,8,BO_148,BO_148,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,8,BO_152,BO_152,4,5,,,,,,,,,,,,,2,,0,2,,3,1,,2,,,,,,
929,8,BO_152,BO_152,5,2,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
929,8,BO_152,BO_152,6,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
1013,8,BO_154,BO_154,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,8,BO_167,BO_167,3,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1045,8,BO_169,BO_169,1,8,,,,,,,1,,5,,,,,,,,,,2,,3,,,,,,
985,8,BO_175,BO_175,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,8,BO_176,BO_176,1,0,,,,,,,,,,,,,1,,0,,,,1,,0,,,,,,
1021,8,BO_178,BO_178,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,8,BO_180,BO_180,4,0,,,,1,,0,,,,,,,,,,,,,,,,,,,,,
965,8,BO_184,BO_184,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
1009,8,BO_190,BO_190,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,8,BO_201,BO_201,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,9,BO_4,BO_004,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,9,BO_4,BO_004,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,9,BO_19,BO_019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,9,BO_21,BO_021,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,9,BO_21,BO_021,7,1,,,,,,,,,,,,,,,,1,,0,1,,1,,,,,,
1157,9,BO_21,BO_021,8,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1129,9,BO_24,BO_024,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,9,BO_24,BO_024,3,2,,,,,,,,,,,,,1,,0,1,,0,1,,2,,,,,,
1117,9,BO_34,BO_034,7,2,,,,,,,1,,2,,,,1,,0,,,,1,,0,,,,,,
1165,9,BO_47,BO_047,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,9,BO_53,BO_053,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,9,BO_70,BO_070,4,3,,,,,,,,,,,,,2,,3,,,,,,,,,,,,
1093,9,BO_72,BO_072,3,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,
1069,9,BO_88,BO_088,5,0,,,,1,,0,,,,,,,,,,,,,,,,,,,,,
1133,9,BO_90,BO_090,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,9,BO_94,BO_094,6,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,
1109,9,BO_95,BO_095,6,7,,,,,,,,,,,,,5,,7,,,,,,,,,,,,
1097,9,BO_102,BO_102,1,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
1065,9,BO_106,BO_106,6,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
1061,9,BO_116,BO_116,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,9,BO_123,BO_123,7,10,,,,,,,,,,,,,3,,10,,,,,,,,,,,,
1153,9,BO_124,BO_124,2,4,,,,,,,,,,,,,2,,4,,,,,,,,,,,,
1073,9,BO_125,BO_125,8,3,,,,,,,,,,,,,2,,1,,,,2,,2,,,,,,
1149,9,BO_131,BO_131,8,3,,,,,,,,,,1,,1,1,,2,,,,,,,,,,,,
1145,9,BO_135,BO_135,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,9,BO_143,BO_143,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,9,BO_146,BO_146,5,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
1125,9,BO_148,BO_148,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,9,BO_154,BO_154,2,7,,,,,,,1,,4,,,,,,,,,,4,,3,,,,,,
1141,9,BO_155,BO_155,6,0,,,,,,,,,,,,,1,,0,,,,1,,0,,,,,,
1161,9,BO_158,BO_158,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,9,BO_174,BO_174,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,9,BO_199,BO_199,2,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
1113,9,BO_199,BO_199,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,10,BO_18,BO_018,4,6,,,,,,,,,,,,,2,,0,2,,1,,,,,,,3,,5
1173,10,BO_27,BO_027,6,16,,,,,,,,,,,,,5,,16,,,,,,,,,,,,
1233,10,BO_28,BO_028,1,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
1265,10,BO_31,BO_031,5,3,,,,,,,,,,,,,,,,,,,1,,3,,,,,,
1177,10,BO_43,BO_043,4,7,,,,,,,,,,2,,6,2,,1,,,,,,,,,,,,
1249,10,BO_44,BO_044,6,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
1209,10,BO_45,BO_045,6,4,,,,,,,,,,,,,,,,,,,10,,4,,,,,,
1225,10,BO_52,BO_052,2,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
1229,10,BO_54,BO_054,1,0,,,,,,,,,,,,,,,,,,,,,,1,,0,,,
1277,10,BO_55,BO_055,4,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
1313,10,BO_56,BO_056,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,10,BO_63,BO_063,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,10,BO_78,BO_078,6,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1189,10,BO_80,BO_080,1,6,,,,,,,1,,4,,,,1,,2,,,,,,,,,,,,
1189,10,BO_80,BO_080,3,3,,,,,,,,,,,,,1,,3,,,,,,,,,,,,
1189,10,BO_80,BO_080,4,1,,,,,,,1,,1,,,,,,,,,,2,,0,,,,,,
1317,10,BO_81,BO_081,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,10,BO_85,BO_085,2,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1329,10,BO_87,BO_087,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,10,BO_89,BO_089,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,10,BO_91,BO_091,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,10,BO_98,BO_098,1,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1325,10,BO_120,BO_120,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,10,BO_121,BO_121,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,10,BO_126,BO_126,2,3,,,,,,,1,,3,,,,,,,,,,,,,,,,,,
1217,10,BO_126,BO_126,4,2,,,,,,,,,,,,,2,,1,,,,2,,1,,,,,,
1217,10,BO_126,BO_126,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,10,BO_127,BO_127,2,8,,,,,,,,,,,,,,,,,,,2,,8,,,,,,
1297,10,BO_127,BO_127,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,10,BO_140,BO_140,4,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1281,10,BO_142,BO_142,1,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
1281,10,BO_142,BO_142,7,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1281,10,BO_142,BO_142,8,3,,,,,,,,,,,,,1,,3,,,,,,,,,,,,
1309,10,BO_145,BO_145,2,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1181,10,BO_149,BO_149,3,1,,,,,,,,,,,,,3,,0,,,,1,,1,,,,,,
1181,10,BO_149,BO_149,5,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1181,10,BO_149,BO_149,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,10,BO_157,BO_157,5,6,,,,,,,,,,,,,3,,6,,,,,,,,,,,,
1301,10,BO_161,BO_161,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,10,BO_164,BO_164,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,10,BO_169,BO_169,5,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1241,10,BO_171,BO_171,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,10,BO_178,BO_178,3,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
1269,10,BO_184,BO_184,5,4,,,,,,,,,,,,,,,,2,,4,,,,,,,,,
1321,10,BO_185,BO_185,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,10,BO_189,BO_189,4,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
1221,10,BO_195,BO_195,4,0,,,,,,,,,,,,,,,,1,,0,,,,,,,,,
1221,10,BO_195,BO_195,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,10,BO_195,BO_195,8,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
1289,10,BO_198,BO_198,8,0,,,,,,,,,,,,,1,,0,,,,1,,0,,,,,,
1237,10,BO_201,BO_201,2,0,,,,,,,,,,1,,0,,,,,,,1,,0,,,,,,
1369,11,BO_12,BO_012,5,1,,,,,,,,,,,,,1,,0,,,,1,,1,,,,,,
1345,11,BO_13,BO_013,6,5,,,,,,,,,,1,,0,,,,1,,0,1,,4,1,,1,,,
1377,11,BO_15,BO_015,6,7,,,,,,,,,,,,,2,,7,,,,,,,,,,,,
1417,11,BO_17,BO_017,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,11,BO_22,BO_022,5,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
1449,11,BO_25,BO_025,3,0,,,,,,,1,,0,,,,,,,,,,1,,0,,,,,,
1449,11,BO_25,BO_025,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,11,BO_25,BO_025,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,11,BO_32,BO_032,1,2,,,,,,,,,,,,,1,,2,,,,1,,0,,,,,,
1485,11,BO_37,BO_037,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,11,BO_46,BO_046,NF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,11,BO_50,BO_050,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461,11,BO_51,BO_051,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,11,BO_60,BO_060,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,11,BO_61,BO_061,1,0,,,,,,,1,,0,,,,2,,0,,,,,,,,,,,,
1489,11,BO_66,BO_066,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,11,BO_67,BO_067,7,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
1441,11,BO_69,BO_069,6,5,,,,,,,,,,,,,2, ,0,,,,1,,5,,,,,,
1425,11,BO_71,BO_071,4,5,,,,,,,,,,,,,,,,,,,2,,5,,,,,,
1465,11,BO_79,BO_079,3,0,,,,,,,,,,,,,,,,,,,5,,0,,,,,,
1453,11,BO_82,BO_082,1,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1453,11,BO_82,BO_082,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,11,BO_82,BO_082,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,11,BO_99,BO_099,4,1,,,,,,,,,,,,,1,,1,,,,1,,0,,,,,,
1409,11,BO_100,BO_100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,11,BO_104,BO_104,4,1,,,,,,,,,,,,,1,,0,,,,2,,1,,,,,,
1405,11,BO_105,BO_105,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,11,BO_108,BO_108,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,11,BO_115,BO_115,1,18,,,,,,,,,,,,,,,,,,,5,,18,,,,,,
1477,11,BO_117,BO_117,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,11,BO_118,BO_118,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,11,BO_122,BO_122,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,11,BO_130,BO_130,5,0,,,,1,,0,,,,3,,0,,,,,,,,,,,,,,,
1337,11,BO_130,BO_130,7,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
1357,11,BO_134,BO_134,1,10,,,,,,,,,,,,,1,,7,,,,1,,3,,,,,,
1381,11,BO_137,BO_137,1,0,,,,,,,,,,,,,2,,0,,,,1,,0,,,,,,
1381,11,BO_137,BO_137,6,6,,,,,,,,,,,,,,,,,,,1,,6,,,,,,
1381,11,BO_137,BO_137,7,8,,,,,,,,,,,,,,,,,,,4,,8,,,,,,
1373,11,BO_147,BO_147,NF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,11,BO_150,BO_150,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,11,BO_152,BO_152,2,10,,,,,,,,,,,,,1, ,0,,,,3,,7,1,,3,,,
1353,11,BO_152,BO_152,3,6,,,,,,,,,,,,,2,,6,,,,,,,,,,,,
1353,11,BO_152,BO_152,7,8,,,,,,,2,,1,1,,2,,,,,,,2,,3,1,,2,,,
1473,11,BO_159,BO_159,7,0,,,,,,,,,,,,,,,,,,,,,,1,,0,,,
1437,11,BO_175,BO_175,5,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
1389,11,BO_176,BO_176,6,10,,,,,,,,,,,,,,,,4,,8,2,,2,,,,,,
1457,11,BO_180,BO_180,1,5,,,,,,,,,,,,,1,,5,,,,,,,,,,,,
1469,11,BO_182,BO_182,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,11,BO_200,BO_200,6,3,,,,,,,,,,,,,3,,3,,,,,,, ,,,,,
1533,12,BO_1,BO_001,8,0,,,,,,,,,,,,,,,,,,,,,,1,,0,,,
1497,12,BO_8,BO_008,1,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,,
1545,12,BO_9,BO_009,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,12,BO_14,BO_014,4,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
1529,12,BO_20,BO_020,6,2,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
1581,12,BO_29,BO_029,2,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
1505,12,BO_48,BO_048,4,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,
1505,12,BO_48,BO_048,6,2,,,,,,,,,,,,,1,,2,,,,,,,,,,,,
1549,12,BO_86,BO_086,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,12,BO_96,BO_096,NF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,12,BO_111,BO_111,2,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
1493,12,BO_114,BO_114,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,12,BO_132,BO_132,4,20,,,,,,,,,,,,,,,,,,,4,,20,,,,,,
