,,,,,,Collection Date: 2022-04-13 ,,,Collection Date: 2022-04-21 to 2022-04-22,,,Collection Date: 2022-04-28 to 2022-04-29,,,Collection Date: 2022-05-05,,,Collection Date: 2022-05-11 to 2022-05-13,,,Collection Date: 2022-05-20,,,Collection Date: 2022-05-25 to 2022-05-27,,,Collection Date: 2022-06-13 to 2022-06-14,,,Collection Date: NA,,
Sequence,Transect,Recipient,Recipient for sorting,Plant number of fitness plant (when chosen),viable_seeds,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of CLOSED Fruits collected from FITNESS plant,Total # of SEEDS from CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant
129,1,BO_149,BO_149,1,0,,,,,,,,,,,,,,,,,,,3,,0,,,,,,
129,1,BO_149,BO_149,4,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
169,1,BO_153,BO_153,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1,BO_155,BO_155,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,BO_166,BO_166,6,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
121,1,BO_175,BO_175,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,BO_176,BO_176,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,BO_178,BO_178,3,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
117,1,BO_182,BO_182,4,8,,,,,,,,,,,,,2,,2,,,,2,,6,,,,,,
101,1,BO_185,BO_185,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,BO_191,BO_191,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2,BO_17,BO_017,3,21,,,,,,,,,,,,,2,,4,1,,2,11,,15,,,,,,
209,2,BO_31,BO_031,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2,BO_44,BO_044,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2,BO_50,BO_050,7,3,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
257,2,BO_51,BO_051,7,0,,,,,,,,,,,,,1,,0,1,,0,,,,,,,,,
181,2,BO_52,BO_052,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2,BO_55,BO_055,7,2,,,,,,,,,,2,,0,5,,1,,,,2,,1,,,,,,
201,2,BO_56,BO_056,3,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
269,2,BO_61,BO_061,1,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
205,2,BO_63,BO_063,2,0,,,,,,,,,,,,,,,,,,,1,,0,,,,,,
217,2,BO_70,BO_070,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2,BO_71,BO_071,6,6,,,,,,,,,,,,,3,,6,,,,,,,,,,,,
273,2,BO_72,BO_072,2,2,,,,,,,,,,,,,1,,0,1,,2,,,,,,,,,
197,2,BO_78,BO_078,7,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
285,2,BO_86,BO_086,2,7,,,,,,,,,,2,,1,8,,6,,,,,,,,,,,,
285,2,BO_86,BO_086,7,6,,,,,,,,,,,,,2,,5,2,,1,,,,,,,,,
233,2,BO_89,BO_089,3,7,,,,,,,,,,,,,,,,1,,3,1,,4,,,,,,
297,2,BO_95,BO_095,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,BO_106,BO_106,6,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
189,2,BO_108,BO_108,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2,BO_111,BO_111,3,0,,,,,,,,,,,,,1,,0,1,,0,1,,0,,,,,,
213,2,BO_122,BO_122,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2,BO_125,BO_125,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,BO_132,BO_132,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2,BO_135,BO_135,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2,BO_152,BO_152,7,5,,,,,,,,,,,,,1,,1,1,,0,1,,4,,,,,,
289,2,BO_152,BO_152,8,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
237,2,BO_154,BO_154,8,6,,,,,,,,,,,,,1,,0,,,,5,,6,,,,,,
245,2,BO_159,BO_159,6,2,,,,,,,,,,,,,2,,0,,,,1,,2,,,,,,
229,2,BO_164,BO_164,5,4,,,,,,,,,,,,,3,,4,,,,,,,,,,,,
305,2,BO_174,BO_174,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2,BO_189,BO_189,4,3,,,,,,,,,,,,,1,,0,,,,1,,3,,,,,,
193,2,BO_198,BO_198,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2,BO_199,BO_199,4,6,,,,,,,,,,,,,1,,6,,,,,,,,,,,,
249,2,BO_199,BO_199,7,5,,,,,,,,,,,,,2,,3,,,,1,,2,,,,,,
281,2,BO_200,BO_200,6,3,,,,,,,,,,,,,,,,,,,3,,3,,,,,,
373,3,BO_1,BO_001,5,0,,,,,,,,,,,,,1,,0,,,,,,,,,,,,
337,3,BO_9,BO_009,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,3,BO_13,BO_013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,3,BO_25,BO_025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,3,BO_28,BO_028,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,3,BO_53,BO_053,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,3,BO_54,BO_054,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,3,BO_67,BO_067,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,3,BO_69,BO_069,1,6,,,,,,,,,,,,,1,,0,,,,5,,6,,,,,,
333,3,BO_85,BO_085,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,3,BO_88,BO_088,5,6,,,,,,,,,,,,,,,,,,,3,,6,,,,,,
321,3,BO_96,BO_096,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,3,BO_100,BO_100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,3,BO_116,BO_116,6,0,,,,,,,,,,,,,2,,0,,,,,,,,,,,,
357,3,BO_123,BO_123,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,BO_124,BO_124,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,3,BO_126,BO_126,3,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
,3,BO_126,BO_126,6,0,,,,,,,,,,1,,0,,,,,,,,,,,,,,,
401,3,BO_134,BO_134,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,3,BO_140,BO_140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,3,BO_142,BO_142,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,3,BO_142,BO_142,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,3,BO_143,BO_143,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,3,BO_145,BO_145,4,6,,,,,,,,,,1,,6,,,,,,,,,,,,,,,
381,3,BO_146,BO_146,7,6,,,,,,,,,,,,,3,,6,,,,,,,,,,,,
