Transect,Sequence,Recipient,Plant ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,# of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),"Notes (highlight key: purple=HEIC file, orange=something wrong with data, green=where John M left off)",URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units
12,1523,BO_166,6,https://drive.google.com/file/d/1phucUz1QEh8ko0sG7QPeja8y7p2xGkmv/view?usp=sharing,2022-04-08,,340.566,22.225,,,,,,
12,1524,BO_166,7,,,,,,,,,,,
12,1524,BO_166,8,,,,,,,,,,,
12,1525,BO_186,1,,,,,,,,,,,
12,1525,BO_186,2,https://drive.google.com/file/d/1QCbk1Wk5pwo1646enOoPK00RUx7ra_8B/view?usp=sharing,2022-04-08,,219.557,18.948,,https://drive.google.com/file/d/1ZBPHaPaQtZAd0LZAzGMOiKFLFIb_H6o0/view?usp=sharing,2022-04-08,,,
12,1526,BO_186,3,,,,,,,,,,,
12,1526,BO_186,4,,,,,,,,,,,
12,1527,BO_186,5,,,,,,,,,,,
12,1527,BO_186,6,,,,,,,,,,,
12,1528,BO_186,7,,,,,,,,,,,
12,1528,BO_186,8,,,,,,,,,,,
12,1529,BO_020,1,,,,,,,,,,,
12,1529,BO_020,2,,,,,,,,,,,
12,1530,BO_020,3,,,,,,,,,,,
12,1530,BO_020,4,,,,,,,,,,,
12,1531,BO_020,5,,,,,,,,,,,
12,1531,BO_020,6,https://drive.google.com/file/d/1t0_IM4VqeibgcuTtp7rKDSASP_dWIzps/view?usp=sharing,2022-04-01,,282.212,21.52,,https://drive.google.com/file/d/1NVncsXnd2GTLUcfM6iAVcyC3x992N-Iq/view?usp=sharing,2022-04-01,,,
12,1532,BO_020,7,,,,,,,,,,,
12,1532,BO_020,8,,,,,,,,,,,
12,1533,BO_001,1,https://drive.google.com/file/d/15FQHUlvOmSlfiO9hyc3Ao0clpZeFK6Zg/view?usp=sharing,2022-04-01,,620.95,33.515,,https://drive.google.com/file/d/1sv1z_pnrnDuiuDZwRctEvAc0Q1XE7nJ-/view?usp=sharing,2022-04-01,,,
12,1533,BO_001,2,,,,,,,,,,,
