Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
16,1,16R,G2,HR_008,HR_012,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,2.79,X,1,0,0,1,1,0,0,1,1,1,0
17,1,17L,G2,HR_069,HR_156,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,29.5,X,6,0,8,26,6,1.333333333,8,1,1,1,1
17,1,17R,G2,HR_148,HR_050,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,1.67,X,0,0,0,0,0,,0,1,0,0,0
18,1,18L,G1,HR_002,HR_071,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,5.07,-,1,0,0,1,1,0,0,1,1,1,0
18,1,18R,G1,HR_066,HR_137,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,12.51,-,2,1,0,2,3,0,0,1,1,1,0
19,1,19L,G2,HR_057,HR_110,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.91,X,1,0,0,4,1,0,0,1,1,1,0
19,1,19R,G1,HR_066,HR_087,1,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,,,,-,0,0,0,0,0,,0,1,0,0,0
20,1,20L,G1,HR_155,HR_047,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,3.21,-,0,0,0,0,0,,0,1,0,0,0
20,1,20R,G2,HR_074,HR_070,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.93,X,0,0,0,0,0,,0,1,0,0,0
21,1,21L,G1,HR_108,HR_177,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,0.84,-,0,0,0,0,0,,0,1,0,0,0
