Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
65,2,20L,G1,HR_108,HR_175,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,0.55,-,0,0,0,0,0,,0,1,0,0,0
65,2,20R,G2,HR_088,HR_067,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,5.41,X,2,1,7,17,3,3.5,10.5,1,1,1,1
66,2,21L,G2,HR_027,HR_145,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,4.23,X,0,1,0,0,1,,,1,1,0,0
66,2,21R,G2,HR_005,HR_040,3,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,2.83,X,1,0,2,4,1,2,2,0,1,1,1
67,2,22L,G2,HR_195,HR_068,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,8.16,X,0,1,0,0,1,,,1,1,0,0
67,2,22R,G1,HR_200,HR_153,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,5.02,-,5,0,16,21,5,3.2,16,1,1,1,1
68,2,23L,G1,HR_141,HR_044,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,8.89,-,3,0,6,13,3,2,6,1,1,1,1
68,2,23R,G2,HR_005,HR_149,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.83,X,1,0,0,0,1,0,0,1,1,1,0
69,2,24L,G1,HR_200,HR_010,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,2,,,21.31,-,3,6,10,12,9,3.333333333,30,1,1,1,1
69,2,24R,G2,HR_141,HR_015,1,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,,,,X,0,0,0,0,0,,0,1,0,0,0
70,2,25L,G2,HR_149,HR_065,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,10.34,X,6,0,4,12,6,0.6666666667,4,1,1,1,1
70,2,25R,G1,HR_149,HR_174,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,1,,1,78.68,-,13,1,7,17,14,0.5384615385,7.538461538,1,1,1,1
71,2,26L,G1,HR_149,HR_065,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,-,3,0,2,14,3,0.6666666667,2,1,1,1,1
71,2,26R,G1,HR_108,HR_175,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,6.29,-,2,0,2,5,2,1,2,1,1,1,1
72,2,27L,G2,HR_180,HR_036,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,1.16,X,0,0,0,0,0,,0,1,0,0,0
72,2,27R,G1,HR_110,HR_037,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,14.19,-,4,0,0,6,4,0,0,1,1,1,0
73,2,28L,G1,HR_053,HR_169,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,0.83,-,1,0,0,1,1,0,0,1,1,1,0
73,2,28R,G2,HR_088,HR_182,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,18.52,X,1,1,0,0,2,0,0,1,1,1,0
74,2,29L,G2,HR_196,HR_054,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,12.55,X,4,0,1,6,4,0.25,1,1,1,1,1
74,2,29R,G1,HR_100,HR_195,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,2023-05-05,2023-04-20,,,,14.35,-,0,3,0,0,3,,,1,1,0,0
75,2,30L,G1,HR_034,HR_017,4,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,1,,,,-,0,0,0,0,0,,0,1,0,0,0
75,2,30R,G2,HR_171,HR_073,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,X,3,2,2,8,5,0.6666666667,3.333333333,1,1,1,1
76,2,31L,G1,HR_085,HR_107,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.38,-,2,0,1,3,2,0.5,1,1,1,1,1
76,2,31R,G1,HR_027,HR_145,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,4.65,-,3,0,0,14,3,0,0,1,1,1,0
77,2,32L,G2,HR_088,HR_182,1,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,2023-05-05,2,,,6.41,X,2,1,1,2,3,0.5,1.5,1,1,1,1
77,2,32R,G1,HR_006,HR_146,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,1,,,6.33,-,2,1,3,7,3,1.5,4.5,1,1,1,1
78,2,33L,G2,HR_160,HR_033,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,8.07,X,1,1,0,2,2,0,0,1,1,1,0
78,2,33R,G1,HR_171,HR_073,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,11.16,-,12,1,16,32,13,1.333333333,17.33333333,1,1,1,1
79,2,34L,G1,HR_002,HR_071,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,15.71,-,3,6,2,7,9,0.6666666667,6,1,1,1,1
79,2,34R,G1,HR_027,HR_043,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,3.6,-,3,0,2,3,3,0.6666666667,2,1,1,1,1
80,2,35L,G2,HR_070,HR_165,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,1.04,X,0,2,0,0,2,,,1,1,0,0
80,2,35R,G2,HR_139,HR_062,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,1,,,13.5,X,5,1,6,11,6,1.2,7.2,1,1,1,1
81,2,36L,G2,HR_085,HR_176,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,5.73,X,2,0,6,8,2,3,6,1,1,1,1
81,2,36R,G1,HR_053,HR_092,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,1.08,-,1,0,0,2,1,0,0,1,1,1,0
82,2,37L,G1,HR_156,HR_193,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,-,0,0,0,0,0,,0,1,0,0,0
82,2,37R,G2,HR_100,HR_195,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,1.92,X,0,0,0,0,0,,0,1,0,0,0
83,2,38L,G1,HR_059,HR_166,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,4.39,-,2,0,3,5,2,1.5,3,1,1,1,1
83,2,38R,G2,HR_160,HR_173,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,,,,,3.5,X,1,0,1,3,1,1,1,1,1,1,1
84,2,39L,G1,HR_135,HR_152,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,4.16,-,5,0,19,30,5,3.8,19,1,1,1,1
84,2,39R,G2,HR_006,HR_142,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,3.43,X,0,0,0,0,0,,0,1,0,0,0
85,2,40L,G1,HR_074,HR_115,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,2.79,-,2,1,5,6,3,2.5,7.5,1,1,1,1
85,2,40R,G2,HR_008,HR_058,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,11.21,X,4,2,15,23,6,3.75,22.5,1,1,1,1
86,2,41L,G2,HR_180,HR_023,4,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,7.84,X,2,0,4,7,2,2,4,0,1,1,1
86,2,41R,G2,HR_100,HR_192,5,TRUE,2022-11-10,2022-11-13,2023-03-23,133,130,2023-04-20,28,,2023-04-05,,,,38.11,X,8,1,46,74,9,5.75,51.75,1,1,1,1
87,2,42L,G2,HR_088,HR_067,4,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,5.3,X,1,0,2,5,1,2,2,0,1,1,1
87,2,42R,G1,HR_069,HR_133,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,10.45,-,13,0,33,59,13,2.538461538,33,1,1,1,1
88,2,43L,G1,HR_088,HR_067,5,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,,,,,2.53,-,0,0,0,0,0,,0,1,0,0,0
88,2,43R,G1,HR_053,HR_038,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,27.41,-,22,1,90,129,23,4.090909091,94.09090909,1,1,1,1
89,2,44L,G1,HR_168,HR_101,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.89,-,1,0,0,0,1,0,0,1,1,1,0
89,2,44R,G1,HR_160,HR_079,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,14.4,-,3,1,5,7,4,1.666666667,6.666666667,1,1,1,1
90,2,45L,G2,HR_108,HR_175,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,8.03,X,5,0,14,20,5,2.8,14,1,1,1,1
90,2,45R,G1,HR_155,HR_121,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,19.19,-,3,1,5,8,4,1.666666667,6.666666667,1,1,1,1
91,3,1L,G1,HR_157,HR_088,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,7.69,-,1,1,2,2,2,2,4,1,1,1,1
91,3,1R,G2,HR_008,HR_012,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,19.88,X,4,2,9,12,6,2.25,13.5,1,1,1,1
92,3,2L,G1,HR_156,HR_193,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,29.28,-,3,4,5,6,7,1.666666667,11.66666667,1,1,1,1
92,3,2R,G1,HR_059,HR_011,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,8.69,-,4,4,11,16,8,2.75,22,1,1,1,1
93,3,3L,G1,HR_034,HR_112,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,22.49,-,2,3,3,4,5,1.5,7.5,1,1,1,1
93,3,3R,G1,HR_002,HR_056,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,7.86,-,3,1,3,6,4,1,4,1,1,1,1
94,3,4L,G2,HR_189,HR_018,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-20,,,,29.53,X,4,0,22,24,4,5.5,22,1,1,1,1
94,3,4R,G2,HR_095,HR_020,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,13.73,X,1,2,1,7,3,1,3,1,1,1,1
95,3,5L,G2,HR_005,HR_149,4,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,2023-05-05,1,,,1.71,X,1,0,1,2,1,1,1,1,1,1,1
95,3,5R,G1,HR_147,HR_150,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,11.39,-,2,4,3,4,6,1.5,9,1,1,1,1
96,3,6L,G2,HR_062,HR_134,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,14.01,X,3,2,2,4,5,0.6666666667,3.333333333,1,1,1,1
96,3,6R,G2,HR_070,HR_165,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,13.63,X,4,0,10,13,4,2.5,10,1,1,1,1
97,3,7L,G2,HR_115,HR_026,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,9.95,X,0,2,0,0,2,,,1,1,0,0
98,3,8L,G1,HR_088,HR_067,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,7.81,-,1,3,5,6,4,5,20,1,1,1,1
98,3,8R,G1,HR_088,HR_067,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,,-,1,2,4,5,3,4,12,1,1,1,1
99,3,9L,G2,HR_156,HR_193,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,X,1,0,4,4,1,4,4,1,1,1,1
99,3,9R,G1,HR_070,HR_123,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,3.36,-,0,1,0,0,1,,,1,1,0,0
100,3,10L,G2,HR_057,HR_006,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,17.02,X,2,1,7,13,3,3.5,10.5,1,1,1,1
100,3,10R,G2,HR_074,HR_066,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,19.75,X,2,3,8,11,5,4,20,1,1,1,1
101,3,11L,G2,HR_131,HR_046,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,9.65,X,0,3,0,0,3,,,1,1,0,0
101,3,11R,G2,HR_175,HR_164,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,24.7,X,3,5,15,19,8,5,40,1,1,1,1
102,3,12L,G1,HR_196,HR_170,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,1,,,64.86,-,11,3,48,56,14,4.363636364,61.09090909,1,1,1,1
102,3,12R,G2,HR_133,HR_158,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,81.19,X,21,7,112,169,28,5.333333333,149.3333333,1,1,1,1
103,3,13L,G2,HR_156,HR_193,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,,X,6,1,10,20,7,1.666666667,11.66666667,1,1,1,1
103,3,13R,G2,HR_069,HR_156,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.28,X,7,2,30,35,9,4.285714286,38.57142857,1,1,1,1
104,3,14L,G1,HR_131,HR_049,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,3.12,-,0,1,0,0,1,,,1,1,0,0
104,3,14R,G2,HR_149,HR_065,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,4.47,X,2,0,4,4,2,2,4,1,1,1,1
105,3,15R,G2,HR_027,HR_145,4,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,1.12,X,0,1,0,0,1,,,0,1,0,0
106,3,16L,G1,HR_034,HR_017,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,8.11,-,2,1,2,4,3,1,3,1,1,1,1
106,3,16R,G1,HR_085,HR_176,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.33,-,0,0,0,0,0,,0,1,0,0,0
107,3,17L,G1,HR_175,HR_164,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,3.94,-,0,3,0,0,3,,,1,1,0,0
107,3,17R,G1,HR_164,HR_041,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,8.29,-,0,5,0,0,5,,,1,1,0,0
108,3,18L,G2,HR_195,HR_104,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,3.82,X,0,2,0,0,2,,,1,1,0,0
108,3,18R,G2,HR_200,HR_153,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,12.28,X,3,1,8,10,4,2.666666667,10.66666667,1,1,1,1
109,3,19L,G2,HR_064,HR_190,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,1.53,X,1,0,0,0,1,0,0,1,1,1,0
109,3,19R,G2,HR_059,HR_155,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.49,X,0,0,0,0,0,,0,1,0,0,0
110,3,20L,G2,HR_147,HR_021,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,4.32,X,0,0,0,0,0,,0,1,0,0,0
110,3,20R,G2,HR_149,HR_174,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.17,X,0,2,0,0,2,,,1,1,0,0
111,3,21R,G2,HR_200,HR_159,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,3.69,X,1,0,2,3,1,2,2,1,1,1,1
112,3,22L,G1,HR_108,HR_175,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,18.95,-,3,3,10,17,6,3.333333333,20,1,1,1,1
112,3,22R,G2,HR_085,HR_107,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,7.37,X,1,0,4,4,1,4,4,1,1,1,1
113,3,23R,G2,HR_090,HR_053,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,1.91,X,1,1,2,3,2,2,4,1,1,1,1
114,3,24L,G2,HR_135,HR_083,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,22.66,X,10,3,18,31,13,1.8,23.4,1,1,1,1
114,3,24R,G2,HR_002,HR_071,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.02,X,0,0,0,0,0,,0,1,0,0,0
115,3,25L,G1,HR_175,HR_027,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-20,1,,,84.82,-,30,5,60,117,35,2,70,1,1,1,1
115,3,25R,G1,HR_090,HR_053,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,6.34,-,0,3,0,0,3,,,1,1,0,0
116,3,26L,G1,HR_180,HR_179,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,10.42,-,6,2,11,18,8,1.833333333,14.66666667,1,1,1,1
116,3,26R,G1,HR_062,HR_116,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,3.91,-,2,2,6,6,4,3,12,1,1,1,1
117,3,27L,G2,HR_110,HR_039,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,3.66,X,5,1,23,32,6,4.6,27.6,1,1,1,1
117,3,27R,G1,HR_057,HR_006,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,4.96,-,0,1,0,0,1,,,1,1,0,0
118,3,28L,G1,HR_121,HR_139,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,6.45,-,2,3,5,5,5,2.5,12.5,1,1,1,1
118,3,28R,G1,HR_090,HR_103,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,10.76,-,2,0,7,8,2,3.5,7,1,1,1,1
119,3,29L,G2,HR_157,HR_095,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,,,,5.75,X,1,0,2,3,1,2,2,1,1,1,1
119,3,29R,G2,HR_164,HR_005,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,2023-05-05,2023-04-05,,,,11.76,X,6,2,10,22,8,1.666666667,13.33333333,1,1,1,1
120,3,30L,G2,HR_141,HR_015,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,5.06,X,1,2,4,6,3,4,12,1,1,1,1
120,3,30R,G2,HR_008,HR_042,2,TRUE,2022-11-10,2022-11-13,2023-05-04,175,172,2023-05-04,0,,2023-05-04,1,,,4.44,X,0,1,0,0,1,,,1,1,0,0
121,3,31L,G2,HR_064,HR_190,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,8.66,X,1,2,3,7,3,3,9,1,1,1,1
121,3,31R,G2,HR_160,HR_079,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-04-20,1,,,7.97,X,3,0,0,12,3,0,0,1,1,1,0
122,3,32L,G2,HR_133,HR_161,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,2.61,X,2,0,4,4,2,2,4,1,1,1,1
122,3,32R,G2,HR_034,HR_112,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,6.49,X,1,3,1,2,4,1,4,1,1,1,1
123,3,33L,G2,HR_155,HR_047,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,6.29,X,2,1,4,4,3,2,6,1,1,1,1
123,3,33R,G2,HR_180,HR_036,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,5.2,X,1,1,3,3,2,3,6,1,1,1,1
124,3,34L,G2,HR_180,HR_179,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,12.4,X,4,2,21,23,6,5.25,31.5,1,1,1,1
124,3,34R,G1,HR_195,HR_104,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,9.82,-,0,4,0,0,4,,,1,1,0,0
125,3,35L,G2,HR_164,HR_201,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,8.55,X,2,0,4,8,2,2,4,1,1,1,1
125,3,35R,G1,HR_175,HR_164,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-20,,,,,-,3,2,14,15,5,4.666666667,23.33333333,1,1,1,1
126,3,36L,G1,HR_057,HR_147,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,2023-04-20,,,,22.4,-,7,2,12,21,9,1.714285714,15.42857143,1,1,1,1
126,3,36R,G1,HR_006,HR_162,1,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,1.2,-,0,3,0,0,3,,,0,1,0,0
127,3,37L,G2,HR_062,HR_116,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,,X,1,2,6,6,3,6,18,1,1,1,1
127,3,37R,G1,HR_131,HR_046,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,3.2,-,0,2,0,0,2,,,1,1,0,0
128,3,38L,G1,HR_088,HR_014,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,10.22,-,2,3,1,5,5,0.5,2.5,1,1,1,1
128,3,38R,G1,HR_095,HR_020,3,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,1.51,-,0,1,0,0,1,,,0,1,0,0
129,3,39L,G1,HR_057,HR_147,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,,,,,8.07,-,0,3,0,0,3,,,1,1,0,0
129,3,39R,G1,HR_110,HR_032,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,10.55,-,3,3,14,18,6,4.666666667,28,1,1,1,1
130,3,40L,G2,HR_160,HR_173,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,,,,23.27,X,6,2,10,19,8,1.666666667,13.33333333,1,1,1,1
130,3,40R,G2,HR_027,HR_119,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,,,,7.65,X,0,6,0,0,6,,,1,1,0,0
131,3,41L,G1,HR_059,HR_166,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,1,,,89.81,-,13,4,23,30,17,1.769230769,30.07692308,1,1,1,1
131,3,41R,G1,HR_110,HR_037,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,1.93,-,0,1,0,0,1,,,1,1,0,0
132,3,42L,G1,HR_066,HR_078,2,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-17,42,,2023-04-20,5,1,,,-,35,5,76,161,40,2.171428571,86.85714286,1,1,1,1
132,3,42R,G2,HR_200,HR_153,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,,,,,X,4,3,18,25,7,4.5,31.5,1,1,1,1
133,3,43L,G2,HR_195,HR_068,1,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,2023-05-04,2,,,32.3,X,6,6,15,26,12,2.5,30,1,1,1,1
133,3,43R,G2,HR_180,HR_023,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,24.08,X,4,2,16,18,6,4,24,1,1,1,1
134,3,44L,G2,HR_115,HR_026,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,3,,,48.22,X,11,6,23,28,17,2.090909091,35.54545455,1,1,1,1
134,3,44R,G1,HR_006,HR_142,1,TRUE,2022-11-10,2022-11-13,2023-03-23,133,130,2023-04-05,13,,2023-03-23,,,,,-,1,5,0,2,6,0,0,1,1,1,0
135,3,45R,G2,HR_090,HR_126,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,10.37,X,0,2,0,0,2,,,1,1,0,0
136,4,1L,G2,HR_069,HR_108,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,,,,25.52,X,7,2,16,16,9,2.285714286,20.57142857,1,1,1,1
