Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes,latitude,longitude
4,2,4R,G1,BB_169,BB_181,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,2023-05-24,2023-03-15,,0,,25-May,,38.31514,-123.06908
5,2,5L,G2,BB_213,BB_132,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5L,G2,BB_213,BB_132,2,FALSE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,2023-05-10,,,,,,,38.31514,-123.06908
5,2,5L,G2,BB_213,BB_132,3,TRUE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-02-15,2023-03-01,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,,2023-02-15,,0,,25-May,,38.31514,-123.06908
5,2,5L,G2,BB_213,BB_132,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5L,G2,BB_213,BB_132,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5R,G1,BB_173,BB_044,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5R,G1,BB_173,BB_044,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,,2023-04-11,2023-04-27,,,,,2023-03-15,,0,,7-Jun,,38.31514,-123.06908
5,2,5R,G1,BB_173,BB_044,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5R,G1,BB_173,BB_044,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
5,2,5R,G1,BB_173,BB_044,5,FALSE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-11,13,,,,2023-03-29,2023-04-11,,,,,,,,,,,,38.31514,-123.06908
6,2,6L,G1,BB_142,BB_150,1,FALSE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,2023-03-15,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6L,G1,BB_142,BB_150,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6L,G1,BB_142,BB_150,3,FALSE,2022-10-03,2022-10-06,2023-02-15,135,132,2023-03-29,42,2023-02-15,2023-03-01,2023-03-15,2023-03-29,,,,,,,2023-02-15,,,,,,38.31514,-123.06908
6,2,6L,G1,BB_142,BB_150,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6L,G1,BB_142,BB_150,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,,,2023-03-15,2023-03-29,2023-04-11,2023-04-27,,,,,2023-03-15,,0,,7-Jun,,38.31514,-123.06908
6,2,6R,G2,BB_174,BB_002,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6R,G2,BB_174,BB_002,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6R,G2,BB_174,BB_002,3,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,,2023-03-01,2023-03-15,,,2023-04-27,,,,,2023-03-15,,0,,7-Jun,,38.31514,-123.06908
6,2,6R,G2,BB_174,BB_002,4,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
6,2,6R,G2,BB_174,BB_002,5,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31514,-123.06908
7,3,7L,G2,BB_162,BB_154,1,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7L,G2,BB_162,BB_154,2,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
7,3,7L,G2,BB_162,BB_154,3,FALSE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,,,,,,,38.31512,-123.06909
