Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,latitude,longitude,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
302,101,302R,G2,BB_005,BB_166,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,26.51,38.31353,-123.06926,X,0,0,0,0,0,0,0,1,0,0
303,101,303L,G2,BB_142,BB_150,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-29,,,,6.6,38.31353,-123.06926,X,1,1,3,3,2,3,6,1,1,1
303,101,303R,G1,BB_130,BB_007,3,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-02,,,,,38.31353,-123.06926,-,3,0,1,5,3,0.3333333333,1,1,1,1
304,102,304L,G1,BB_011,BB_215,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,,,,,34.83,38.31343,-123.06924,-,0,0,0,0,0,0,0,1,0,0
304,102,304R,G1,BB_099,BB_061,3,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-11,43,2023-04-27,2023-05-11,,,,2023-03-29,1,,,,38.31343,-123.06924,-,0,0,0,0,0,0,0,1,0,0
305,102,305L,G2,BB_091,BB_098,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,10.6,38.31343,-123.06924,X,1,1,0,0,2,0,0,1,1,0
306,102,306R,G2,BB_167,BB_114,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,,2023-05-11,,,2023-05-11,2023-05-11,1,,,194.56,38.31343,-123.06924,X,5,0,22,23,5,4.4,22,1,1,1
307,103,307L,G1,BB_100,BB_113,4,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-25,84,2023-04-27,2023-05-11,2023-05-25,,,"3/2/2023,3/15",3,1,,,38.31345,-123.06918,-,3,7,9,12,10,3,30,1,1,1
308,103,308L,G1,BB_196,BB_186,3,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,,38.31345,-123.06918,-,0,0,0,0,0,0,0,1,0,0
308,103,308R,G2,BB_028,BB_209,4,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-05-11,70,2023-04-27,2023-05-11,,,,"3/2/2023,3/15",1,,,87.73,38.31345,-123.06918,X,2,0,7,9,2,3.5,7,1,1,1
309,103,309L,G2,BB_115,BB_020,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,14.88,38.31345,-123.06918,X,0,3,0,0,3,0,0,1,1,0
309,103,309R,G2,BB_038,BB_149,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,,2023-05-11,,,,2023-03-15,,,,302.65,38.31345,-123.06918,X,4,0,8,8,4,2,8,1,1,1
310,104,310L,G1,BB_057,BB_200,2,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,371.81,38.31341,-123.06912,-,14,0,36,41,14,2.571428571,36,1,1,1
311,104,311L,G1,BB_215,BB_148,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-13,56,,,,,,2023-02-16,,,,34.82,38.31341,-123.06912,-,0,1,0,0,1,0,0,1,1,0
312,104,312L,G1,BB_213,BB_204,5,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,"3/2,3/15",,,,158.26,38.31341,-123.06912,-,5,1,33,33,6,6.6,39.6,1,1,1
312,104,312R,G2,BB_162,BB_080,3,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,50.41,38.31341,-123.06912,X,0,1,0,0,1,0,0,1,1,0
313,105,313L,G1,BB_174,BB_068,2,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-05-25,98,2023-04-27,2023-05-11,2023-05-25,,,2023-02-16,8,1,,,38.31337,-123.06906,-,21,0,153,158,21,7.285714286,153,1,1,1
313,105,313R,G2,BB_198,BB_045,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,16.33,38.31337,-123.06906,X,0,0,0,0,0,0,0,1,0,0
314,105,314L,G1,BB_028,BB_109,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-15,,,,99.64,38.31337,-123.06906,-,3,1,17,22,4,5.666666667,22.66666667,1,1,1
315,105,315L,G1,BB_107,BB_123,3,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,69.12,38.31337,-123.06906,-,2,1,9,9,3,4.5,13.5,1,1,1
316,106,316L,G1,BB_122,BB_126,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,2023-05-25,2023-03-15,,,,121.54,38.3134,-123.06904,-,2,0,5,6,2,2.5,5,1,1,1
316,106,316R,G1,BB_038,BB_042,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,,38.3134,-123.06904,-,0,0,0,0,0,0,0,1,0,0
317,106,317L,G2,BB_202,BB_018,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-04-27,2023-05-11,,,,2023-03-15,1,,,,38.3134,-123.06904,X,7,0,31,31,7,4.428571429,31,1,1,1
317,106,317R,G1,BB_023,BB_206,4,TRUE,2022-10-03,2022-10-06,2023-05-11,220,217,2023-05-11,0,,2023-05-11,,,,,,,,,38.3134,-123.06904,-,0,0,0,0,0,0,0,1,0,0
319,107,319L,G1,BB_051,BB_105,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,"3/15 , 3/29",,,,48.39,38.31355,-123.06918,-,0,0,0,0,0,0,0,1,0,0
319,107,319R,G1,BB_015,BB_218,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,,38.31355,-123.06918,-,0,0,0,0,0,0,0,1,0,0
320,107,320L,G1,BB_169,BB_160,4,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-13,56,,,,,,2023-02-16,,,,,38.31355,-123.06918,-,0,0,0,0,0,0,0,1,0,0
320,107,320R,G2,BB_015,BB_111,3,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,2023-03-15,,,,,38.31355,-123.06918,X,0,0,0,0,0,0,0,1,0,0
321,107,321L,G1,BB_038,BB_216,2,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-15,,,,109.27,38.31355,-123.06918,-,4,0,9,11,4,2.25,9,1,1,1
321,107,321R,G1,BB_125,BB_024,3,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,2023-04-13,,,,,38.31355,-123.06918,-,2,0,13,13,2,6.5,13,1,1,1
322,108,322L,G1,BB_144,BB_030,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,40.21,38.31358,-123.06918,-,1,1,2,2,2,2,4,1,1,1
