Sequence,Location,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,latitude,longitude,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
249,83,249L,G1,BB_100,BB_031,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-15,,,,34.12,38.31412,-123.06958,-,0,0,0,0,0,0,0,1,0,0
249,83,249R,G2,BB_196,BB_089,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-29,14,,,,,,2023-03-29,,,,17.23,38.31412,-123.06958,X,1,2,0,0,3,0,0,1,1,0
250,84,250R,G1,BB_217,BB_205A,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,111.44,38.3141,-123.0696,-,2,3,15,15,5,7.5,37.5,1,1,1
251,84,251L,G2,BB_175,BB_104,4,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,,,,,,2023-04-13,,,,8.21,38.3141,-123.0696,X,2,1,7,7,3,3.5,10.5,1,1,1
251,84,251R,G1,BB_107,BB_179,5,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-03-29,0,,,,,,,,,,6.21,38.3141,-123.0696,-,0,0,0,0,0,0,0,1,0,0
252,84,252L,G1,BB_182,BB_103,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,36.82,38.3141,-123.0696,-,0,1,0,0,1,0,0,1,1,0
253,85,253R,G1,BB_188,BB_009,1,TRUE,2022-10-03,2022-10-06,2023-04-27,206,203,2023-04-27,0,2023-04-27,,,,,2023-04-27,,,,,38.31403,-123.06953,-,0,0,0,0,0,0,0,1,0,0
256,86,256L,G1,BB_015,BB_111,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,,,,,21.99,38.31403,-123.06956,-,0,0,0,0,0,0,0,1,0,0
256,86,256R,G2,BB_176,BB_059,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-11,57,2023-04-27,2023-05-11,,,,2023-04-27,,,,95.31,38.31403,-123.06956,X,0,0,0,0,0,0,0,1,0,0
257,86,257R,G1,BB_142,BB_150,3,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,,,,,,2023-04-13,,,,8.36,38.31403,-123.06956,-,1,0,8,8,1,8,8,1,1,1
258,86,258L,G1,BB_028,BB_083,1,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-03-29,0,,,,,,2023-03-29,,,,,38.31403,-123.06956,-,0,0,0,0,0,0,0,1,0,0
259,87,259L,G2,BB_075,BB_164,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,68.37,38.31396,-123.06951,X,2,1,6,13,3,3,9,1,1,1
260,87,260L,G1,BB_194,BB_214,1,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-03-15,0,,,,,,2023-03-15,,,,,38.31396,-123.06951,-,0,0,0,0,0,0,0,1,0,0
260,87,260R,G1,BB_065,BB_133,3,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,"3/2/2023,3/15",,,,13.28,38.31396,-123.06951,-,0,0,0,0,0,0,0,1,0,0
261,87,261L,G2,BB_217,BB_054,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,,38.31396,-123.06951,X,0,0,0,0,0,0,0,1,0,0
263,88,263L,G1,BB_217,BB_016,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-13,29,,,,,,2023-03-29,,,,31.75,38.31395,-123.06953,-,2,0,2,3,2,1,2,1,1,1
266,89,266R,G2,BB_038,BB_149,3,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,,,,2023-06-08,2023-04-13,,,,11.02,38.31392,-123.06953,X,1,0,5,5,1,5,5,1,1,1
268,90,268L,G2,BB_125,BB_024,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-15,,,,107.32,38.3139,-123.06945,X,7,1,29,33,8,4.142857143,33.14285714,1,1,1
268,90,268R,G1,BB_091,BB_139,4,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,,,,,2023-03-29,,,,,38.3139,-123.06945,-,0,0,0,0,0,0,0,1,0,0
269,90,269L,G2,BB_065,BB_133,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,"3/2/2023,3/15",,,,169.91,38.3139,-123.06945,X,8,0,41,43,8,5.125,41,1,1,1
269,90,269R,G1,BB_038,BB_042,4,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,"3/2/2023,3/15",,,,,38.3139,-123.06945,-,3,1,13,13,4,4.333333333,17.33333333,1,1,1
270,90,270L,G2,BB_217,BB_205A,3,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,,,,,2023-05-25,,,,,17.62,38.3139,-123.06945,X,3,0,8,8,3,2.666666667,8,1,1,1
271,91,271L,G2,BB_065,BB_013,4,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,89.09,38.31388,-123.06945,X,7,0,19,23,7,2.714285714,19,1,1,1
271,91,271R,G1,BB_182,BB_021,2,TRUE,2022-10-03,2022-10-06,2023-04-13,192,189,2023-04-13,0,,,,,,,,,,,38.31388,-123.06945,-,2,0,0,2,2,0,0,1,1,0
272,91,272L,G1,BB_038,BB_149,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,2023-03-02,,,,107.14,38.31388,-123.06945,-,3,0,16,17,3,5.333333333,16,1,1,1
272,91,272R,G1,BB_171,BB_039,2,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,"3/2/2023, 3/15",,,,100.49,38.31388,-123.06945,-,1,0,0,0,1,0,0,1,1,0
273,91,273L,G1,BB_028,BB_209,2,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-13,42,,,,,,,,,,16.38,38.31388,-123.06945,-,0,0,0,0,0,0,0,1,0,0
273,91,273R,G1,BB_213,BB_204,5,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-04-27,,,,23.06,38.31388,-123.06945,-,1,0,1,3,1,1,1,1,1,1
274,92,274L,G1,BB_141,BB_003,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,36.71,38.31383,-123.06949,-,0,0,0,0,0,0,0,1,0,0
274,92,274R,G2,BB_026,BB_070,4,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-29,,,,26.04,38.31383,-123.06949,X,1,0,7,7,1,7,7,1,1,1
275,92,275L,G1,BB_177,BB_134,1,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-02,,,,22.53,38.31383,-123.06949,-,0,0,0,0,0,0,0,1,0,0
276,92,276L,G1,BB_162,BB_080,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,110.42,38.31383,-123.06949,-,5,0,3,3,5,0.6,3,1,1,1
276,92,276R,G1,BB_099,BB_061,4,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,19.8,38.31383,-123.06949,-,1,0,0,0,1,0,0,1,1,0
277,93,277L,G1,BB_038,BB_216,2,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,,38.31384,-123.06947,-,0,0,0,0,0,0,0,1,0,0
277,93,277R,G2,BB_107,BB_179,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-03-15,27,,,,,,2023-02-16,,,,,38.31384,-123.06947,X,0,0,0,0,0,0,0,1,0,0
278,93,278L,G2,BB_198,BB_045,2,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,,,,,67.67,38.31384,-123.06947,X,1,0,6,6,1,6,6,1,1,1
278,93,278R,G1,BB_197,BB_060,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,63.2,38.31384,-123.06947,-,0,0,0,0,0,0,0,1,0,0
279,93,279L,G1,BB_167,BB_110,4,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-03-29,,,,57.66,38.31384,-123.06947,-,0,0,0,0,0,0,0,1,0,0
279,93,279R,G1,BB_194,BB_214,4,TRUE,2022-10-03,2022-10-06,,,,,,,,,,,,,,,,38.31384,-123.06947,-,0,0,0,0,0,0,0,0,0,0
281,94,281L,G1,BB_202,BB_018,3,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-03-29,,,,,38.31378,-123.06947,-,0,0,0,0,0,0,0,1,0,0
281,94,281R,G1,BB_130,BB_048,5,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,,,,,,2023-03-29,,,,,38.31378,-123.06947,-,0,0,0,0,0,0,0,1,0,0
283,95,283L,G1,BB_175,BB_050,2,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,2023-05-25,2023-03-02,,,,94.39,38.31374,-123.06946,-,3,0,6,10,3,2,6,1,1,1
284,95,284L,G1,BB_026,BB_053,1,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-03-15,27,,,,,,2023-02-16,,,,,38.31374,-123.06946,-,1,0,7,12,1,7,7,1,1,1
285,95,285R,G1,BB_169,BB_181,5,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,2023-04-27,,,,,38.31374,-123.06946,-,0,0,0,0,0,0,0,1,0,0
