Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FD_01,FD_02,FD_03,FD_04,FD_05,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
4,1,4R,G2,AC_089,AC_032,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
4,1,4R,G2,AC_089,AC_032,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
5,1,5L,G1,AC_091,AC_204,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,,,,,,
5,1,5L,G1,AC_091,AC_204,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
5,1,5L,G1,AC_091,AC_204,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
5,1,5L,G1,AC_091,AC_204,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
5,1,5L,G1,AC_091,AC_204,5,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
5,1,5R,G1,AC_054,AC_119,1,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,2023-05-12,,,,,,
5,1,5R,G1,AC_054,AC_119,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,,
5,1,5R,G1,AC_054,AC_119,3,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-05-12,,2,,2023-06-22,
5,1,5R,G1,AC_054,AC_119,4,FALSE,2022-10-17,2022-10-21,,,2023-05-12,,,2023-05-12,207,203,2023-05-12,0,,,,,,,
5,1,5R,G1,AC_054,AC_119,5,FALSE,2022-10-17,2022-10-21,,,2023-05-12,2023-05-26,,2023-05-12,207,203,2023-05-26,14,,,,,,,
6,1,6L,G2,AC_159,AC_094,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
6,1,6L,G2,AC_159,AC_094,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,,,,2023-04-28,193,189,2023-04-28,0,,,,,,,
6,1,6L,G2,AC_159,AC_094,3,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,0,,2023-06-08,
6,1,6L,G2,AC_159,AC_094,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
6,1,6L,G2,AC_159,AC_094,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
6,1,6R,G1,AC_045,AC_123,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
6,1,6R,G1,AC_045,AC_123,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-22,
6,1,6R,G1,AC_045,AC_123,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
6,1,6R,G1,AC_045,AC_123,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
6,1,6R,G1,AC_045,AC_123,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7L,G1,AC_124,AC_030,1,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
7,1,7L,G1,AC_124,AC_030,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7L,G1,AC_124,AC_030,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7L,G1,AC_124,AC_030,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,2023-05-26,,,,,,
7,1,7L,G1,AC_124,AC_030,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7R,G2,AC_045,AC_151,1,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,2023-05-26,,2023-04-28,193,189,2023-05-26,28,,2023-04-28,,2,,2023-06-22,
7,1,7R,G2,AC_045,AC_151,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
7,1,7R,G2,AC_045,AC_151,3,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7R,G2,AC_045,AC_151,4,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
7,1,7R,G2,AC_045,AC_151,5,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
8,1,8L,G2,AC_007,AC_147,1,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2023-06-08,
8,1,8L,G2,AC_007,AC_147,2,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
8,1,8L,G2,AC_007,AC_147,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
8,1,8L,G2,AC_007,AC_147,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,,,,,,
8,1,8L,G2,AC_007,AC_147,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
8,1,8R,G1,AC_007,AC_147,1,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
8,1,8R,G1,AC_007,AC_147,2,TRUE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,2023-05-12,,,,2023-06-08,
8,1,8R,G1,AC_007,AC_147,3,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
8,1,8R,G1,AC_007,AC_147,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,,,,,
8,1,8R,G1,AC_007,AC_147,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
9,1,9L,G1,AC_064,AC_086,1,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,2023-05-12,2023-04-28,,,,,
9,1,9L,G1,AC_064,AC_086,2,FALSE,2022-10-17,2022-10-21,,,,,,,,,,,,,,,,,
9,1,9L,G1,AC_064,AC_086,3,TRUE,2022-10-17,2022-10-21,,,,2023-05-26,,2023-05-26,221,217,2023-05-26,0,,,,0,,2023-06-08,
9,1,9L,G1,AC_064,AC_086,4,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
9,1,9L,G1,AC_064,AC_086,5,FALSE,2022-10-17,2022-10-21,,2023-04-28,2023-05-12,,,2023-04-28,193,189,2023-05-12,14,,,,,,,
