Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
129,4,22L,G1,AC_156,AC_005,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,2023-04-28,,,,2.96,-,3,0,8,8,3,2.666666667,8,1,1,1
129,4,22R,G2,AC_107,AC_172,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,,,,19.11,X,5,0,12,17,5,2.4,12,1,1,1
130,4,23R,G1,AC_169,AC_120,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-26,28,,,,1,,21.95,-,6,0,7,11,6,1.166666667,7,1,1,1
131,4,24L,G1,AC_045,AC_123,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,,,,18.66,-,4,1,4,11,5,1,5,1,1,1
132,4,25R,G1,AC_107,AC_130,3,TRUE,2022-10-17,2022-10-21,2023-05-26,221,217,2023-05-26,0,,,,,,13.95,-,4,0,8,11,4,2,8,1,1,1
133,4,26L,G1,AC_124,AC_100,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,2023-04-28,,,,2.66,-,3,0,7,10,3,2.333333333,7,1,1,1
133,4,26R,G2,AC_198,AC_051,2,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,2.68,X,1,1,2,3,2,2,4,1,1,1
134,4,27L,G1,AC_172,AC_208,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,7.11,-,3,0,7,8,3,2.333333333,7,1,1,1
134,4,27R,G2,AC_172,AC_040,5,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-04-28,14,,2023-04-14,,,,7.31,X,3,1,8,12,4,2.666666667,10.66666667,1,1,1
135,4,28L,G1,AC_207,AC_070,2,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,9.22,-,0,2,0,0,2,0,0,0,1,0
135,4,28R,G1,AC_172,AC_040,3,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,,,,,,3.78,-,2,1,2,2,3,1,3,1,1,1
136,4,29L,G1,AC_170,AC_203,3,TRUE,2022-10-17,2022-10-21,,,,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0
136,4,29R,G1,AC_094,AC_216,5,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-04-14,0,,,,,,8.13,-,1,1,1,1,2,1,2,1,1,1
137,4,30L,G2,AC_159,AC_143,5,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,,X,0,0,0,0,0,0,0,1,0,0
137,4,30R,G1,AC_091,AC_204,4,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,5.05,-,0,4,0,0,4,0,0,1,1,0
138,4,31L,G2,AC_125,AC_095,1,TRUE,2022-10-17,2022-10-21,2023-04-28,193,189,2023-04-28,0,,,,,,,X,2,0,6,7,2,3,6,1,1,1
138,4,31R,G2,AC_008,AC_068,1,TRUE,2022-10-17,2022-10-21,2023-05-26,221,217,2023-05-26,0,,,,,,14.6,X,0,2,0,0,2,0,0,1,1,0
139,4,32L,G2,AC_195,AC_179,5,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-28,,,,,X,5,3,2,7,8,0.4,3.2,1,1,1
139,4,32R,G2,AC_015,AC_190,1,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-05-12,28,,2023-04-14,,,,6.35,X,2,1,5,6,3,2.5,7.5,1,1,1
140,4,33L,G2,AC_170,AC_118,3,TRUE,2022-10-17,2022-10-21,2023-04-14,179,175,2023-04-28,14,,,,,,4.33,X,1,2,2,4,3,2,6,1,1,1
