Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
4,1,4R,G2,HR_155,HR_121,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,,,,,,
4,1,4R,G2,HR_155,HR_121,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,16-May,
4,1,4R,G2,HR_155,HR_121,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,,,,,,
4,1,4R,G2,HR_155,HR_121,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
5,1,5L,G1,HR_006,HR_162,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
5,1,5L,G1,HR_006,HR_162,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
5,1,5L,G1,HR_006,HR_162,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
5,1,5L,G1,HR_006,HR_162,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
5,1,5L,G1,HR_006,HR_162,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,2023-05-05,,,,,,
5,1,5R,G1,HR_062,HR_134,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
5,1,5R,G1,HR_062,HR_134,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
5,1,5R,G1,HR_062,HR_134,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
5,1,5R,G1,HR_062,HR_134,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,2023-04-20,,,,1-Jun,
5,1,5R,G1,HR_062,HR_134,5,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,2023-04-20,2023-05-04,,,2023-04-05,,,,,
6,1,6L,G2,HR_164,HR_041,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,16-May,
6,1,6L,G2,HR_164,HR_041,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
6,1,6L,G2,HR_164,HR_041,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
6,1,6L,G2,HR_164,HR_041,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,,,,,,
6,1,6L,G2,HR_164,HR_041,5,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,2023-05-05,,,,,,
6,1,6R,G2,HR_095,HR_124,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
6,1,6R,G2,HR_095,HR_124,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
6,1,6R,G2,HR_095,HR_124,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,1-Jun,
6,1,6R,G2,HR_095,HR_124,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,2023-05-05,,,,,,
6,1,6R,G2,HR_095,HR_124,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
7,1,7L,G1,HR_006,HR_162,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
7,1,7L,G1,HR_006,HR_162,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,1-Jun,
7,1,7L,G1,HR_006,HR_162,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
7,1,7L,G1,HR_006,HR_162,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
7,1,7L,G1,HR_006,HR_162,5,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,,fitness chosen remotely
7,1,7R,G1,HR_180,HR_179,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
7,1,7R,G1,HR_180,HR_179,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,,,,,,
7,1,7R,G1,HR_180,HR_179,3,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,,,,,16-May,
7,1,7R,G1,HR_180,HR_179,4,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,2023-04-05,,,,,
7,1,7R,G1,HR_180,HR_179,5,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,,,,,,
8,1,8L,G1,HR_175,HR_196,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
8,1,8L,G1,HR_175,HR_196,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-05-04,29,,2023-04-05,2023-04-20,2023-05-04,,2023-05-05,,,,,,
8,1,8L,G1,HR_175,HR_196,3,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-05,0,,2023-04-05,,,,,2023-04-05,,,,16-May,
8,1,8L,G1,HR_175,HR_196,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
8,1,8L,G1,HR_175,HR_196,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
8,1,8R,G1,HR_164,HR_005,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,16-May,
8,1,8R,G1,HR_164,HR_005,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
8,1,8R,G1,HR_164,HR_005,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
8,1,8R,G1,HR_164,HR_005,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
8,1,8R,G1,HR_164,HR_005,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
9,1,9L,G1,HR_157,HR_095,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9L,G1,HR_157,HR_095,2,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
9,1,9L,G1,HR_157,HR_095,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9L,G1,HR_157,HR_095,4,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
9,1,9L,G1,HR_157,HR_095,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9R,G2,HR_175,HR_196,1,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,1-Jun,fitness chosen remotely
9,1,9R,G2,HR_175,HR_196,2,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9R,G2,HR_175,HR_196,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9R,G2,HR_175,HR_196,4,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
9,1,9R,G2,HR_175,HR_196,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
10,1,10L,G1,HR_064,HR_019,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,,,,,,
10,1,10L,G1,HR_064,HR_019,2,FALSE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-05,,,,,"photo taken 4/5, marked 6/22"
10,1,10L,G1,HR_064,HR_019,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
10,1,10L,G1,HR_064,HR_019,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-05-04,14,,,2023-04-20,2023-05-04,,,,,,,,
10,1,10L,G1,HR_064,HR_019,5,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,2023-04-20,,,,1-Jun,
10,1,10R,G2,HR_115,HR_111,1,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
10,1,10R,G2,HR_115,HR_111,2,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
10,1,10R,G2,HR_115,HR_111,3,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
10,1,10R,G2,HR_115,HR_111,4,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2023-04-20,15,,2023-04-05,2023-04-20,,,,2023-04-20,,,,1-Jun,
10,1,10R,G2,HR_115,HR_111,5,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
11,1,11L,G1,HR_155,HR_047,1,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
11,1,11L,G1,HR_155,HR_047,2,TRUE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,,,,,,,
11,1,11L,G1,HR_155,HR_047,3,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
11,1,11L,G1,HR_155,HR_047,4,FALSE,2022-11-10,2022-11-13,2023-04-20,161,158,2023-04-20,0,,,2023-04-20,,,2023-05-05,2023-04-20,,,,14-Jun,
11,1,11L,G1,HR_155,HR_047,5,FALSE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,,
11,1,11R,G1,HR_157,HR_095,1,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,,,,,,16-May,
