Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_01,FD_02,FD_03,FD_04,FD_05,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,Skeleton,Notes
6,1,6L,G1,BO_130,BO_161,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6L,G1,BO_130,BO_161,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6L,G1,BO_130,BO_161,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6R,G2,BO_185,BO_071,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6R,G2,BO_185,BO_071,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6R,G2,BO_185,BO_071,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6R,G2,BO_185,BO_071,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
6,1,6R,G2,BO_185,BO_071,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7L,G1,BO_065,BO_115,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7L,G1,BO_065,BO_115,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7L,G1,BO_065,BO_115,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7L,G1,BO_065,BO_115,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7L,G1,BO_065,BO_115,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7R,G2,BO_162,BO_108,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7R,G2,BO_162,BO_108,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7R,G2,BO_162,BO_108,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7R,G2,BO_162,BO_108,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
7,1,7R,G2,BO_162,BO_108,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8L,G1,BO_168,BO_175,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8L,G1,BO_168,BO_175,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8L,G1,BO_168,BO_175,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8L,G1,BO_168,BO_175,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8L,G1,BO_168,BO_175,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8R,G1,BO_153,BO_157,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8R,G1,BO_153,BO_157,2,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8R,G1,BO_153,BO_157,3,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8R,G1,BO_153,BO_157,4,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
8,1,8R,G1,BO_153,BO_157,5,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
9,1,9L,G1,BO_039,BO_200,1,FALSE,2022-10-31,2022-11-03,,,,,,,,,,,,,,,,,
