Sequence,Transect,SegPos,Gen,Donor,Recipient,Plant_ID,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,total_est_seed_production,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
56,2,16R,G1,BO_130,BO_174,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,1,,,,-,1,1,3,3,2,3,6,1,1,1
58,2,18R,G1,BO_163,BO_144,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,,2023-05-05,1,,0,,-,5,0,16,16,5,3.2,16,1,1,1
60,2,20L,G1,BO_069,BO_043,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,0,,,7.38,-,3,0,0,2,3,0,0,1,1,0
60,2,20R,G2,BO_128,BO_060,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,5,,,40.32,X,11,1,23,31,12,2.090909091,25.09090909,1,1,1
61,2,21L,G1,BO_038,BO_137,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,,2023-04-21,0,,,,-,1,2,2,2,3,2,6,1,1,1
62,2,22L,G2,BO_199,BO_015,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,11.43,X,3,3,14,19,6,4.666666667,28,1,1,1
64,2,24R,G1,BO_183,BO_063,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,,,,-,5,0,27,32,5,5.4,27,1,1,1
66,2,26L,G1,BO_128,BO_044,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,,2023-05-17,,13,4,173.75,-,14,11,23,23,25,1.642857143,41.07142857,1,1,1
69,2,29L,G1,BO_187,BO_031,1,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,1,1,,,-,4,1,20,27,5,5,25,1,1,1
71,2,31L,G1,BO_187,BO_031,2,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,,-,0,1,0,0,1,0,0,0,1,0
71,2,31R,G2,BO_088,BO_169,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,2,,12.2,X,0,0,0,0,0,0,0,1,0,0
73,3,2R,G1,BO_199,BO_015,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,2,,22.34,-,0,0,0,0,0,0,0,1,0,0
75,3,4R,G1,BO_130,BO_174,2,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,10.4,-,0,2,0,0,2,0,0,1,1,0
76,3,5L,G1,BO_153,BO_177,5,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,,2023-04-21,1,1,,7.7,-,0,1,0,0,1,0,0,1,1,0
76,3,5R,G1,BO_189,BO_086,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,4,,25.15,-,1,0,1,1,1,1,1,1,1,1
77,3,6R,G1,BO_170,BO_111,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,71.88,-,5,0,6,7,5,1.2,6,1,1,1
83,3,12L,G2,BO_163,BO_072,3,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,,2023-05-17,,,,10.49,X,0,4,0,0,4,0,0,1,1,0
85,3,14L,G1,BO_168,BO_180,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,3,,,22.16,-,0,7,0,0,7,0,0,1,1,0
85,3,14R,G1,BO_170,BO_045,4,TRUE,2022-10-31,2022-11-03,,,,,,,,,,,23.6,-,3,1,8,9,4,2.666666667,10.66666667,0,1,1
86,3,15L,G2,BO_188,BO_154,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,,1,1,,6.74,X,1,1,1,1,2,1,2,1,1,1
87,3,16L,G2,BO_069,BO_201,4,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,3,2,,,X,0,1,0,0,1,0,0,1,1,0
106,4,9L,G1,BO_109,BO_095,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-15,2023-05-05,1,,,,-,0,0,0,0,0,0,0,1,0,0
107,4,10L,G1,BO_168,BO_180,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,1,,,,-,2,0,3,4,2,1.5,3,1,1,1
116,4,19L,G1,BO_194,BO_125,3,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,,2023-05-05,1,,,,-,1,1,1,2,2,1,2,1,1,1
124,4,27L,G1,BO_201,BO_199,1,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-01,15,,2023-05-17,,,1,35.57,-,5,1,12,22,6,2.4,14.4,1,1,1
126,5,2L,G1,BO_189,BO_126,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,,2023-05-05,1,,0,,-,3,2,13,13,5,4.333333333,21.66666667,1,1,1
127,5,3L,G2,BO_088,BO_050,1,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,,X,6,0,3,12,6,0.5,3,1,1,1
128,5,4R,G1,BO_198,BO_159,3,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,2023-04-21,0,,,4.25,-,1,0,3,5,1,3,3,1,1,1
129,5,5R,G2,BO_188,BO_052,5,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,2023-05-05,2,,,74.5,X,5,1,8,18,6,1.6,9.6,1,1,1
