Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated?,NOTES
7,BO_69,5,5,,
7,BO_72,7,7,,
7,BO_80,2,2,R,
7,BO_87,3,3,,
7,BO_94,1,1,,
7,BO_99,7,7,,
8,BO_100,2,2,,
8,BO_102,3,3,,
8,BO_116,5,5,,
8,BO_126,"1,3,4",4,R,
8,BO_134,7,7,,
8,BO_143,3,3,,
8,BO_144,5,5,,
8,BO_148,8,8,,
8,BO_15,3,3,,
8,BO_152,"5,6,4",6,R,
8,BO_154,6,6,,
8,BO_167,3,3,,
8,BO_169,1,1,,
8,BO_175,2,2,,
8,BO_176,1,1,,
8,BO_178,3,3,,
8,BO_18,6,6,,
8,BO_180,4,4,,
8,BO_184,1,1,,
8,BO_19,3,3,,
8,BO_190,3,3,,
8,BO_201,2,2,,
8,BO_21,"6,3,4",6,R,
8,BO_34,4,4,,
8,BO_37,6,6,,
8,BO_4,2,2,R,
8,BO_48,"1,6,8",1,R,
8,BO_54,8,8,,
8,BO_66,6,6,,
8,BO_88,1,1,,
8,BO_9,7,7,,
8,BO_91,2,2,,
9,BO_102,1,1,,
9,BO_106,6,6,,
9,BO_116,,3,,"*Never recorded, chosen from fruit envelope (plant 3 only)"
9,BO_123,7,7,,
9,BO_124,2,2,,
9,BO_125,8,8,,
9,BO_131,8,8,,
9,BO_135,7,7,,
9,BO_143,3,3,,
9,BO_146,5,5,,
9,BO_148,8,8,,
9,BO_154,2,2,,
9,BO_155,6,6,,
9,BO_158,,NA,,
9,BO_174,3,3,,
9,BO_19,,NA,,
9,BO_199,"2,7,4",7,R,
9,BO_21,"2,7,8",2,R,
9,BO_24,"1,5,3",3,R,
9,BO_34,7,7,,
9,BO_4,"1,3",3,R,
9,BO_47,,NA,,
9,BO_53,7,7,,
9,BO_70,4,4,,
9,BO_72,3,3,,
9,BO_88,5,5,,
9,BO_90,2,2,,
9,BO_94,6,6,,
9,BO_95,6,6,,
10,BO_120,,NA,,
10,BO_121,8,8,,
10,BO_126,"2,6,4",2,R,
10,BO_127,"2,3,7",7,R,
10,BO_140,4,4,,
10,BO_142,"1,7,8",1,R,
10,BO_145,2,2,,
10,BO_149,"5,6,3",5,R,
10,BO_157,5,5,,
10,BO_161,6,6,,
10,BO_164,,NA,,
10,BO_169,,5,,Never marked in field but fruit collected
10,BO_171,3,3,,
10,BO_178,3,3,,
10,BO_18,4,4,,
10,BO_184,5,5,,
10,BO_185,,NA,,
10,BO_189,"5,3,4",4,R,
10,BO_195,"6,4,8",4,R,
10,BO_198,8,8,,
10,BO_201,2,2,,
10,BO_27,6,6,,
10,BO_28,1,1,,
10,BO_31,5,5,,
10,BO_43,4,4,,
10,BO_44,6,6,,
10,BO_45,6,6,,
10,BO_52,2,2,,
10,BO_54,1,1,,
10,BO_55,4,4,,
10,BO_56,7,7,,
10,BO_63,8,8,,
10,BO_78,6,6,,
10,BO_80,"1,3,4",1,R,
10,BO_81,,NA,,
10,BO_85,2,2,,
10,BO_87,,NA,,
10,BO_89,2,2,,
10,BO_91,6,6,,
10,BO_98,,1,,Never marked in field but fruit collected
11,BO_100,,NA,,
11,BO_104,4,4,,
11,BO_105,4,4,,
11,BO_108,3,3,,
11,BO_115,1,1,,
11,BO_117,8,8,,
11,BO_118,6,6,,
11,BO_12,5,5,,
11,BO_122,2,2,,
11,BO_13,6,6,,
11,BO_130,"5,6,7",5,R,
11,BO_134,1,1,,
11,BO_137,"1,6,7",6,R,
11,BO_147,4,4,,
11,BO_15,6,6,,
11,BO_150,2,2,,
11,BO_152,"2,3,7",3,R,
11,BO_159,7,7,,
11,BO_17,,NA,,
11,BO_175,5,5,,
11,BO_176,6,6,,
11,BO_180,1,1,,
11,BO_182,"1,2",2,R,
11,BO_200,6,6,,
11,BO_22,5,5,,
11,BO_25,"6,3,8",8,R,
11,BO_32,1,1,,
11,BO_37,2,2,,
11,BO_46,5,5,,
11,BO_50,2,2,,
11,BO_51,2,2,,
11,BO_60,7,7,,
11,BO_61,1,1,,
11,BO_66,4,4,,
11,BO_67,7,7,,
11,BO_69,6,6,,
11,BO_71,4,4,,
11,BO_79,3,3,,
11,BO_82,"1,5,4",1,R,
11,BO_99,4,4,,
12,BO_1,8,8,,
12,BO_111,2,2,,
12,BO_114,8,8,,
12,BO_132,4,4,,
12,BO_139,,NA,,
12,BO_14,4,4,,
12,BO_141,1,1,,
12,BO_144,,2,,Never marked in field but fruit collected
12,BO_151,"2,3,4",2,R,
12,BO_153,7,7,,
12,BO_166,"1,6,4",1,R,
12,BO_167,6,6,,
12,BO_177,8,8,,
12,BO_186,2,2,,
12,BO_190,1,1,,
12,BO_191,4,4,,
12,BO_20,6,6,,
12,BO_29,2,2,,
12,BO_48,"6,4",4,R,
12,BO_8,1,1,,
12,BO_86,"5,7,8",8,R,
12,BO_9,3,3,,
12,BO_96,1,1,,
W1,BO_126,"5,8",NA,R,
W1,BO_127,,NA,R,
W1,BO_130,"1,2,4",NA,R,
W1,BO_137,"2,6,4",NA,R,
W1,BO_142,"5,2,6",NA,R,
W1,BO_149,,NA,R,
W1,BO_151,"6,3,8",NA,R,
W1,BO_152,"1,6,3",NA,R,
W1,BO_166,"1,6,4",NA,R,
W1,BO_182,"1,5,8",NA,R,
W1,BO_189,"1,6,7",NA,R,
W1,BO_195,3,NA,R,
W1,BO_199,"1,5,7",NA,R,
W1,BO_21,"5,3,4",NA,R,
W1,BO_24,"1,6,4",NA,R,
W1,BO_25,"5,6,3",NA,R,
W1,BO_4,"1,3,4",NA,R,
W1,BO_48,"6,3,4",NA,R,
