Transect,Recipient,ALL Fitness Plants,SINGLE Fitness Plant,Replicated,NOTES,,,
9,AC_197,"8,5,10",8,R,,,,
9,AC_204,"6,3,10",6,R,,,,
9,AC_205,1,1,,,,,
9,AC_212,10,10,,,,,
9,AC_216,"1,3,8",1,R,,,,
9,AC_218,"2,8,10",8,R,,,,
9,AC_30,9,9,,,,,
9,AC_34,"7,3,9",7,R,,,,
9,AC_55,"6,3,5",3,R,,,,
9,AC_57,,NA,,**No fitness plant ever selected?? Please review,,,
9,AC_64,2,2,,,,,
9,AC_75,6,6,,,,,
9,AC_83,7,7,,,,,
9,AC_89,2,2,,,,,
9,AC_90,10,10,,,,,
9,AC_95,10,10,,,,,
9,AC_96,10,10,,,,,
9,AC_99,"6,7,3",7,R,,,,
W1,AC_109,"1,3,4",NA,R,,,,
W1,AC_111,"2,6,4",NA,R,,,,
W1,AC_147,"6,3,4",NA,R,,,,
W1,AC_187,"5,6,4",NA,R,,,,
W1,AC_189,"5,3,8",NA,R,,,,
W1,AC_190,"5,2,8",NA,R,,,,
W1,AC_197,"3,7,8",NA,R,,,,
W1,AC_204,"5,3,4",NA,R,,,,
W1,AC_208,"1,7,8",NA,R,,,,
W1,AC_216,"1,6,8",NA,R,,,,
W1,AC_217,"2,7,8",NA,R,,,,
W1,AC_218,"5,3,4",NA,R,,,,
W1,AC_34,"1,2,6",NA,R,,,,
W1,AC_40,"6,7,4",NA,R,,,,
W1,AC_55,"1,4,8",NA,R,,,,
W1,AC_58,"6,3,7",NA,R,,,,
W1,AC_70,"5,6,4",NA,R,,,,
W1,AC_81,"5,2,8",NA,R,,,,
W1,AC_82,"2,6,3",NA,R,,,,
W1,AC_97,"6,7,8",NA,R,,,,
W1,AC_99,"3,7,4",NA,R,,,,
W2,AC_109,"5,4,8",NA,R,,,,
W2,AC_111,"1,5,4",NA,R,,,,
W2,AC_147,"1,2,6",NA,R,,,,
W2,AC_187,"3,4,8",NA,R,,,,
W2,AC_189,"2,4,8",NA,R,,,,
W2,AC_190,"1,7,4",NA,R,,,,
W2,AC_197,"5,6,7",NA,R,,,,
W2,AC_204,"5,2,8",NA,R,,,,
W2,AC_208,"6,3,7",NA,R,,,,
W2,AC_216,"1,6,3",NA,R,,,,
W2,AC_217,"5,6,8",NA,R,,,,
W2,AC_218,"1,5,7",NA,R,,,,
W2,AC_34,"5,6,3",NA,R,,,,
W2,AC_40,"5,6,7",NA,R,,,,
W2,AC_55,"6,3,7",NA,R,,,,
W2,AC_58,"1,2,3",NA,R,,,,
W2,AC_70,"2,7,4",NA,R,,,,
W2,AC_81,"1,2,8",NA,R,,,,
W2,AC_82,"5,2,4",NA,R,,,,
W2,AC_97,"1,7,4",NA,R,,,,
W2,AC_99,"2,6,7",NA,R,,,,
