Site: Angelo Coast 2021-22,,,,,,,,,,,
Block (1-3),Transect (1-9),Section (A/B),Sequence (1-321),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds plantable 2021,Number seeds per block
2,6,B,203,10,14,2,AC_177,AC_107,109,54,18
2,6,B,204,10,15,3,AC_8,AC_188,126,63,21
2,6,B,205,10,16,3,AC_8,AC_68,132,66,22
2,6,B,206,10,17,4,AC_89,AC_57,41,20,6.666666667
2,6,B,207,10,18,1,AC_002,AC_160,101,50,16.66666667
2,6,B,208,10,19,1,AC_179,AC_114,92,46,15.33333333
2,6,B,209,10,20,1,AC_002,AC_104,106,53,17.66666667
2,6,B,210,10,21,3,AC_102,AC_191,56,28,9.333333333
2,6,B,211,11,1,5,AC_186,AC_153,100,50,16.66666667
2,6,B,212,11,2,1,AC_007,AC_187,230,115,38.33333333
2,6,B,213,11,3,5,AC_124,AC_30,100,50,16.66666667
2,6,B,214,11,4,5,AC_186,AC_11,100,50,16.66666667
3,7,A,215,11,5,6,AC_160,AC_186,100,50,16.66666667
3,7,A,216,11,6,1,AC_007,AC_81,147,73,24.33333333
3,7,A,217,11,7,5,AC_96,AC_74,100,50,16.66666667
3,7,A,218,11,8,5,AC_216,AC_58,100,50,16.66666667
3,7,A,219,11,9,5,AC_124,AC_100,60,30,10
3,7,A,220,11,10,2,AC_177,AC_107,109,54,18
3,7,A,221,11,11,5,AC_96,AC_128,100,50,16.66666667
3,7,A,222,11,12,5,AC_103,AC_201,88,44,14.66666667
3,7,A,223,11,13,5,AC_172,AC_111,100,50,16.66666667
3,7,A,224,11,14,1,AC_002,AC_160,101,50,16.66666667
3,7,A,225,11,15,3,AC_159,AC_94,78,39,13
3,7,A,226,11,16,1,AC_179,AC_171,149,74,24.66666667
3,7,A,227,11,17,5,AC_71,AC_215,100,50,16.66666667
3,7,A,228,11,18,5,AC_64,AC_17,100,50,16.66666667
3,7,A,229,11,19,4,AC_94,AC_217,113,56,18.66666667
3,7,A,230,11,20,7,AC_169,AC_120,97,48,16
3,7,A,231,11,21,5,AC_186,AC_48,100,50,16.66666667
3,7,A,232,12,1,4,AC_89,AC_32,73,36,12
3,7,B,233,12,2,4,AC_97,AC_54,122,61,20.33333333
3,7,B,234,12,3,7,AC_107,AC_130,38,19,6.333333333
3,7,B,235,12,4,3,AC_170,AC_203,31,15,5
3,7,B,236,12,5,1,AC_002,AC_122,125,62,20.66666667
3,7,B,237,12,6,5,AC_165,AC_62,96,48,16
3,7,B,238,12,7,3,AC_8,AC_68,132,66,22
3,7,B,239,12,8,5,AC_54,AC_46,100,50,16.66666667
3,7,B,240,12,9,3,AC_159,AC_143,138,69,23
3,7,B,241,12,10,5,AC_172,AC_40,100,50,16.66666667
3,7,B,242,12,11,6,AC_195,AC_193,93,46,15.33333333
3,7,B,243,12,12,2,AC_125,AC_38,129,64,21.33333333
3,7,B,244,12,13,1,AC_002,AC_104,106,53,17.66666667
3,7,B,245,12,14,3,AC_15,AC_97,119,59,19.66666667
3,7,B,246,12,15,1,AC_198,AC_72,136,68,22.66666667
3,7,B,247,12,16,3,AC_102,AC_178,66,33,11
3,7,B,248,12,17,3,AC_47,AC_113,133,66,22
3,7,B,249,12,18,7,AC_107,AC_172,93,46,15.33333333
3,7,B,250,12,19,3,AC_15,AC_190,129,64,21.33333333
3,8,A,251,12,20,3,AC_68,AC_56,106,53,17.66666667
3,8,A,252,12,21,5,AC_96,AC_181,100,50,16.66666667
3,8,A,253,13,1,1,AC_179,AC_114,92,46,15.33333333
3,8,A,254,13,2,2,AC_177,AC_211,106,53,17.66666667
3,8,A,255,13,3,3,AC_8,AC_92,126,63,21
3,8,A,256,13,4,6,AC_195,AC_179,100,50,16.66666667
3,8,A,257,13,5,1,AC_156,AC_5,119,59,19.66666667
3,8,A,258,13,6,2,AC_061,AC_52,110,55,18.33333333
3,8,A,259,13,7,2,AC_039,AC_148,108,54,18
3,8,A,260,13,8,6,AC_52,AC_133,34,17,5.666666667
3,8,A,261,13,9,2,AC_061,AC_158,123,61,20.33333333
3,8,A,262,13,10,1,AC_198,AC_51,150,75,25
3,8,A,263,13,11,2,AC_207,AC_82,131,65,21.66666667
3,8,A,264,13,12,3,AC_161,AC_88,112,56,18.66666667
3,8,A,265,13,13,3,AC_68,AC_195,91,45,15
3,8,A,266,13,14,1,AC_179,AC_136,197,98,32.66666667
3,8,A,267,13,15,1,AC_198,AC_66,181,90,30
3,8,A,268,13,16,3,AC_102,AC_191,56,28,9.333333333
3,8,B,269,13,17,2,AC_207,AC_70,207,103,34.33333333
3,8,B,270,13,18,5,AC_103,AC_154,100,50,16.66666667
3,8,B,271,13,19,5,AC_165,AC_206,100,50,16.66666667
3,8,B,272,13,20,5,AC_172,AC_208,100,50,16.66666667
3,8,B,273,13,21,3,AC_159,AC_192,120,60,20
3,8,B,274,14,1,1,AC_156,AC_16,130,65,21.66666667
3,8,B,275,14,2,7,AC_168,AC_10,100,50,16.66666667
3,8,B,276,14,3,6,AC_160,AC_15,98,49,16.33333333
3,8,B,277,14,4,6,AC_52,AC_131,91,45,15
3,8,B,278,14,5,5,AC_64,AC_86,100,50,16.66666667
3,8,B,279,14,6,7,AC_168,AC_159,61,30,10
3,8,B,280,14,7,3,AC_161,AC_213,30,15,5
3,8,B,281,14,8,5,AC_103,AC_144,100,50,16.66666667
3,8,B,282,14,9,1,AC_150,AC_200,110,55,18.33333333
3,8,B,283,14,10,3,AC_170,AC_185,38,19,6.333333333
3,8,B,284,14,11,7,AC_169,AC_182,35,17,5.666666667
3,8,B,285,14,12,5,AC_165,AC_199,100,50,16.66666667
3,8,B,286,14,13,5,AC_124,AC_14,100,50,16.66666667
3,9,A,287,14,14,1,AC_156,AC_90,120,60,20
3,9,A,288,14,15,3,AC_8,AC_188,126,63,21
3,9,A,289,14,16,5,AC_64,AC_205,100,50,16.66666667
3,9,A,290,14,17,4,AC_91,AC_189,103,51,17
3,9,A,291,14,18,6,AC_52,AC_212,100,50,16.66666667
3,9,A,292,14,19,5,AC_186,AC_153,100,50,16.66666667
3,9,A,293,14,20,3,AC_170,AC_118,155,77,25.66666667
3,9,A,294,14,21,5,AC_216,AC_99,100,50,16.66666667
3,9,A,295,15,1,1,AC_007,AC_147,115,57,19
3,9,A,296,15,2,7,AC_45,AC_151,92,46,15.33333333
3,9,A,297,15,3,4,AC_94,AC_109,171,85,28.33333333
3,9,A,298,15,4,5,AC_54,AC_119,100,50,16.66666667
3,9,A,299,15,5,7,AC_169,AC_75,100,50,16.66666667
3,9,A,300,15,6,4,AC_97,AC_64,103,51,17
3,9,A,301,16,7,5,AC_186,AC_11,100,50,16.66666667
3,9,A,302,16,8,3,AC_47,AC_152,37,18,6
3,9,A,303,16,9,1,AC_007,AC_187,230,115,38.33333333
3,9,A,304,16,10,4,AC_91,AC_204,116,58,19.33333333
3,9,B,305,16,11,7,AC_45,AC_96,64,32,10.66666667
3,9,B,306,16,12,2,AC_039,AC_168,150,75,25
3,9,B,307,16,13,4,AC_89,AC_57,41,20,6.666666667
3,9,B,308,16,14,2,AC_125,AC_95,197,98,32.66666667
3,9,B,309,16,15,1,AC_150,AC_83,161,80,26.66666667
3,9,B,310,16,16,5,AC_216,AC_34,100,50,16.66666667
3,9,B,311,16,17,4,AC_91,AC_218,103,51,17
3,9,B,312,16,18,5,AC_54,AC_155,100,50,16.66666667
3,9,B,313,16,19,5,AC_71,AC_115,100,50,16.66666667
3,9,B,314,16,20,7,AC_45,AC_123,100,50,16.66666667
3,9,B,315,16,21,3,AC_68,AC_89,35,17,5.666666667
3,9,B,316,17,1,2,AC_207,AC_55,184,92,30.66666667
3,9,B,317,17,2,1,AC_150,AC_110,205,102,34
3,9,B,318,17,3,4,AC_94,AC_216,118,59,19.66666667
3,9,B,319,17,4,3,AC_15,AC_197,141,70,23.33333333
3,9,B,320,17,5,5,AC_124,AC_30,100,50,16.66666667
3,9,B,321,17,6,7,AC_168,AC_142,60,30,10
